Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"BTC","gs18","deeppavlov_onto_model","PERSON","tnnt:Person",7257,2042,6316.00,7607,0.830288,0.632223,0.177897,0.277664,0.418476,0.207757,0.766846,0.171401,0.763002
"BTC","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person",6353,2191,4936.00,6592,0.748786,0.755819,0.260664,0.387640,0.547728,0.299967,0.692744,0.109083,0.848361
"BTC","ss4","deeppavlov_conll2003_model","PER","tnnt:Person",6594,2346,5741.50,7155,0.802446,0.602515,0.214362,0.316219,0.442327,0.246066,0.729299,0.239130,0.791877
"BTC","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person",6285,2039,4898.50,6497,0.753963,0.783963,0.254336,0.384070,0.553459,0.294069,0.709308,0.103973,0.874932
"BTC","gs18","deeppavlov_onto_bert_model","ORG","tnnt:Organisation",3276,1750,2848.50,3721,0.765520,0.498571,0.266331,0.347195,0.424533,0.293692,0.601648,0.254286,0.668582
"BTC","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation",3596,2501,3272.50,4325,0.756647,0.420832,0.292686,0.345252,0.386949,0.311667,0.507230,0.291483,0.593962
"BTC","ss4","deeppavlov_conll2003_model","LOC","tnnt:FGL",2229,1443,1721.00,2487,0.691998,0.530839,0.343652,0.417211,0.478690,0.369727,0.468371,0.178794,0.646414
"BTC","ss4","deeppavlov_conll2003_bert_model","ORG","tnnt:Organisation",3796,3638,3760.50,5087,0.739237,0.364623,0.349447,0.356874,0.361484,0.352380,0.381718,0.354865,0.565190
"BTC","gs18","deeppavlov_onto_model","PRODUCT","tnnt:Product",49,49,49.00,49,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_model","ORG","tnnt:Organisation",3839,1590,3411.00,4194,0.813305,0.492453,0.203959,0.288451,0.383861,0.231028,0.678302,0.223270,0.634008
