Entity,COR,INC,PAR,SPU,MIS,IGN
"Mount Polley",0,1,0,0,0,0
"the West End",0,0,0,0,0,1
"hooray City centre pub",0,0,0,0,0,1
"Fort Hood",0,1,0,0,0,0
"Tiananmen Square",0,1,0,0,0,0
"Redbank Army Camp",0,1,0,0,0,0
"Temple Run",0,0,0,0,0,1
"Murray Bridge",0,1,0,0,0,0
"the Cottonpet road",0,0,0,0,0,1
"UOZm5DBV59 Central Perk",0,0,0,0,0,1
"yJcSKiHmlK Energy East Pipeline",0,0,0,0,0,1
"Buckingham Palace",0,1,0,0,0,0
"Bay Street",0,1,0,0,0,0
"Union Glacier",0,1,0,0,0,0
"Centennial Plaza",0,1,0,0,0,0
"Westgate Mall",0,1,0,0,0,0
"Pukehinau Flats",0,1,0,0,0,0
"Goodridge Street",0,1,0,0,0,0
"Eleven Madison Park",0,1,0,0,0,0
"Hester Residence Kingswinford",0,0,0,0,0,1
"Nobu CaesarsPalace",0,0,0,0,0,1
*TOTAL*,0,13,0,0,0,8
