Entity,COR,INC,PAR,SPU,MIS,IGN
"Swansea",0,1,0,0,0,0
"Colombia",0,1,0,0,0,0
"Montpellier",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"Edmonton",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Haiti",0,0,0,0,0,1
"Manitoba",0,1,0,0,0,0
"D Arriva",0,0,0,0,0,1
"Donetsk",0,1,0,0,0,0
"Canada this year",0,0,0,0,0,1
"Chelsea",0,1,0,0,0,0
"West Midlands",0,1,0,0,0,0
"Toronto",0,1,0,0,0,0
"Tokyo",0,1,0,0,0,0
"Afghanistan",0,1,0,0,0,0
"Moscow",0,1,0,0,0,0
"Loughgall",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"Geneva",0,1,0,0,0,0
"Zagreb",0,1,0,0,0,0
"Amandaziva223",0,1,0,0,0,0
"Winnipeg",0,1,0,0,0,0
"EM6SV5Op3L Ukraine",0,0,0,0,0,1
"France",0,1,0,0,0,0
"Rochester",0,1,0,0,0,0
"Gateshead",0,1,0,0,0,0
"Santiago",0,1,0,0,0,0
"Honduras",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"Kiev",0,1,0,0,0,0
"Costa Rica",0,1,0,0,0,0
"Ukraine",0,1,0,0,0,0
"Alberta",0,1,0,0,0,0
"Windsor",0,1,0,0,0,0
"London",0,1,0,0,0,0
"U6Tox0KAXb",0,0,0,0,0,1
"New Orleans",0,1,0,0,0,0
"BRAZIL 7th",0,0,0,0,0,1
"Cincinnati",0,1,0,0,0,0
"Lebanon",0,1,0,0,0,0
"Miami",0,0,0,0,0,1
"Cambridge",0,1,0,0,0,0
"South Africa tonight",0,0,0,0,0,1
"Melbourne",0,1,0,0,0,0
"Montague",0,1,0,0,0,0
"Italy",0,1,0,0,0,0
"Portugal",0,1,0,0,0,0
"Feltoltottem",0,0,0,0,0,1
"Nigeria",0,1,0,0,0,0
"Charlottetown",0,1,0,0,0,0
"Calgary",0,1,0,0,0,0
"Spain",0,1,0,0,0,0
"Blighty",0,1,0,0,0,0
"Sayulita",0,1,0,0,0,0
"Boston",0,1,0,0,0,0
"Parlt tonight",0,0,0,0,0,1
"US",0,1,0,0,0,0
"Canberra",0,1,0,0,0,0
"Connecticut",0,1,0,0,0,0
"Baton Rouge",0,1,0,0,0,0
"Kent",0,1,0,0,0,0
"New York",0,1,0,0,0,0
"Belfast",0,1,0,0,0,0
"Singapore",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Jerusalem",0,1,0,0,0,0
"DC",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"South Korea 's",0,0,0,0,0,1
"Niagara West Glanbrook",0,0,0,0,0,1
