Entity,COR,INC,PAR,SPU,MIS,IGN
"9 / 8",0,0,0,0,0,1
"5 pm",0,0,0,0,0,1
"8 . 15pm",0,0,0,0,0,1
"the most amazing night",0,0,0,0,0,1
"a few minutes",0,0,0,0,0,1
"6 : 00am",0,0,0,0,0,1
"tonight",0,0,0,0,0,1
"one more hour East Coast",0,0,0,0,0,1
"twelve hour",0,0,0,0,0,1
"7 :3 30 8 :3 30 pm",0,0,0,0,0,1
"10 pm EST",0,0,0,0,0,1
"tonight at 8 / 7c",0,0,0,0,0,1
"three hour",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"11 pm tonight",0,0,0,0,0,1
"10 this morning",0,0,0,0,0,1
"later this evening",0,0,0,0,0,1
"a epic 20 minutes",0,0,0,0,0,1
"3 pm ET",0,0,0,0,0,1
"5 :3 30 8 :3 30 pm",0,0,0,0,0,1
"One hour",0,0,0,0,0,1
"6 : 10 pm",0,0,0,0,0,1
"05 AM ET",0,0,0,0,0,1
"12 hours",0,0,0,0,0,1
"11 12 hours",0,0,0,0,0,1
"11 am",0,0,0,0,0,1
"two hours 20 minutes , second",0,0,0,0,0,1
"30 minutes early",0,0,0,0,0,1
"one twenty minutes",0,0,0,0,0,1
"1 : 15 PM ET",0,0,0,0,0,1
"5 pm PST",0,0,0,0,0,1
"13 minutes",0,0,0,0,0,1
"10 am ET",0,0,0,0,0,1
"Tonight",0,0,0,0,0,1
"45 minute",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,35
