Entity,COR,INC,PAR,SPU,MIS,IGN
"Emmy winning Apple",0,0,0,0,0,1
"co/3XiuZb1bau Fallen for The Fall . richardjgodwin",0,0,0,0,0,1
"Doin It Again Strangest",0,0,0,0,0,1
"the High Flying Birds",0,0,0,0,0,1
"Makeup by Niki M ' Nray",0,0,0,0,0,1
"Bbl Theory_Versa",0,0,0,0,0,1
"daveEASTgate JUANES TODAYshow Plaza Concert",0,0,0,0,0,1
"tFXTxAMmBV BreakingNews : Kerry : US and Russia Reach Agreement on Plan to Rid Syria of Chemical Weapons",0,0,0,0,0,1
"co/2X7swFIwqi Mighty Morphine Power Rangers",0,0,0,0,0,1
"Love Shoegasm",0,0,0,0,0,1
"tzrjGk9xTU Stories via focusreise SZ_Reise",0,0,0,0,0,1
"Florida Gas Plant Rock Neighboring Communities",0,0,0,0,0,1
"power939 for playing my record top40 cokebottle wichita kansas Que tengais una semana de nuevas vivencias . co / UOOWTyg7S2",0,0,0,0,0,1
"Jaipur Lit Fest",0,0,0,0,0,1
"Celebrity Big Brother",0,1,0,0,0,0
"WA cliff The Gap",0,0,0,0,0,1
"XD Oopsy",0,0,0,0,0,1
"How to Prolong the Life of Your Toyota Sienna Sliding Door Cables",0,0,0,0,0,1
"Giro Pink http://t . co/4Yob5U3Qng Tre",0,0,0,0,0,1
"co/6Vkx6tzN Start 2012 with a Like You",0,0,0,0,0,1
"Top of the Rockies",0,0,0,0,0,1
"Parody At His Wedding",0,0,0,0,0,1
"The Best Marigold Hotel Judi Dench",0,0,0,0,0,1
"ovtWA2MXOK Watch Live : Report",0,0,0,0,0,1
"co/0T9VxJwN0i ErikCamacho",0,0,0,0,0,1
"Aching The Yellow Dress",0,0,0,0,0,1
"TreySongz PERFORMING on Mon . 7",0,0,0,0,0,1
"Anger Management Toronto Blue Jay",0,0,0,0,0,1
"the Next Big Thing : ' The Killing '",0,0,0,0,0,1
"The Office Stress Relief",0,0,0,0,0,1
"N3Jxw9gOwM 11 : 11 Make A Wish",0,0,0,0,0,1
"Blumenfeld Studio",0,1,0,0,0,0
"BSFMag FlutterSpeed Just got my TheBlackout",0,0,0,0,0,1
"This Video of Yasiel Puig Losing His Mind in the Middle of a Thunderstorm Is Pretty Great",0,0,0,0,0,1
"WorldCup Final time ARG vs. GER",0,0,0,0,0,1
"XrC8zhDT8U KevinSpacey",0,0,0,0,0,1
"ThankYouNotes FallonOrlando FallonTonight",0,0,0,0,0,1
"B4iu4Cvcwj Watch Live",0,0,0,0,0,1
"KourtKKidsChat XO Berlin",0,0,0,0,0,1
"the Lyric Video of OrdinaryLife from our SPEP Get Your Heart On The Second Coming GYHO2 http://t . co/021j8GzedX",0,0,0,0,0,1
"co/8zUy9e7neG Sportscenter",0,0,0,0,0,1
"Mavado The Messiah",0,0,0,0,0,1
"DevlinHuxtable UncleRUSH",0,0,0,0,0,1
"SwjxX3FQnX Golazo de luis Suarez Shak Bye Felicia",0,0,0,0,0,1
"ScUyy3f28x Brad_Attitude",0,0,0,0,0,1
"CFDA Fashion Icon of the Year",0,0,0,0,0,1
"IdolFinale JLoFirstLoveonIdol",0,0,0,0,0,1
"Sprouting Rock",0,1,0,0,0,0
"Margoandhow amyzipkin AnnieMDance AlanBlaustein",0,0,0,0,0,1
"DanJenks _ Wanttowatchtheashes HelpRichardODwyer",0,0,0,0,0,1
"RIFF RAFF JODYHiGHROLLER",0,0,0,0,0,1
"MEQBT97Cs1 BreakingNews : Boston Gangster ' Whitey ' Bulger Found Guilty of Gangland Crimes",0,0,0,0,0,1
"Star Trek Into Darkness",0,0,0,0,0,1
"Boston Marathon",0,0,0,0,0,1
"Sex the City",0,0,0,0,0,1
"My Head Is Banging Back",0,0,0,0,0,1
"UAKShine : Twitpic RT iBite_YourMom",0,0,0,0,0,1
"Revision",0,0,0,0,0,1
""" According to Him Her """,0,0,0,0,0,1
"Mindful Living Guide",0,0,0,0,0,1
"Skill Master achievement on The Elder Scrolls V : Skyrim",0,0,0,0,0,1
"Galo campea da Copa do Brasil Sub 17",0,0,0,0,0,1
"Hospital to Have Royal Baby",0,0,0,0,0,1
"boSUriWDt0 Running With The Boys",0,0,0,0,0,1
"GYHO2 Get Your Heart On The Second Coming",0,0,0,0,0,1
"slickback inspiration Telf 's copy of Inspector Norse",0,0,0,0,0,1
"TSN 2 . Thx RT IMJeffRaymond : From MyNameIsBobby",0,0,0,0,0,1
"Laurel and Hardy in Foreign Legion . In Need Of Some Proper Food CanaeBFukdMovingTho Lush Tush",0,0,0,0,0,1
"Hot975Vegas SheritaSberry RadioMiggy Vegas24seven",0,0,0,0,0,1
"the Discovery Channel",0,0,0,0,0,1
"Derynemolar : tweepzdatdntsleeponmaTl Dharmilabb Credunut",0,0,0,0,0,1
"gy2AExNbW0 WynonnaMusic FactSoup",0,0,0,0,0,1
"Centric",0,0,0,0,0,1
"co/9IzHBzIiul MattRpianoman",0,0,0,0,0,1
"piivdfrP9P Watch a Live Report",0,0,0,0,0,1
"TerriClarkMusic AmericasMorning",0,0,0,0,0,1
"The Wind In The Willow",0,0,0,0,0,1
"Dragon Mk 2",0,0,0,0,0,1
"Miranda http://t . co/8qysMcxs9s",0,0,0,0,0,1
"NewYear 2012 I Challenge to Make Your New Years",0,0,0,0,0,1
"DrShefali SuperSoulSunday",0,0,0,0,0,1
"JapersRink New",0,0,0,0,0,1
"Just slick as Naked man",0,0,0,0,0,1
"j0KUEQ4cdQ Using Anomalies in Crash Reports To Detect Unknown Threats",0,0,0,0,0,1
"Destination Star Trek",0,0,0,0,0,1
"RuminatorNZ stevenljoyce DavidCunliffeMP Recommending JimmyBarnes",0,0,0,0,0,1
"RT Han_Hanzz : RT ElHefeJones : InAnAfricanHouse",0,0,0,0,0,1
"Wonder Woman",0,1,0,0,0,0
"org/9GCUxF D_Shariatmadari",0,0,0,0,0,1
"Fifa Getting some practice in Lol I unlocked the Check in All Star",0,0,0,0,0,1
"CIA Torture Report ' Won t Call Interrogations Torture But It Will Show Horrors",0,0,0,0,0,1
"The Breakfast Show Today",0,0,0,0,0,1
"Kang In Duk Tells Gwak Hee Sung to Stay Away from Da Som",0,0,0,0,0,1
"Twitter Epic : Kanye West",0,0,0,0,0,1
"ovtWA2MXOK Watch Live",0,0,0,0,0,1
"FC 2012",0,0,0,0,0,1
"K_SweetestGirl : Kaylnn",0,0,0,0,0,1
"imsorry idontmeanit heatofthemoment PapiChulo_Chuly BBCNewsMagazine",0,0,0,0,0,1
"Balloon Lamp",0,0,0,0,0,1
"Oscar",0,1,0,0,0,0
"Caffe Nero",0,0,0,0,0,1
"At The Movies",0,0,0,0,0,1
"peLfD4 Charles and Diana : the Wedding of the Century",0,0,0,0,0,1
"NowPlaying Spotify",0,0,0,0,0,1
"Fame",0,0,0,0,0,1
"Obi6cuQBwg Coldplay Oceans",0,0,0,0,0,1
"co / YO5u4zUh The Tricycle Cinema 's International Film Season 2012",0,0,0,0,0,1
"Bjork s "" Human Behaviour",0,0,0,0,0,1
"Love collection http://t . co / iS9RmljhDm",0,0,0,0,0,1
"Le Coq LikeLeCoq SteadyOn",0,0,0,0,0,1
"Annas Angels",0,0,0,0,0,1
"Do It Like A Dude",0,0,0,0,0,1
"KAY_RETRO : If A Guy Can Leave Me Speechless",0,0,0,0,0,1
"Amazing Race Canada",0,1,0,0,0,0
"the battle of the bootys http://t . co / wsnJpxVl1Y",0,0,0,0,0,1
"Delirious",0,1,0,0,0,0
"Dalai Lama Led Buddhist Ceremony",0,0,0,0,0,1
"Frozen ' Will Get a Broadway Musical Before a Big Screen Sequel",0,0,0,0,0,1
"A Night With The Stars",0,0,0,0,0,1
"Something For The Weekend",0,0,0,0,0,1
"Peninsular",0,1,0,0,0,0
"Jacked Up Halloween",0,0,0,0,0,1
"The Agatha Christie Book Collection",0,0,0,0,0,1
"The Ecco Shoes UK Daily",0,0,0,0,0,1
"Silver Charles Parker Prize 2014",0,0,0,0,0,1
"Al Qaeda : The History of the World 's Most Notorious Terrorist Organization : Al Qaeda : The History of the . . http://t . co/2dywzLtYjS RT RyanMiller3039",0,0,0,0,0,1
"Viendo el Valencia Sevilla",0,0,0,0,0,1
"the RUM HOUSE",0,0,0,0,0,1
"Wonderland Where 's the rabbit He is late again Goodness Gracious",0,0,0,0,0,1
"this Night Garden",0,0,0,0,0,1
"lrTz3GoVAg Stories",0,0,0,0,0,1
""" Top of the Lake "" X Davidxvx",0,0,0,0,0,1
"Xx AnnaPaquinFans hi Xo wintersweet2530 Nice and Brisk",0,0,0,0,0,1
"Watching 127 Hours",0,0,0,0,0,1
"City Comedy Club",0,1,0,0,0,0
"BigBusiness Deluxe",0,0,0,0,0,1
"Visa the NFL",0,0,0,0,0,1
"ThePrismaticWorldTour CARTER V See",0,0,0,0,0,1
"Autfa8UfDm SamHolty",0,0,0,0,0,1
"Parenting News : Links We Love iVillage",0,0,0,0,0,1
"YouTube Closes Down For The Night",0,0,0,0,0,1
"The Hunger Games",0,0,0,0,0,1
"AC / DC",0,1,0,0,0,0
"Xx Inspired",0,0,0,0,0,1
"the Congressional Caucus on Black Men and Boys",0,0,0,0,0,1
