Entity,COR,INC,PAR,SPU,MIS,IGN
"GoldenGlobes",0,0,0,1,0,0
"ChristinaGrimme",1,0,0,0,0,0
"Caulker",1,0,0,0,0,0
"SaWattpad",0,0,0,1,0,0
"#seanref",0,0,0,0,1,0
"Kieran_Gilbert",1,0,0,0,0,0
"SupanovaDex",0,0,0,0,1,0
"John XXIII",0,0,1,0,0,0
"simonmasonsays",0,0,0,0,1,0
"Mike Gordon",1,0,0,0,0,0
"James Corden",1,0,0,0,0,0
"JivPWMHNRf",0,0,0,1,0,0
"tommcfly",0,0,0,0,1,0
"Alex Burrows",0,0,0,0,1,0
"Leo Johnson",1,0,0,0,0,0
"Paulo nutini",0,0,0,0,1,0
"Gingrich",1,0,0,0,0,0
"Bruce",1,0,0,0,0,0
"Bourkey8",1,0,0,0,0,0
"O_Well_Maybe_Next_Time QueenofCobden",0,0,1,0,0,0
"Blake",1,0,0,0,0,0
"shane_martin",0,0,0,0,1,0
"QPMTEHk3",0,0,0,1,0,0
"joeycottle",0,0,0,0,1,0
"Brian Feeney",1,0,0,0,0,0
"Abbott",1,0,0,0,0,0
"Kirk",1,0,0,0,0,0
"Felipe VI",1,0,0,0,0,0
"Bruce Flegg",1,0,0,0,0,0
"Revolting Rhymes",0,0,0,1,0,0
"Anthony Horowitz",1,0,0,0,0,0
"Harry_Styles",1,0,0,0,0,0
"Clooney",1,0,0,0,0,0
"chrissyfarr",0,0,0,0,1,0
"cne7kFnVkZ Lululemon",0,0,0,1,0,0
"AliZafarsays",0,0,0,0,1,0
"McEwen",0,1,0,0,0,0
"rHUx9NMMWH Vanessa",0,0,1,0,0,0
"sirharryevans",0,0,0,0,1,0
"swo2212",0,0,0,0,1,0
"camerondallas",0,0,0,0,1,0
"PeckhamJohn",1,0,0,0,0,0
"Pepe",0,0,0,0,1,0
"Earl Spencer",1,0,0,0,0,0
"Hosni Mubarak",1,0,0,0,0,0
"frandrescher",0,0,0,0,1,0
"Kirby517",1,0,0,0,0,0
"Sheryl Sandberg",0,0,0,0,1,0
"Darwin Deez",1,0,0,0,0,0
"Bill Murray",1,0,0,0,0,0
"co/0pNGrFHHy9",0,0,0,1,0,0
"Jamie Bryson",1,0,0,0,0,0
"Khan",1,0,0,0,0,0
"patsyyyyyy",0,0,0,0,1,0
"Sue Fortin",1,0,0,0,0,0
"HASNT",0,0,0,1,0,0
"jaredstone69",0,0,0,0,1,0
"isiensa Jumalan",0,0,0,1,0,0
"Mathews",1,0,0,0,0,0
"RT FHavg",0,0,1,0,0,0
"NP4731",0,0,0,0,1,0
"Luke Batty",1,0,0,0,0,0
"Benjamin Mullin Poynter",0,0,1,0,0,0
"Respect_Programme",0,1,0,0,0,0
"edmundburke",0,0,0,0,1,0
"girlcallederin",0,0,0,0,1,0
"ns8MiqA0jK",0,0,0,1,0,0
"GBarlowOfficial",1,0,0,0,0,0
"muamuav",0,0,0,0,1,0
"Kai",0,0,1,0,0,0
"zxSzpWtUyL",0,0,0,1,0,0
"Christine",1,0,0,0,0,0
"PrayForGaza GazaUnderAttack",0,0,0,1,0,0
"RT TheCosby",0,0,1,0,0,0
"Sloan Gibson",1,0,0,0,0,0
"MissKatiePrice",1,0,0,0,0,0
"D. Huffington Post",0,0,1,0,0,0
"Paulmcgrath5",0,0,0,0,1,0
"gravytrainevan",0,0,0,0,1,0
"#noparker xxjadexx",0,0,0,0,1,0
"LouisReeson",0,0,0,0,1,0
"McGuinness",0,0,0,0,1,0
"amymartin3334",0,0,0,0,1,0
"Vamos Alberto",0,0,1,0,0,0
"Margaret MacMillan ReutersLivve",0,0,1,0,0,0
"null",0,0,0,0,1,0
"RT GoodandBadPR",0,0,1,0,0,0
"Howard Webb",1,0,0,0,0,0
"wmWKWxWd",0,0,0,1,0,0
"nicola_craig",0,0,0,0,1,0
"moonlightlouis",0,0,0,0,1,0
"Malwill86",0,0,0,0,1,0
"Courtside8",0,0,0,0,1,0
"Mick",1,0,0,0,0,0
"Weirdo365",0,0,0,0,1,0
"madden",0,0,0,0,1,0
"NDP",0,1,0,0,0,0
"Shawty Lo Mein",1,0,0,0,0,0
"ivetesangalo",0,0,0,0,1,0
"STEPHEN LAWRENCE",1,0,0,0,0,0
"ljayes",0,0,0,0,1,0
"Bowie",1,0,0,0,0,0
"steven_moffat",0,0,0,0,1,0
"LindaNguyenTO",1,0,0,0,0,0
"megangarber",0,0,0,0,1,0
"Zia Abdul Haq",1,0,0,0,0,0
"Shaun Wright",1,0,0,0,0,0
"Ed Miliband",1,0,0,0,0,0
"NojaqjmCL5 DamianAStuart",0,0,1,0,0,0
"x9PdzrZk3q",0,0,0,1,0,0
"Olivia",1,0,0,0,0,0
"Cecil Balmond",1,0,0,0,0,0
"Paul Nurse",0,0,1,0,0,0
"RT JoshDevineDrums",0,0,1,0,0,0
"5022lyfe",0,0,0,0,1,0
"Oooh",0,0,0,1,0,0
"Patty Calhoun",1,0,0,0,0,0
"SadLyle KeysFefe",0,0,1,0,0,0
"co/6zlKtADPCC",0,0,0,1,0,0
"butchey12",0,0,0,0,1,0
"cian_camplisson",0,0,0,0,1,0
"Marco Carola",1,0,0,0,0,0
"boobonic",0,0,0,0,1,0
"J Lo",0,0,0,1,0,0
"troygrant",0,0,0,0,1,0
"zNxoDyUudD Brisbane",0,0,0,1,0,0
