Entity,COR,INC,PAR,SPU,MIS,IGN
"UKRAINE",1,0,0,0,0,0
"Nepal",1,0,0,0,0,0
"NSW Blue Mountains",1,0,0,0,0,0
"Homerton",0,0,0,0,1,0
"Sewol",0,0,0,0,1,0
"West Midlands",1,0,0,0,0,0
"Kansas City",1,0,0,0,0,0
"Amber Alert",0,0,0,1,0,0
"Ardspeninsula",0,0,1,0,0,0
"Kingston upon Thames",0,0,1,0,0,0
"Redbank Army Camp",1,0,0,0,0,0
"Palestine",1,0,0,0,0,0
"Harhur",1,0,0,0,0,0
"Baltimore",1,0,0,0,0,0
"Fall of Saigon",0,0,1,0,0,0
"PA",1,0,0,0,0,0
"Omaha",1,0,0,0,0,0
"Goban_Saor",0,1,0,0,0,0
"sevilla",1,0,0,0,0,0
"Hiroshima",0,0,1,0,0,0
"Mosul",1,0,0,0,0,0
"Maidstone Room",0,0,1,0,0,0
"Swilly",0,0,0,0,1,0
"Co Donegal",1,0,0,0,0,0
"maravilla",0,0,0,0,1,0
"Ottawa",1,0,0,0,0,0
"Middle East",1,0,0,0,0,0
"#grandcayman",0,0,0,0,1,0
"#Kashmir",0,0,0,0,1,0
"INSANE",0,0,1,0,0,0
"Canada",1,0,0,0,0,0
"Mosul dam",0,0,0,0,1,0
"ASKfhJOeY0",0,0,1,0,0,0
"sochi",0,0,0,0,1,0
"FryDay",0,0,0,1,0,0
"#Russia",0,0,0,0,1,0
"FenwayPark",0,0,1,0,0,0
"Fortress Quebec",0,0,1,0,0,0
"Lismore",1,0,0,0,0,0
"Clwyd West",1,0,0,0,0,0
"Adelaide",1,0,0,0,0,0
"Shaktarsk",0,0,0,0,1,0
"israelilaiset",0,0,0,0,1,0
"Coach Daddy",1,0,0,0,0,0
"Studio",0,0,1,0,0,0
"#abudhabi",0,0,0,0,1,0
"Calais",1,0,0,0,0,0
"Terenure",1,0,0,0,0,0
"Fenland",1,0,0,0,0,0
"Goresbrook",0,0,1,0,0,0
"Chatteris Manea",0,0,1,0,0,0
"Uganda",1,0,0,0,0,0
"NY Democratic",0,0,1,0,0,0
"The Netherlands",1,0,0,0,0,0
"Murray",0,0,1,0,0,0
"IBUANAKKITA",0,0,1,0,0,0
"#wichita #kansas",0,0,0,0,1,0
"Texas Health Presbyterian Hospital",1,0,0,0,0,0
"Northampton North",0,0,1,0,0,0
"Central Asia",0,0,1,0,0,0
"BRAZIL",1,0,0,0,0,0
"Telford",0,0,0,0,1,0
"Labrador",1,0,0,0,0,0
"Las Vegas",1,0,0,0,0,0
"Донецком",0,0,0,0,1,0
"Stretford Fire Station",1,0,0,0,0,0
"The Racecourse",0,0,0,1,0,0
"NEW NEW",0,0,0,1,0,0
"Dublin",1,0,0,0,0,0
"Indonesia",1,0,0,0,0,0
"Ontario",1,0,0,0,0,0
"Edmonton",1,0,0,0,0,0
"Kitchener",1,0,0,0,0,0
"West Stand Lower Snapper",0,0,1,0,0,0
"Tokyo",1,0,0,0,0,0
"WEF Africa",0,0,1,0,0,0
"New Yorker",0,1,0,0,0,0
"Art Gallery Birmingham",0,0,1,0,0,0
"#derrydonegalborder",0,0,0,0,1,0
"Montpellier",0,0,1,0,0,0
"Kirkby",0,0,0,1,0,0
"Murray Bridge",1,0,0,0,0,0
"Switzerland",1,0,0,0,0,0
"Richmond",0,0,1,0,0,0
"rural Australia",0,0,0,0,1,0
"ThisIsGaZa",0,0,0,0,1,0
"WA",1,0,0,0,0,0
"Minat",0,0,0,1,0,0
"Netherlands",1,0,0,0,0,0
"Exeter",1,0,0,0,0,0
"Lahore",1,0,0,0,0,0
"#insta_ireland #instadublin #dublin",0,0,0,0,1,0
"Sehun Gimpo Airport",0,0,1,0,0,0
"Midlands",1,0,0,0,0,0
"Guildhall",1,0,0,0,0,0
"Spain",1,0,0,0,0,0
"Calgary",1,0,0,0,0,0
"New York City",1,0,0,0,0,0
"Petticoat Lane",1,0,0,0,0,0
"Co Tyrone",0,0,0,0,1,0
"Cornish",0,0,0,0,1,0
"australia",0,0,0,0,1,0
"#victoriapark",0,0,0,0,1,0
"Kinsale",0,0,0,1,0,0
"Memorial Stair Climb",0,0,1,0,0,0
"Badger Den",0,0,0,1,0,0
"QT",1,0,0,0,0,0
"Cellar Door",1,0,0,0,0,0
"Icelandic",0,0,0,0,1,0
"Homs",1,0,0,0,0,0
"KUWTK",0,0,1,0,0,0
"West Africa Ebola",0,0,1,0,0,0
"East Ukraine",1,0,0,0,0,0
"Kangaroo Island",1,0,0,0,0,0
"Bath",1,0,0,0,0,0
"Baghdad",1,0,0,0,0,0
"SC",1,0,0,0,0,0
"Washington Navy Yard",1,0,0,0,0,0
"Wed",0,0,0,1,0,0
"Egypt",1,0,0,0,0,0
"U . S . A .",0,0,0,0,1,0
"Madrid Ebola",0,0,1,0,0,0
"Cannes Ibiza",0,0,1,0,0,0
"Jerusalemiin",0,0,1,0,0,0
"Dunkirk",1,0,0,0,0,0
"Juno Beach",1,0,0,0,0,0
"Kingston",1,0,0,0,0,0
"#cspa?",0,0,0,0,1,0
"Ballina",1,0,0,0,0,0
"merrionstreet",0,0,0,0,1,0
"Hatton Garden",0,0,1,0,0,0
"Ibiza",1,0,0,0,0,0
"City Garden Apts",1,0,0,0,0,0
"India",1,0,0,0,0,0
"#ukstorm?",0,0,0,0,1,0
"Deadspin",0,1,0,0,0,0
"Norwich",1,0,0,0,0,0
"paris",0,0,0,0,1,0
"#Tipperary",0,0,0,0,1,0
"Ridgeway Arms",0,0,0,0,1,0
"South Yorkshir",1,0,0,0,0,0
"Libya Iraq Syria",0,0,1,0,0,0
"Kuala Lumpur Malaysia Airlines",0,0,1,0,0,0
"Hanging Lake",1,0,0,0,0,0
"Victoria Park",1,0,0,0,0,0
"Shettleston",0,0,0,0,1,0
"Chinatown",1,0,0,0,0,0
"Sad",0,0,1,0,0,0
"Florida Gas Plant Rock Neighboring Communities",0,0,1,0,0,0
"al Furqan",0,0,0,1,0,0
"Ballyjamesduff",1,0,0,0,0,0
"Geneva",1,0,0,0,0,0
"I- 95",0,0,0,0,1,0
"Lisburn",1,0,0,0,0,0
"Grabovo",1,0,0,0,0,0
"France",1,0,0,0,0,0
"International Space Station",1,0,0,0,0,0
"Msia",0,0,0,0,1,0
"Winnipeg",1,0,0,0,0,0
"Oklahoma",1,0,0,0,0,0
"Honduras",0,1,0,0,0,0
"London.",0,0,0,0,1,0
"Royal Ascot",0,0,1,0,0,0
"U",1,0,0,0,0,0
"Gas Hall",1,0,0,0,0,0
"Military Building",0,0,0,1,0,0
"Russian-backed",0,0,0,0,1,0
"ZRH",1,0,0,0,0,0
