Entity,COR,INC,PAR,SPU,MIS,IGN
"uburke1 Banbridge",0,0,0,0,0,1
"Holywood",0,1,0,0,0,0
"Red Rocks Amphitheatre",0,1,0,0,0,0
"the HMAS Cerberus",0,0,0,0,0,1
"Mars Bar",0,0,0,0,0,1
"Vic",0,1,0,0,0,0
"Chelsea",0,1,0,0,0,0
"Chinatown",0,1,0,0,0,0
"Genghis Grill 9766 Katy Fwy",0,0,0,0,0,1
"Denpasar JQ 46",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"the N 20",0,0,0,0,0,1
"International Space Station",0,1,0,0,0,0
"Luxor",0,1,0,0,0,0
"Medical Park Hastanesi medicalparkhg",0,0,0,0,0,1
"Costa Del Tramore",0,1,0,0,0,0
"Manea",0,1,0,0,0,0
"Murray Bridge",0,1,0,0,0,0
"Amiens Cathedral",0,1,0,0,0,0
"Gerard Gardens",0,1,0,0,0,0
"Caffe Nero 21 High St",0,0,0,0,0,1
"the Arabian Travel Market",0,0,0,0,0,1
"Gas Hall",0,1,0,0,0,0
"Cambridge 105",0,1,0,0,0,0
"JUANES TODAYshow Plaza Concert LIVE Monday , April 21 , 2014",0,0,0,0,0,1
"Bridge",0,1,0,0,0,0
"Palmerston Road",0,1,0,0,0,0
"Arena",0,1,0,0,0,0
"Albertines",0,1,0,0,0,0
"Tilbury Docks",0,1,0,0,0,0
"the Logies",0,0,0,0,0,1
"Aeropuerto de Tenerife Sur Reina Sofia TFS Av Aeropuerto Reina Sofia",0,0,0,0,0,1
"BRB",0,0,0,0,0,1
"Easton BrstlGreenDoors",0,0,0,0,0,1
"MD 450",0,0,0,0,0,1
"The Racecourse",0,0,0,0,0,1
"Space Station",0,1,0,0,0,0
"Discovery park",0,1,0,0,0,0
"MH17",0,0,0,0,0,1
"Guildhall tonight",0,0,0,0,0,1
"I 95",0,0,0,0,0,1
"Grande Pedro",0,0,0,0,0,1
"JINDO",0,1,0,0,0,0
"Docklands",0,1,0,0,0,0
"Sewol",0,1,0,0,0,0
"Phoenix",0,1,0,0,0,0
"the Blue Square",0,0,0,0,0,1
"Fort Hood",0,1,0,0,0,0
"Amnesia Ibiza",0,1,0,0,0,0
"Kilmallock R 512",0,0,0,0,0,1
"Britannia House",0,1,0,0,0,0
"Victoria Park car indusrty victoriapark",0,0,0,0,0,1
"Dunluce Castle",0,1,0,0,0,0
"darrenforde Magilligan Strand",0,0,0,0,0,1
"Grey Lynn Park",0,1,0,0,0,0
"Metro",0,1,0,0,0,0
"320 Willis Street",0,1,0,0,0,0
"Blumenfeld Studio",0,1,0,0,0,0
"the o2 Arena",0,0,0,0,0,1
"the RUM HOUSE",0,0,0,0,0,1
"Sehun Gimpo Airport",0,0,0,0,0,1
"Via Tumblr",0,0,0,0,0,1
"Dun Laoghaire Harbour",0,1,0,0,0,0
"Galtymore",0,1,0,0,0,0
"CoppiBelfast ilpiratabelfast 10",0,0,0,0,0,1
"Marriott_Cayman",0,1,0,0,0,0
"Epsom Derby",0,1,0,0,0,0
"STvyURKQnB Driveway",0,0,0,0,0,1
"CoppiBelfast",0,1,0,0,0,0
"Coronation St",0,0,0,0,0,1
"the Netherlands Embassy",0,0,0,0,0,1
"Lagos Ibadan Expressway",0,0,0,0,0,1
"St James '",0,0,0,0,0,1
"Eastergate",0,1,0,0,0,0
"Niagara West Glanbrook",0,0,0,0,0,1
"Dean street",0,0,0,0,0,1
"the WestStafford Bypass",0,0,0,0,0,1
"Buckingham Palace",0,1,0,0,0,0
"the AmChamAU Business Luncheon",0,0,0,0,0,1
"DC Navy Yard",0,1,0,0,0,0
"CBB",0,0,0,0,0,1
"Ecuadorian Embassy",0,1,0,0,0,0
"Walk4Water",0,0,0,0,0,1
"SkyQLD",0,0,0,0,0,1
"TottenhamTories",0,1,0,0,0,0
"Florida Gas Plant",0,0,0,0,0,1
"Centennial Plaza",0,1,0,0,0,0
"the Greystones Riviera",0,0,0,0,0,1
"Rue Bourbon ruebourbonph Infairview",0,0,0,0,0,1
"Goodridge Street",0,1,0,0,0,0
"J11 Birchwood Vendors",0,0,0,0,0,1
"the Rose Bowl",0,0,0,0,0,1
"Military Building",0,0,0,0,0,1
"the Opera House",0,0,0,0,0,1
"Delhi Hack the Budget",0,0,0,0,0,1
"Manaus",0,1,0,0,0,0
"Undercliff Ave NY",0,0,0,0,0,1
"Swanston St",0,1,0,0,0,0
"City centre",0,0,0,0,0,1
"Tyabb Oval",0,1,0,0,0,0
"Sandymount Strand",0,1,0,0,0,0
"MindField",0,0,0,0,0,1
"HMAS Cerberus",0,1,0,0,0,0
"Grafton airport Fab",0,0,0,0,0,1
"Foyle",0,0,0,0,0,1
"Metro nottingham",0,0,0,0,0,1
"Royal Gallery",0,1,0,0,0,0
"Chatteris Manea",0,0,0,0,0,1
"Willey Street",0,1,0,0,0,0
"the Pulitzer Center",0,0,0,0,0,1
"Rubber Dinghy Rapids",0,0,0,0,0,1
"the West End bectu RitzyLivingWage CurzonWorkers",0,0,0,0,0,1
"FallonTonight",0,0,0,0,0,1
"Boston Marathon",0,0,0,0,0,1
"Capitol",0,1,0,0,0,0
"Radio 4",0,0,0,0,0,1
"Barca",0,1,0,0,0,0
"St Mary 's",0,1,0,0,0,0
"City Garden",0,0,0,0,0,1
"Washington Navy Yard",0,1,0,0,0,0
"the Pink Line",0,0,0,0,0,1
"FenwayPark",0,0,0,0,0,1
"Netherlands Embassy",0,1,0,0,0,0
"Waiariki Institute Rotorua",0,1,0,0,0,0
"Baghdad Embassy",0,1,0,0,0,0
"Bay Street",0,1,0,0,0,0
"Southsea RT kimberleybarber",0,0,0,0,0,1
"mexico Be Playa Hotel",0,0,0,0,0,1
"Pentagon",0,1,0,0,0,0
"Space this afternoon",0,0,0,0,0,1
"Crossrail",0,1,0,0,0,0
"Corporation , K R Market",0,0,0,0,0,1
"Westgate Mall",0,1,0,0,0,0
"EIndhoven Airport",0,0,0,0,0,1
"Reservoir",0,1,0,0,0,0
"Juno Beach",0,1,0,0,0,0
"the Brighton Centre",0,0,0,0,0,1
"Wembley Stadium",0,1,0,0,0,0
"Victoria Street Hamilton",0,1,0,0,0,0
"M62",0,0,0,0,0,1
"KL",0,0,0,0,0,1
"Sama Sama",0,0,0,0,0,1
"NewhouseStudio",0,0,0,0,0,1
"Petticoat Lane 17th May",0,0,0,0,0,1
"Westminster",0,1,0,0,0,0
"the Media Center",0,0,0,0,0,1
"the United Charities Market",0,0,0,0,0,1
"Goresbrook",0,0,0,0,0,1
"Bruckner Interchange NY",0,0,0,0,0,1
"Nottingham Railway Station",0,1,0,0,0,0
"Dunkirk DDay Mjpkane StuffInSale AsaleResident",0,0,0,0,0,1
"Queens Hospital",0,1,0,0,0,0
"WeatherCee Mt Dillon",0,0,0,0,0,1
"House of Lords",0,1,0,0,0,0
"the Yarraville Club",0,0,0,0,0,1
"Huxley",0,0,0,0,0,1
"Temple Run",0,0,0,0,0,1
"Meadows",0,0,0,0,0,1
"6YEDlMU6Jm SA",0,0,0,0,0,1
"BTV Ward 8",0,0,0,0,0,1
"ColwynBay pier",0,0,0,0,0,1
"el Classico",0,0,0,0,0,1
"Everton Lmao",0,0,0,0,0,1
"Centennial 1st",0,0,0,0,0,1
"Casement",0,0,0,0,0,1
"Casement Park",0,1,0,0,0,0
"HMAS Cerberus 400m",0,0,0,0,0,1
"Heathrow Airport",0,1,0,0,0,0
