Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"Wogan",0,0,0,0,0,1
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Darlington",0,1,0,0,0,0
"West Midlands",0,1,0,0,0,0
"Pinehurst",0,0,0,0,0,1
"Rotherham",0,1,0,0,0,0
"Tipperary",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"West Africa",0,1,0,0,0,0
"Roscommon Oak Park",0,0,0,0,0,1
"Zagreb",0,1,0,0,0,0
"Ohio",0,0,0,0,0,1
"Djerba",0,1,0,0,0,0
"Man City",0,1,0,0,0,0
"Villawood",0,1,0,0,0,0
"Sunderland",0,1,0,0,0,0
"CHCH",0,1,0,0,0,0
"Tottenham",0,1,0,0,0,0
"Harhur",0,1,0,0,0,0
"Vietnam",0,1,0,0,0,0
"SheriffZurlo",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"london",0,1,0,0,0,0
"US 4",0,0,0,0,0,1
"Palestine",0,1,0,0,0,0
"Netherlands Holland",0,0,0,0,0,1
"Wicklow",0,1,0,0,0,0
"Bray",0,1,0,0,0,0
"Wisconsin 74 73",0,0,0,0,0,1
"Baltimore",0,1,0,0,0,0
"McEwen",0,1,0,0,0,0
"J Lo",0,0,0,0,0,1
"Kobane",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
"Linwood",0,1,0,0,0,0
"UK North Sea",0,1,0,0,0,0
"Dun Leary earlier this morning DunLaoghaire",0,0,0,0,0,1
"Elkington",0,0,0,0,0,1
"PA",0,1,0,0,0,0
"Pukehinau Flats",0,1,0,0,0,0
"Omaha",0,1,0,0,0,0
"Pls",0,0,0,0,0,1
"Ballymurphy",0,1,0,0,0,0
"Delaware",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"SF",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"NUI Maynooth",0,1,0,0,0,0
"Dortmund 2",0,0,0,0,0,1
"Jeanne d ' Arc",0,0,0,0,0,1
"Somerset",0,1,0,0,0,0
"Dublin West",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Grimsby",0,1,0,0,0,0
"sevilla",0,1,0,0,0,0
"Mosul",0,1,0,0,0,0
"Somalia",0,1,0,0,0,0
