Entity,COR,INC,PAR,SPU,MIS,IGN
"FOI",0,0,0,0,0,1
"Building and Construction Industry Code 2014",0,0,0,0,0,1
"ISO 14001",0,0,0,0,0,1
"Pro Treaty",0,0,0,0,0,1
"Anti Treaty",0,0,0,0,0,1
"Espionage Act",0,0,0,0,0,1
"the Housing Bill 2014 tonight in the Dail",0,0,0,0,0,1
"Charter of Rights",0,0,0,0,0,1
"the Anglo Irish Treaty",0,0,0,0,0,1
"Constitution",0,0,0,0,0,1
"the Welfare Reform Bill",0,0,0,0,0,1
"the Lisbon Treaty ' Citizens Initiative '",0,0,0,0,0,1
"Comprehensive ImmigrationReform",0,0,0,0,0,1
"ISO 9001",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,14
