Entity,COR,INC,PAR,SPU,MIS,IGN
"256 , 000",0,0,0,0,0,1
"859 million Swiss francs",0,0,0,0,0,1
"10 , 000",0,0,0,0,0,1
"12 million dollars",0,0,0,0,0,1
"50 billion",0,0,0,0,0,1
"SFR",0,0,0,0,0,1
"forty one million pounds",0,0,0,0,0,1
"hundreds of dollars",0,0,0,0,0,1
"59 cents",0,0,0,0,0,1
"3 billion euros 4 16 billion",0,0,0,0,0,1
"200 mln dollar",0,0,0,0,0,1
"15m",0,0,0,0,0,1
"97 cents",0,0,0,0,0,1
"100 , 000",0,0,0,0,0,1
"110 , 000",0,0,0,0,0,1
"15 billion euros 20 6 billion",0,0,0,0,0,1
"19million",0,0,0,0,0,1
"224m",0,0,0,0,0,1
"68 cents",0,0,0,0,0,1
"18 milllllllliiiii",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,20
