Entity,COR,INC,PAR,SPU,MIS,IGN
"fifth",0,0,0,0,0,1
"first",0,0,0,0,0,1
"first Olympic Athlete 's Parade",0,0,0,0,0,1
"3rd",0,0,0,0,0,1
"Second",0,0,0,0,0,1
"6th Samui Bike Week",0,0,0,0,0,1
"5000th Daily Point of Light Award",0,0,0,0,0,1
"4th",0,0,0,0,0,1
"Third",0,0,0,0,0,1
"second Scottish",0,0,0,0,0,1
"second",0,0,0,0,0,1
"fourth",0,0,0,0,0,1
"third",0,0,0,0,0,1
"16th",0,0,0,0,0,1
"First NP",0,0,0,0,0,1
"First",0,0,0,0,0,1
"first World War",0,0,0,0,0,1
"300th",0,0,0,0,0,1
"first Grand Prix",0,0,0,0,0,1
"Second Texas",0,0,0,0,0,1
"20th",0,0,0,0,0,1
"25th",0,0,0,0,0,1
"1st",0,0,0,0,0,1
"12th",0,0,0,0,0,1
"first SearchTermSunday",0,0,0,0,0,1
"10th",0,0,0,0,0,1
"24th 14 , 000 foot",0,0,0,0,0,1
"7th",0,0,0,0,0,1
"first London",0,0,0,0,0,1
"first American",0,0,0,0,0,1
"6th",0,0,0,0,0,1
"2nd",0,0,0,0,0,1
"2nd Premier League",0,0,0,0,0,1
"first British",0,0,0,0,0,1
"first Korean",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,35
