Entity,COR,INC,PAR,SPU,MIS,IGN
"TweetDeck",0,0,0,0,0,1
"Coriolanus",0,0,0,0,0,1
"UMB S 1",0,0,0,0,0,1
"PrayForMH17",0,0,0,0,0,1
"LTE",0,0,0,0,0,1
"Stilton",0,1,0,0,0,0
"Balloon Lamp",0,0,0,0,0,1
"FijiWater",0,1,0,0,0,0
"The Tribez Castlez",0,0,0,0,0,1
"Alfa Brera",0,0,0,0,0,1
"DSLR",0,0,0,0,0,1
"ManFlu",0,0,0,0,0,1
"G8v6snfl",0,0,0,0,0,1
"MH370 MH17",0,0,0,0,0,1
"MH17 PrayForMH17",0,0,0,0,0,1
"LG",0,1,0,0,0,0
"SkyNewsBreak",0,1,0,0,0,0
"IM703eagleman",0,0,0,0,0,1
"SA 11",0,0,0,0,0,1
"Fuchsia",0,0,0,0,0,1
"eVTmP4aGP8",0,0,0,0,0,1
"Sf5dkRhK4a",0,0,0,0,0,1
"Rouleurs",0,0,0,0,0,1
"EasyJet",0,1,0,0,0,0
"Invisalign",0,1,0,0,0,0
"Transcontinental",0,1,0,0,0,0
"pHACKwh7ni F 1",0,0,0,0,0,1
"Grapefruit",0,0,0,0,0,1
"SimplePlan",0,0,0,0,0,1
"JV7W4A7XQX Malaysian Airline MH17",0,0,0,0,0,1
"MH17 SecurityCouncil",0,0,0,0,0,1
"7BM2CB6c",0,0,0,0,0,1
"ParisBakery",0,0,0,0,0,1
"LoveGod50",0,0,0,0,0,1
"TimHortons",0,1,0,0,0,0
"Apple Glow Mod Kit",0,0,0,0,0,1
"ToenailsTasteGood",0,0,0,0,0,1
"PS4",0,0,0,0,0,1
"BostonCollegeTapes",0,0,0,0,0,1
"DwyDesigns RT Fooliee96",0,0,0,0,0,1
"Auto Tune",0,0,0,0,0,1
"X Plane 10",0,0,0,0,0,1
"Docherty",0,1,0,0,0,0
"YkkrafKT3h",0,0,0,0,0,1
"Evc0u08a8P miguelgarcia65 GTCost",0,0,0,0,0,1
"Malwill86 theindysport TAFKAbrianmoore",0,0,0,0,0,1
"Flight MH 17",0,0,0,0,0,1
"The Commodore 64",0,0,0,0,0,1
"Creme Egg",0,0,0,0,0,1
"Yello",0,0,0,0,0,1
"MH17",0,0,0,0,0,1
"Airway L 980",0,0,0,0,0,1
"VffPC3ocPn MH370",0,0,0,0,0,1
"C 47",0,0,0,0,0,1
"InMyFreeTime",0,0,0,0,0,1
"4LittleJanes",0,1,0,0,0,0
"Alias S5",0,0,0,0,0,1
"Sunswift",0,0,0,0,0,1
"GearFit",0,0,0,0,0,1
"HeliSelfie",0,0,0,0,0,1
"Ozeri Pronto",0,0,0,0,0,1
"SpiritCellarUK",0,1,0,0,0,0
"Tiger",0,1,0,0,0,0
"MH17 Malaysian",0,0,0,0,0,1
"MiGuleSalero",0,0,0,0,0,1
"Chelsea 1 Schalke 1",0,0,0,0,0,1
"Buk missile",0,0,0,0,0,1
"Sharpener",0,0,0,0,0,1
"W6Ja65soCL",0,0,0,0,0,1
"iQtNtk8Yz2 Helicopter",0,0,0,0,0,1
"Johndelx jimboireland Sure",0,0,0,0,0,1
"ZMapp",0,0,0,0,0,1
"Qualcomm MDM9615",0,0,0,0,0,1
"iPhone 4 16GB",0,0,0,0,0,1
"Sea Shepherd",0,0,0,0,0,1
"Sargent",0,0,0,0,0,1
"Griffins",0,1,0,0,0,0
"Krystalradz18",0,1,0,0,0,0
"Kabinet",0,0,0,0,0,1
"BlackBerrys",0,0,0,0,0,1
"MH 17 MH17",0,0,0,0,0,1
"iPad Air 2",0,0,0,0,0,1
"MH370",0,0,0,0,0,1
"Flixster",0,1,0,0,0,0
"LaTrioli",0,1,0,0,0,0
"Python",0,0,0,0,0,1
"Dior Addict Fluid Stick Wardrobe",0,0,0,0,0,1
"Flight MH17",0,0,0,0,0,1
"MknvoWHD5b ClareBalding",0,0,0,0,0,1
"Butlins",0,1,0,0,0,0
"TuneIn",0,1,0,0,0,0
"GALAXYKzoom",0,0,0,0,0,1
"GaffneyPaul5",0,1,0,0,0,0
"Vox",0,1,0,0,0,0
"Android Wear",0,0,0,0,0,1
"MorbidYoung motech99",0,0,0,0,0,1
"BigBusiness Deluxe",0,0,0,0,0,1
"TomodachiLife",0,0,0,0,0,1
"MH17 flightmh17",0,0,0,0,0,1
"4aJ1IgIK BA",0,0,0,0,0,1
"Meatloaf",0,1,0,0,0,0
"DoMoreNZ",0,0,0,0,0,1
"Buk",0,0,0,0,0,1
"Arran",0,0,0,0,0,1
"Johndelx",0,1,0,0,0,0
"Geminem2503",0,1,0,0,0,0
"Tue",0,0,0,0,0,1
"TD",0,1,0,0,0,0
"Super Trooper",0,0,0,0,0,1
"1057darwin",0,0,0,0,0,1
"allovus Thunder",0,0,0,0,0,1
"Disflux Lightning",0,0,0,0,0,1
"Eco",0,0,0,0,0,1
"Cosine",0,1,0,0,0,0
"Baked Bean",0,0,0,0,0,1
"MH370 Plane",0,0,0,0,0,1
"TheOfficial2XU",0,1,0,0,0,0
"Squirrel",0,0,0,0,0,1
"Zeus Gameover",0,0,0,0,0,1
"BattleBackCntr Cotopaxi2014",0,0,0,0,0,1
"MH 17",0,0,0,0,0,1
"Brain",0,0,0,0,0,1
"OasisFashion",0,1,0,0,0,0
"MH17 BloombergTV",0,0,0,0,0,1
"Ipod",0,0,0,0,0,1
"Flight 370",0,0,0,0,0,1
"Copella",0,1,0,0,0,0
"Taurus",0,0,0,0,0,1
"Vine",0,1,0,0,0,0
"TantamountToTreaser",0,0,0,0,0,1
"MH17 MORE",0,0,0,0,0,1
"iPad Mini 3",0,0,0,0,0,1
"Mero",0,0,0,0,0,1
"Watch Swarovski",0,0,0,0,0,1
"Laundry",0,0,0,0,0,1
"MH17 MH17",0,0,0,0,0,1
"LisaMillar",0,1,0,0,0,0
"TrueTokes",0,0,0,0,0,1
"Apple Magic",0,0,0,0,0,1
"BUK",0,1,0,0,0,0
"BT Infinity Homehub",0,0,0,0,0,1
"iPod",0,0,0,0,0,1
"SixSigma",0,1,0,0,0,0
"Handxguns",0,1,0,0,0,0
"BertLcfc",0,0,0,0,0,1
"NEW Cosmo Body Diet",0,0,0,0,0,1
"The RoyalBabyBoy",0,0,0,0,0,1
"Goat",0,0,0,0,0,1
"430spider",0,0,0,0,0,1
"GoTeamUSA",0,0,0,0,0,1
"Defqon 1",0,0,0,0,0,1
"Aurora",0,1,0,0,0,0
"iPad",0,0,0,0,0,1
"Drone",0,0,0,0,0,1
"LittleMachines",0,0,0,0,0,1
"SQ 351",0,0,0,0,0,1
"Mix",0,0,0,0,0,1
"ImPux3HJjm Flight MH17",0,0,0,0,0,1
"KAL 007",0,0,0,0,0,1
"Teletubbies",0,0,0,0,0,1
"MeeGo Harmattan RT NokiaGadgets N9 PR1",0,0,0,0,0,1
"RDMAS Tune",0,0,0,0,0,1
"MH17 MH370",0,0,0,0,0,1
"DiscoverNI",0,1,0,0,0,0
"PoppyLegion BattleBackCntr",0,0,0,0,0,1
"Xbox",0,0,0,0,0,1
"Air Force One",0,0,0,0,0,1
"Augusta Brutale",0,0,0,0,0,1
"Cotopaxi2014",0,0,0,0,0,1
"Oddity",0,0,0,0,0,1
"Android",0,1,0,0,0,0
"VouchAR",0,0,0,0,0,1
"RTEone",0,1,0,0,0,0
"GN",0,0,0,0,0,1
"MalaysiaAirlines MH17",0,0,0,0,0,1
"Casuarina",0,1,0,0,0,0
"Coles",0,1,0,0,0,0
"Vaio",0,0,0,0,0,1
"KrakenRum",0,0,0,0,0,1
"Manpads Colmogorman",0,0,0,0,0,1
"M17",0,0,0,0,0,1
"the MH370",0,0,0,0,0,1
"Jetstar Brisbane",0,0,0,0,0,1
"BlackBerry",0,0,0,0,0,1
"Dragon Mk 2",0,0,0,0,0,1
"blink 182",0,0,0,0,0,1
"BoreOffShitBrows Toe shellac satc",0,0,0,0,0,1
"MAS Flight MH17",0,0,0,0,0,1
"iHeartUpgrade",0,0,0,0,0,1
"MH17's",0,0,0,0,0,1
"Pistorius Paddy Power",0,0,0,0,0,1
"Inphosports Typhoon Neoguri",0,0,0,0,0,1
"Toyota Sienna Sliding Door Cables",0,0,0,0,0,1
"the Wind Waker",0,0,0,0,0,1
"CricketTragic58",0,1,0,0,0,0
"KevChat",0,0,0,0,0,1
"MarinerMisery",0,1,0,0,0,0
"MerchDirect Now",0,0,0,0,0,1
"SysCo51PfU",0,0,0,0,0,1
"MJ7ZogGKRd Cutie",0,0,0,0,0,1
"VinemanTri",0,1,0,0,0,0
"TitosVodka",0,0,0,0,0,1
"MH17 Malaysia Airlines",0,0,0,0,0,1
"CH 601",0,1,0,0,0,0
"BUK M 1",0,0,0,0,0,1
"Beagle 2 Mars",0,0,0,0,0,1
"iPhone 6",0,0,0,0,0,1
"Chrome",0,0,0,0,0,1
"firefox 29",0,0,0,0,0,1
"OhSoCocoBb",0,0,0,0,0,1
"PolarisPrize",0,1,0,0,0,0
"Air India AI 113 B 787",0,0,0,0,0,1
"SkyFootball Hummels",0,0,0,0,0,1
"Bray DiscoverIreland LoveDublin1",0,0,0,0,0,1
"Wonder Woman",0,1,0,0,0,0
"Isis",0,1,0,0,0,0
*TOTAL*,0,46,0,0,0,170
