Entity,COR,INC,PAR,SPU,MIS,IGN
"4 G",0,0,0,0,0,1
"0 km",0,0,0,0,0,1
"about 25 km",0,0,0,0,0,1
"10 , 000m",0,0,0,0,0,1
"400 metre",0,0,0,0,0,1
"2 G",0,0,0,0,0,1
"8 mph",0,0,0,0,0,1
"808 fein",0,0,0,0,0,1
"400m to 500m",0,0,0,0,0,1
"293 watts",0,0,0,0,0,1
"73k pcm",0,0,0,0,0,1
"40 yold",0,0,0,0,0,1
"4 K",0,0,0,0,0,1
"33 , 000 feet",0,0,0,0,0,1
"10 , 000 BC",0,0,0,0,0,1
"50 mb",0,0,0,0,0,1
"2 , 5 km",0,0,0,0,0,1
"50 yd 5 8 mils",0,0,0,0,0,1
"695 pcm",0,0,0,0,0,1
"18 M",0,0,0,0,0,1
"14cm 2",0,0,0,0,0,1
"1 22 / 25",0,0,0,0,0,1
"30 PPG",0,0,0,0,0,1
"Million Pound Drop",0,0,0,0,0,1
"about 10 , 000",0,0,0,0,0,1
"60 degrees",0,0,0,0,0,1
"9 hPa",0,0,0,0,0,1
"11914 calories",0,0,0,0,0,1
"308 calories",0,0,0,0,0,1
"32 , 000ft",0,0,0,0,0,1
"24 million bros",0,0,0,0,0,1
"128 MB",0,0,0,0,0,1
"3 miles",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,33
