Entity,COR,INC,PAR,SPU,MIS,IGN
"9 / 8 C",0,0,0,0,0,1
"11pm tonight",0,0,0,0,0,1
"5 : 3 30",0,0,0,0,0,1
"this evening Justice",0,0,0,0,0,1
"5am ish",0,0,0,0,0,1
"2 min",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"4 : 3 37 pm",0,0,0,0,0,1
"half 7 in the morning",0,0,0,0,0,1
"8 15pm",0,0,0,0,0,1
"00 : 08 Hrs",0,0,0,0,0,1
"221 hours and 31 mins",0,0,0,0,0,1
"8pm",0,0,0,0,0,1
"two hours 20 minutes",0,0,0,0,0,1
"this morning Vic Police",0,0,0,0,0,1
"10pm",0,0,0,0,0,1
"hours",0,0,0,0,0,1
"night",0,0,0,0,0,1
"8 30pm ABC TeeKayP",0,0,0,0,0,1
"a few minutes",0,0,0,0,0,1
"6 : 00am",0,0,0,0,0,1
"5pm PST",0,0,0,0,0,1
"tonight theVOICEau",0,0,0,0,0,1
"tonight 32 years",0,0,0,0,0,1
"a worthy minute",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"19 : 20",0,0,0,0,0,1
"just 19",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"6pm",0,0,0,0,0,1
"11 : 04 30 / 01 / 12 5",0,0,0,0,0,1
"twenty minutes ago",0,0,0,0,0,1
"midnight RT LiamHaylett",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"12 hours",0,0,0,0,0,1
"11 : 30",0,0,0,0,0,1
"8 : 3 34 pm",0,0,0,0,0,1
"3 to 8 PM",0,0,0,0,0,1
"Tuesday night",0,0,0,0,0,1
"11 am",0,0,0,0,0,1
"minutes",0,0,0,0,0,1
"19 : 00 The Archers",0,0,0,0,0,1
"03 : 01",0,0,0,0,0,1
"8 mins",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"10 hours",0,0,0,0,0,1
"08 : 30",0,0,0,0,0,1
"the last 20 mins",0,0,0,0,0,1
"35 minutes",0,0,0,0,0,1
"1pm today",0,0,0,0,0,1
"5 : 28am HW 4",0,0,0,0,0,1
"twenty four hour",0,0,0,0,0,1
"3 minute",0,0,0,0,0,1
"last night parang wala lang nangyari",0,0,0,0,0,1
"up to 11 hrs",0,0,0,0,0,1
"6 : 3 30 Danii_Azucena",0,0,0,0,0,1
"10 mins",0,0,0,0,0,1
"tomorrow night",0,0,0,0,0,1
"6",0,0,0,0,0,1
"10 : 39",0,0,0,0,0,1
"1 : 20",0,0,0,0,0,1
"10 earlynight",0,0,0,0,0,1
"9 : 05 AM ET",0,0,0,0,0,1
"7 : 3 30",0,0,0,0,0,1
"later today",0,0,0,0,0,1
"3 minutes",0,0,0,0,0,1
"One final night",0,0,0,0,0,1
"06 : 3 30",0,0,0,0,0,1
"11 4pm",0,0,0,0,0,1
"10 : 30",0,0,0,0,0,1
"twelve hour",0,0,0,0,0,1
"4pm",0,0,0,0,0,1
"10 pm EST",0,0,0,0,0,1
"6 2 percent",0,0,0,0,0,1
"24 Hour",0,0,0,0,0,1
"half 8",0,0,0,0,0,1
"6am this morning",0,0,0,0,0,1
"just over an hour",0,0,0,0,0,1
"this morning SimoLove Tonight",0,0,0,0,0,1
"later this evening",0,0,0,0,0,1
"1 : 15 p",0,0,0,0,0,1
"Sunny morning",0,0,0,0,0,1
"5 : 45 WOD this morning",0,0,0,0,0,1
"last 20 mins",0,0,0,0,0,1
"07 : 01",0,0,0,0,0,1
"5 : 925",0,0,0,0,0,1
"45 min",0,0,0,0,0,1
"32 seconds",0,0,0,0,0,1
"6am 3pm 3 5",0,0,0,0,0,1
"9o ' clock",0,0,0,0,0,1
"Morning",0,0,0,0,0,1
"three hours",0,0,0,0,0,1
"seconds",0,0,0,0,0,1
"the minute",0,0,0,0,0,1
"an uneventful first hour",0,0,0,0,0,1
"GW 33 fpl",0,0,0,0,0,1
"last night 's",0,0,0,0,0,1
"Last night",0,0,0,0,0,1
"a few mins",0,0,0,0,0,1
"97c",0,0,0,0,0,1
"Saturday night",0,0,0,0,0,1
"57 minutes",0,0,0,0,0,1
"6 : 3 38",0,0,0,0,0,1
"an hour",0,0,0,0,0,1
"18 : 42 today",0,0,0,0,0,1
"the 89th minute",0,0,0,0,0,1
"5pm",0,0,0,0,0,1
"7 pm",0,0,0,0,0,1
"20 minutes",0,0,0,0,0,1
"9 o'clock GMT",0,0,0,0,0,1
"the 91st minute",0,0,0,0,0,1
"just moments ago",0,0,0,0,0,1
"30 minutes",0,0,0,0,0,1
"the first hour iBet",0,0,0,0,0,1
"9 28 pm iWeatherNews",0,0,0,0,0,1
"a minute",0,0,0,0,0,1
"7 : 3 30 8 : 3 30 pm tomorrow",0,0,0,0,0,1
"the best two hours",0,0,0,0,0,1
"12 : 01 a",0,0,0,0,0,1
"the Amnesty hour",0,0,0,0,0,1
"under 2 minutes",0,0,0,0,0,1
"next 12 hours",0,0,0,0,0,1
"last night",0,0,0,0,0,1
"this afternoon",0,0,0,0,0,1
"last night Cardiff XI",0,0,0,0,0,1
"3 p",0,0,0,0,0,1
"half an hour",0,0,0,0,0,1
"20 seconds",0,0,0,0,0,1
"around 13 : 21 UTC",0,0,0,0,0,1
"5pmzCjHe8V",0,0,0,0,0,1
"6 : 10pm",0,0,0,0,0,1
"morning morningireland",0,0,0,0,0,1
"18 seconds",0,0,0,0,0,1
"13 minutes MH370",0,0,0,0,0,1
"8 : 3 38 am New Zealand",0,0,0,0,0,1
"11am this morning",0,0,0,0,0,1
"This morning",0,0,0,0,0,1
"5pm Irish time",0,0,0,0,0,1
"9 : 3 30 FREE",0,0,0,0,0,1
"pmagenda tonight David_Speers Ben _ Domensin",0,0,0,0,0,1
"21 : 00",0,0,0,0,0,1
"1am midnight",0,0,0,0,0,1
"evening",0,0,0,0,0,1
"the last hour",0,0,0,0,0,1
"11 12 hours",0,0,0,0,0,1
"3 hour",0,0,0,0,0,1
"11 : 57am",0,0,0,0,0,1
"3 night Walt Disney World",0,0,0,0,0,1
"two hours",0,0,0,0,0,1
"2 more minutes",0,0,0,0,0,1
"tonight First",0,0,0,0,0,1
"5pm ET",0,0,0,0,0,1
"1 : 15 PM ET",0,0,0,0,0,1
"overnight",0,0,0,0,0,1
"07 : 3 38 PM",0,0,0,0,0,1
"10 am ET",0,0,0,0,0,1
"12 : 56 cardiotrainer",0,0,0,0,0,1
"9 C",0,0,0,0,0,1
"12 : 3 30 p",0,0,0,0,0,1
"90th minute",0,0,0,0,0,1
"3 PM",0,0,0,0,0,1
"5 : 49pm HW 5 1m SeaSafety",0,0,0,0,0,1
"7 45am",0,0,0,0,0,1
"less than an hour",0,0,0,0,0,1
"11 : 11",0,0,0,0,0,1
"5 hours",0,0,0,0,0,1
"8 o'clock",0,0,0,0,0,1
"the past hour",0,0,0,0,0,1
"60mins tonight",0,0,0,0,0,1
"about quarter to nine tomorrow morning",0,0,0,0,0,1
"the past 85265971236 hours",0,0,0,0,0,1
"1 minute",0,0,0,0,0,1
"7 : 00 PM 9 3",0,0,0,0,0,1
"every Thursday night",0,0,0,0,0,1
"15 mins ago",0,0,0,0,0,1
"tonight",0,0,0,0,0,1
"20 min",0,0,0,0,0,1
"6 ; 45",0,0,0,0,0,1
"three hour",0,0,0,0,0,1
"the next hour Lol NIGGA",0,0,0,0,0,1
"10 this morning",0,0,0,0,0,1
"midnight",0,0,0,0,0,1
"about an hours",0,0,0,0,0,1
"3 04 : 04 02 / 01 / 12 6",0,0,0,0,0,1
"7 : 48",0,0,0,0,0,1
"1 : 45pm",0,0,0,0,0,1
"3 pm ET",0,0,0,0,0,1
"5 : 3 30 8 : 3 30 pm",0,0,0,0,0,1
"only 3 hours today",0,0,0,0,0,1
"8 / 7c",0,0,0,0,0,1
"tonight EastEnders",0,0,0,0,0,1
"30 mins",0,0,0,0,0,1
"08 : 04 27 / 01 / 12 5 1",0,0,0,0,0,1
"9pm",0,0,0,0,0,1
"about 4 hours",0,0,0,0,0,1
"09 : 27",0,0,0,0,0,1
"Tonight",0,0,0,0,0,1
"6 hours",0,0,0,0,0,1
"this evening",0,0,0,0,0,1
"noon",0,0,0,0,0,1
"45 minute",0,0,0,0,0,1
"tonight TBT 2 hours",0,0,0,0,0,1
"11am",0,0,0,0,0,1
"5 : 3 30 pm",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,204
