Entity,COR,INC,PAR,SPU,MIS,IGN
"Irish News : Life",0,0,0,0,0,1
"The Gang Show",0,0,0,0,0,1
"Grong Town",0,1,0,0,0,0
"Hack Report",0,1,0,0,0,0
"Around The Horn",0,0,0,0,0,1
"XFactor",0,0,0,0,0,1
"A Sky Full Of Stars",0,0,0,0,0,1
"Air ' Sonic Armada",0,0,0,0,0,1
""" Hey Jude """,0,0,0,0,0,1
"Viva JKT 48",0,0,0,0,0,1
"Celebrity Big Brother",0,1,0,0,0,0
"4 Men Releases "" Erase",0,0,0,0,0,1
"Top of the Rockies",0,0,0,0,0,1
"Optimus Prime",0,1,0,0,0,0
"Watch Live",0,0,0,0,0,1
"Reuben",0,0,0,0,0,1
"The Best Marigold Hotel Judi Dench",0,0,0,0,0,1
"Weeknd",0,0,0,0,0,1
"Running With The Boys",0,0,0,0,0,1
"Casualty",0,0,0,0,0,1
"The Journals of MamaMae LeeLee",0,0,0,0,0,1
"Inspector Norse",0,0,0,0,0,1
"The Office Stress Relief",0,0,0,0,0,1
"2D",0,0,0,0,0,1
"MVP",0,0,0,0,0,1
"AskKathy",0,0,0,0,0,1
"Today on the Hill",0,0,0,0,0,1
"Game of Thrones",0,0,0,0,0,1
""" Best Kids Snack """,0,0,0,0,0,1
"the Francis Report",0,0,0,0,0,1
"Faith and Service : The Great Divorce",0,0,0,0,0,1
"Happy Bachelorette",0,0,0,0,0,1
": Mission Improvable",0,0,0,0,0,1
"Valentina",0,0,0,0,0,1
"B4iu4Cvcwj Watch Live",0,0,0,0,0,1
"KourtKKidsChat XO Berlin",0,0,0,0,0,1
"the RBA Annual Report",0,0,0,0,0,1
"Samudra Hindia untuk "" The Laws of the Jungle",0,0,0,0,0,1
"Macbook",0,0,0,0,0,1
"9GAG Loving The Checkout",0,0,0,0,0,1
"Al Qaeda : The History of the World 's Most Notorious Terrorist Organization : Al Qaeda : The History of the",0,0,0,0,0,1
"Blue Ray",0,0,0,0,0,1
"Green Goddess",0,0,0,0,0,1
"The Weak Willed by All That Remains",0,0,0,0,0,1
"The Smashing Pumpkins",0,1,0,0,0,0
"Armageddon",0,0,0,0,0,1
"Hollyoaks",0,0,0,0,0,1
"the Scottish Children 's Book Awards Hedzie",0,0,0,0,0,1
"The Devil Wears Prada",0,0,0,0,0,1
"CBB so boring Time for bed",0,0,0,0,0,1
"Sunken Boat",0,0,0,0,0,1
"Journalism After Snowden",0,0,0,0,0,1
"Star Trek Into Darkness",0,0,0,0,0,1
"Chimerica",0,0,0,0,0,1
""" According to Him Her """,0,0,0,0,0,1
"Mindful Living Guide",0,0,0,0,0,1
"Crocs Kids Handle It Rain Boot Wellingto",0,0,0,0,0,1
"Nobel Peace Prize",0,0,0,0,0,1
"The Big Bang Theory",0,0,0,0,0,1
"Pretty Woman",0,0,0,0,0,1
"Hot975Vegas SheritaSberry RadioMiggy Vegas24seven",0,0,0,0,0,1
"Melody of Love",0,1,0,0,0,0
"Pre Order Now",0,0,0,0,0,1
"Blake 's Jerusalem",0,0,0,0,0,1
"Eastenders",0,0,0,0,0,1
""" The Human Side of Microsoft 's Layoffs",0,0,0,0,0,1
"Centric",0,0,0,0,0,1
"6zWFMj170Q Watch Live Now",0,0,0,0,0,1
"GenerationX",0,0,0,0,0,1
"Charades",0,0,0,0,0,1
"Enter the Dragon Trailer",0,0,0,0,0,1
"The Wind In The Willow",0,0,0,0,0,1
"Medal of Honor",0,0,0,0,0,1
"Constitutions and Culture Wars",0,0,0,0,0,1
""" Tanning of America """,0,0,0,0,0,1
""" Wedding Ringer """,0,0,0,0,0,1
"Bad Science",0,0,0,0,0,1
"Ride Out",0,0,0,0,0,1
"Gravity",0,0,0,0,0,1
"AwesomeRingerud "" Good Soul of Szechuan """,0,0,0,0,0,1
"Rocky",0,1,0,0,0,0
"Survivors on living fossils",0,0,0,0,0,1
"Irish News : Business Insight Jobs",0,0,0,0,0,1
"Scooby 'Doobie ' Doo",0,0,0,0,0,1
"HappySchools",0,0,0,0,0,1
"The Breakfast Show Today",0,0,0,0,0,1
