Entity,COR,INC,PAR,SPU,MIS,IGN
"four 2015",0,0,0,0,0,1
",34",0,0,0,0,0,1
"at least two",0,0,0,0,0,1
"2016.",0,0,0,0,0,1
"113 / 365",0,0,0,0,0,1
"spin1038",0,0,0,0,0,1
"34",0,0,0,0,0,1
"2 Ukrainian",0,0,0,0,0,1
"298",0,0,0,0,0,1
"no1",0,0,0,0,0,1
"IM703eagleman",0,0,0,0,0,1
"More than 191",0,0,0,0,0,1
"16",0,0,0,0,0,1
"133",0,0,0,0,0,1
"23 Malaysians",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"7 A 72 C 3 D 2",0,0,0,0,0,1
"430",0,0,0,0,0,1
"38",0,0,0,0,0,1
"100yrs",0,0,0,0,0,1
"co/4O60Utc3HH",0,0,0,0,0,1
"15",0,0,0,0,0,1
"5m",0,0,0,0,0,1
"115",0,0,0,0,0,1
"1171",0,0,0,0,0,1
"000",0,0,0,0,0,1
"800",0,0,0,0,0,1
"97 Indonesians",0,0,0,0,0,1
"FM2012",0,0,0,0,0,1
"13 30thingsaboutme",0,0,0,0,0,1
"2 Com'on Liverpool",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"Over 1",0,0,0,0,0,1
"6 3",0,0,0,0,0,1
"dawnward4",0,1,0,0,0,0
"eleven",0,0,0,0,0,1
"17 Lots",0,0,0,0,0,1
"17each",0,0,0,0,0,1
"co/8u9EdQ1Y4C",0,0,0,0,0,1
"32",0,0,0,0,0,1
"06",0,0,0,0,0,1
"pgob1",0,1,0,0,0,0
"Half",0,0,0,0,0,1
"about 7b",0,0,0,0,0,1
"6",0,0,0,0,0,1
"04 27 / 01 / 12 5 . 1 C W 16 . 6km / hr 1022",0,0,0,0,0,1
"30 / 30",0,0,0,0,0,1
"2D",0,0,0,0,0,1
"650",0,0,0,0,0,1
"24 million",0,0,0,0,0,1
"3",0,0,0,0,0,1
"SEVEN Belfast",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"nafon85",0,1,0,0,0,0
"Around 1",0,0,0,0,0,1
"204",0,0,0,0,0,1
"1020",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"More than 200",0,0,0,0,0,1
"20",0,0,0,0,0,1
"27 Australians",0,0,0,0,0,1
"800.",0,0,0,0,0,1
"More than 40",0,0,0,0,0,1
"18yo",0,0,0,0,0,1
"42",0,0,0,0,0,1
"000 Londoners",0,0,0,0,0,1
"8mph",0,0,0,0,0,1
"one",0,0,0,0,0,1
"QPR30400",0,0,0,0,0,1
"183",0,0,0,0,0,1
"2012.",0,0,0,0,0,1
"100m British",0,0,0,0,0,1
"4 Moscow",0,0,0,0,0,1
"76ers",0,1,0,0,0,0
"17",0,0,0,0,0,1
"Twelve",0,0,0,0,0,1
"2010",0,0,0,0,0,1
"450",0,0,0,0,0,1
"co/1G0Ilt7Twl Hundreds",0,0,0,0,0,1
"co/992avkv7on",0,0,0,0,0,1
"x1435",0,0,0,0,0,1
"up to 300",0,0,0,0,0,1
"Store6921",0,0,0,0,0,1
"11 Indonesians",0,0,0,0,0,1
"39",0,0,0,0,0,1
"14mph",0,0,0,0,0,1
"5meters",0,0,0,0,0,1
"350",0,0,0,0,0,1
"80",0,0,0,0,0,1
"4 / 24",0,0,0,0,0,1
"100+",0,0,0,0,0,1
"48",0,0,0,0,0,1
"824",0,0,0,0,0,1
"at least 6",0,0,0,0,0,1
"abc730",0,0,0,0,0,1
"40 Flight MH17",0,0,0,0,0,1
"14cm 2",0,0,0,0,0,1
"at least 10",0,0,0,0,0,1
"61",0,0,0,0,0,1
"300m",0,0,0,0,0,1
"more than 200",0,0,0,0,0,1
"856",0,0,0,0,0,1
"141 million",0,0,0,0,0,1
"75.",0,0,0,0,0,1
"2050",0,0,0,0,0,1
"nearly 10 million",0,0,0,0,0,1
"109",0,0,0,0,0,1
"532",0,0,0,0,0,1
"4.",0,0,0,0,0,1
"3 40",0,0,0,0,0,1
"9.",0,0,0,0,0,1
"18",0,0,0,0,0,1
"almost 800",0,0,0,0,0,1
"10",0,0,0,0,0,1
"co/5rm48JmdS1 Cambodia Khmer Rouge",0,0,0,0,0,1
"767",0,0,0,0,0,1
"10c",0,0,0,0,0,1
"102",0,0,0,0,0,1
"30yo",0,0,0,0,0,1
"millions Headache",0,0,0,0,0,1
"co/02Yf3oCd Over 1 . 10",0,0,0,0,0,1
"more than 1k",0,0,0,0,0,1
"4chan",0,0,0,0,0,1
"4 UK",0,0,0,0,0,1
"two Eastenders",0,0,0,0,0,1
"Less than half",0,0,0,0,0,1
"25 Free Bet",0,0,0,0,0,1
"a million and one",0,0,0,0,0,1
"Nine",0,0,0,0,0,1
"248",0,0,0,0,0,1
"5mill",0,0,0,0,0,1
"400m",0,0,0,0,0,1
"60k",0,0,0,0,0,1
"125,000",0,0,0,0,0,1
"95",0,0,0,0,0,1
"480m",0,0,0,0,0,1
"More than three quarters",0,0,0,0,0,1
"43 UN",0,0,0,0,0,1
"5",0,0,0,0,0,1
"more than 150",0,0,0,0,0,1
"30 Menit OPPOIndonesia Reni_aeni96 Myrhaangelithaa OPPOFind7 4xFasterCharging",0,0,0,0,0,1
"mh17",0,0,0,0,0,1
"Some one",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"more than 300",0,0,0,0,0,1
