Entity,COR,INC,PAR,SPU,MIS,IGN
"nine year old",0,0,0,0,0,1
"Wogan",0,0,0,0,0,1
"18 year old",0,0,0,0,0,1
"the next few days",0,0,0,0,0,1
"Yesterday",0,0,0,0,0,1
"1991 92",0,0,0,0,0,1
"last Friday",0,0,0,0,0,1
"Last week",0,0,0,0,0,1
"March 24th",0,0,0,0,0,1
"the day to day",0,0,0,0,0,1
"September",0,0,0,0,0,1
"Saturday 30 August 2014",0,0,0,0,0,1
"16",0,0,0,0,0,1
"Wednesday",0,0,0,0,0,1
"100 years '",0,0,0,0,0,1
"June 7",0,0,0,0,0,1
"the next year",0,0,0,0,0,1
"last winter",0,0,0,0,0,1
"Temperature 13",0,0,0,0,0,1
"The day",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"90s",0,0,0,0,0,1
"1916",0,0,0,0,0,1
"February 2001",0,0,0,0,0,1
"70s",0,0,0,0,0,1
"Sun 29 Jan 11 00 BARUFC U 13s",0,0,0,0,0,1
"18 year old Hamilton",0,0,0,0,0,1
"15",0,0,0,0,0,1
"October 25",0,0,0,0,0,1
"4 weeks",0,0,0,0,0,1
"9912",0,0,0,0,0,1
"a week",0,0,0,0,0,1
"April 48",0,0,0,0,0,1
"36 years",0,0,0,0,0,1
"bookjunkie1975",0,0,0,0,0,1
"10/01/2012",0,0,0,0,0,1
"weeks",0,0,0,0,0,1
"Thursday",0,0,0,0,0,1
"2012 FEBRUARY two",0,0,0,0,0,1
"a first quarter",0,0,0,0,0,1
"more than a week",0,0,0,0,0,1
"Labor Day",0,0,0,0,0,1
"Birthday",0,0,0,0,0,1
"PM",0,0,0,0,0,1
"the second half",0,0,0,0,0,1
"May 19",0,0,0,0,0,1
"Surrey Ewell East Ref 3878 Part time Dental Nurse3 days",0,0,0,0,0,1
"Big day 2mo Arsenal",0,0,0,0,0,1
"36 Years",0,0,0,0,0,1
"23 May",0,0,0,0,0,1
"a long weekend",0,0,0,0,0,1
"a great few days",0,0,0,0,0,1
"Next week",0,0,0,0,0,1
"2 ww 2",0,0,0,0,0,1
"tomorrow",0,0,0,0,0,1
"15 days",0,0,0,0,0,1
"August 15th , 1945 VJ Day",0,0,0,0,0,1
"5 years ago BBCBreaking",0,0,0,0,0,1
"This week",0,0,0,0,0,1
"nearly a year old",0,0,0,0,0,1
"May Universal Credit",0,0,0,0,0,1
"harvest day",0,0,0,0,0,1
"a monday",0,0,0,0,0,1
"Post2015",0,0,0,0,0,1
"Monday , April 21 , 2014",0,0,0,0,0,1
"July 11th",0,0,0,0,0,1
"four years Wednesday",0,0,0,0,0,1
"EssexFashionWk 8th April 2012",0,0,0,0,0,1
"quarterly",0,0,0,0,0,1
"1973",0,0,0,0,0,1
"a great day X First new years day",0,0,0,0,0,1
"2day",0,0,0,0,0,1
"October 19",0,0,0,0,0,1
"February 2009",0,0,0,0,0,1
"nearly 40 years",0,0,0,0,0,1
"42",0,0,0,0,0,1
"months",0,0,0,0,0,1
"Fourth of July",0,0,0,0,0,1
"election year",0,0,0,0,0,1
"10yrs ago",0,0,0,0,0,1
"Between 1999 and 2011 / 12",0,0,0,0,0,1
"4 days",0,0,0,0,0,1
"5 years",0,0,0,0,0,1
"more than one week",0,0,0,0,0,1
"17",0,0,0,0,0,1
"80 years old",0,0,0,0,0,1
"67",0,0,0,0,0,1
"2010",0,0,0,0,0,1
"a period of half a year",0,0,0,0,0,1
"2014 Grrrr",0,0,0,0,0,1
"a couple of years",0,0,0,0,0,1
"co/H1TW9j1Enx B. C.",0,0,0,0,0,1
"18 January",0,0,0,0,0,1
"May 07 , 2014",0,0,0,0,0,1
"monthly",0,0,0,0,0,1
"2929",0,0,0,0,0,1
"80",0,0,0,0,0,1
"last Thursday 's",0,0,0,0,0,1
"28am HW 4 . 7m",0,0,0,0,0,1
"1918",0,0,0,0,0,1
"the F20group",0,0,0,0,0,1
"25 days",0,0,0,0,0,1
"7th January 1816",0,0,0,0,0,1
"Cannes2013",0,0,0,0,0,1
"March 16",0,0,0,0,0,1
"2. co/c1pKDGw2Xo",0,0,0,0,0,1
"6 days",0,0,0,0,0,1
"February 1st",0,0,0,0,0,1
"Sunday ANC",0,0,0,0,0,1
"21 year old",0,0,0,0,0,1
"5 H 24",0,0,0,0,0,1
"six months",0,0,0,0,0,1
"2 dawgbone98",0,0,0,0,0,1
"18 month old Felix",0,0,0,0,0,1
"May 1st",0,0,0,0,0,1
"A century later",0,0,0,0,0,1
"4 long years",0,0,0,0,0,1
"at least 10 years",0,0,0,0,0,1
"Four and a half year",0,0,0,0,0,1
"T minus 20 years",0,0,0,0,0,1
"17 year old",0,0,0,0,0,1
"52",0,0,0,0,0,1
"18",0,0,0,0,0,1
"10",0,0,0,0,0,1
"4 long long years Nau mai Haere",0,0,0,0,0,1
"about quarter to nine tomorrow morning",0,0,0,0,0,1
"3 C. Rain today",0,0,0,0,0,1
"4 years",0,0,0,0,0,1
"the year",0,0,0,0,0,1
"two year old",0,0,0,0,0,1
"Dec 2014",0,0,0,0,0,1
"2 weeks",0,0,0,0,0,1
"1982",0,0,0,0,0,1
"2014 / 15",0,0,0,0,0,1
"DAY 1 BRISTOL First",0,0,0,0,0,1
"14 year old",0,0,0,0,0,1
"70 years",0,0,0,0,0,1
"kclr96fm",0,1,0,0,0,0
"Third week",0,0,0,0,0,1
"5 more days",0,0,0,0,0,1
"next year bringon2013",0,0,0,0,0,1
"the age of 90",0,0,0,0,0,1
"95",0,0,0,0,0,1
"May 23rd",0,0,0,0,0,1
"8 / 7c",0,0,0,0,0,1
"less than five days",0,0,0,0,0,1
"Oct.",0,0,0,0,0,1
"78 years later",0,0,0,0,0,1
"20 years",0,0,0,0,0,1
"months ago",0,0,0,0,0,1
"2015 Academy Awards",0,0,0,0,0,1
"first quarter",0,0,0,0,0,1
"its year",0,0,0,0,0,1
"years nowplaying Wonderful day",0,0,0,0,0,1
"two weeks",0,0,0,0,0,1
"45 year old",0,0,0,0,0,1
"this time of year",0,0,0,0,0,1
"The Day 's",0,0,0,0,0,1
"as early as Friday",0,0,0,0,0,1
"11am",0,0,0,0,0,1
"week",0,0,0,0,0,1
"2012 Constitutional Court",0,0,0,0,0,1
"500 days of summer",0,0,0,0,0,1
"this season",0,0,0,0,0,1
"U. S. March",0,0,0,0,0,1
"3985",0,0,0,0,0,1
"1945",0,0,0,0,0,1
"Feb 22",0,0,0,0,0,1
"8 years old",0,0,0,0,0,1
"The sooner Saturday",0,0,0,0,0,1
"60 years",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"1941 1960",0,0,0,0,0,1
"the past day",0,0,0,0,0,1
"pray4safety",0,0,0,0,0,1
"December",0,0,0,0,0,1
"the past 52 months.",0,0,0,0,0,1
"eight in a row",0,0,0,0,0,1
