Entity,COR,INC,PAR,SPU,MIS,IGN
"Winter Classic",0,0,0,0,0,1
": Happy New Year",0,0,0,0,0,1
"Race Week 2014 Galway",0,0,0,0,0,1
"Cup of tea",0,0,0,0,0,1
"WWII",0,0,0,0,0,1
"War of the Vikings",0,0,0,0,0,1
"FA Cup weekend",0,0,0,0,0,1
"MH17 Ukraine",0,0,0,0,0,1
"the 1 / 2 RealEddieHobbs",0,0,0,0,0,1
"4 / 15",0,0,0,0,0,1
"Business of the House : Backbench Business Rwandan Genocide 8 May 2014",0,0,0,0,0,1
"co/ramsvLrPL1 Earthquake",0,0,0,0,0,1
"the Scottish Children 's Book Awards Hedzie Last night",0,0,0,0,0,1
"Constitutions and Culture Wars '",0,0,0,0,0,1
"the Arndale fish market Festival",0,0,0,0,0,1
"XperiaFriday",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"New Day",0,0,0,0,0,1
"'No Makeup Day ' Dancing",0,0,0,0,0,1
"6 / 30 / 14 . DoIt Obrigado",0,0,0,0,0,1
"Something For The Weekend",0,0,0,0,0,1
"the Dutch War of Independence",0,0,0,0,0,1
"FA Youth Cup fourth",0,0,0,0,0,1
"how Sports Teams",0,0,0,0,0,1
"New Year Alesan",0,0,0,0,0,1
"co/ASUTwdtQN6 Gold",0,0,0,0,0,1
"New Year May this year",0,0,0,0,0,1
"Civil War",0,0,0,0,0,1
"Happy Australia Day",0,0,0,0,0,1
"SNOW IN THE LAST 2 WEEKS",0,0,0,0,0,1
"Backbench Business Rwandan Genocide 8 May 2014",0,0,0,0,0,1
"Some Day",0,0,0,0,0,1
"The Year",0,0,0,0,0,1
"D Day",0,0,0,0,0,1
"SHO Psychiatry Greenwich 5 Week Locum",0,0,0,0,0,1
"the AmChamAU Business Luncheon",0,0,0,0,0,1
"Irish News : Pan Celtic Festival",0,0,0,0,0,1
"World Heritage JohnButlerTrio",0,0,0,0,0,1
"WWI",0,0,0,0,0,1
"prayforMH17 Last",0,0,0,0,0,1
"Hunger Games",0,0,0,0,0,1
"Holocaust Memorial Day",0,0,0,0,0,1
"9 / 11",0,0,0,0,0,1
"War against Ebola",0,0,0,0,0,1
"Spring Showcase",0,0,0,0,0,1
"FA Cup",0,1,0,0,0,0
"co/zxSzpWtUyL Hearing",0,0,0,0,0,1
"Festival",0,0,0,0,0,1
"the Eagleby Learning College Careers Day",0,0,0,0,0,1
"4 / 22 / 2014",0,0,0,0,0,1
"co/s6G7My3c0G Earthquake",0,0,0,0,0,1
"the World Cup",0,0,0,0,0,1
"the African Leaders Summit",0,0,0,0,0,1
"World Cup 2022",0,0,0,0,0,1
"Election Campaign",0,0,0,0,0,1
"Vietnam Vets this weekend",0,0,0,0,0,1
"B 2 ST VN 140611 NOW Trouble Maker Jungbudae Festival 29 30 31 B2UTYMAKASSAR",0,0,0,0,0,1
"LabWomenSafety Conference DN_SHERlF",0,0,0,0,0,1
"Dromana Bowls",0,0,0,0,0,1
"12 / 12 / 12.",0,0,0,0,0,1
"co/5c5M1RSCoN New summer",0,0,0,0,0,1
"HappyHeartsFund Gala",0,0,0,0,0,1
"Spring Racing 's",0,0,0,0,0,1
"Copenhagen Eurovision",0,0,0,0,0,1
"the Battle of Haarlemmermeer",0,0,0,0,0,1
"World War 1",0,0,0,0,0,1
"3 / 24",0,0,0,0,0,1
"TIFF",0,1,0,0,0,0
"Dutch 154 Australians 27 Malaysia 23 Indonesia 11 UK 6 Germany 4 Belgium 4 White House",0,0,0,0,0,1
"The Freedom Festival",0,0,0,0,0,1
"Club Quarter Marathon",0,0,0,0,0,1
"co/ol6nKZW5tL iHeartRadio Music Festival",0,0,0,0,0,1
"MOWHETT : Ghetto Public announcement : 7 eleven",0,0,0,0,0,1
"the New Year Victory",0,0,0,0,0,1
"the Special Olympics",0,0,0,0,0,1
"Grand Pride",0,0,0,0,0,1
"D Day one",0,0,0,0,0,1
"a New Year 's",0,0,0,0,0,1
"the African Cup of Nations",0,0,0,0,0,1
"London 2012 : Olympic watchdog",0,0,0,0,0,1
"the FIBA Spain2014 Preliminary Round",0,0,0,0,0,1
"Gold Members BBQ and Press Conference",0,0,0,0,0,1
"Olympic Legacy Funding",0,0,0,0,0,1
"Happy Birthday",0,0,0,0,0,1
"KinsaleNews Thunderstorm",0,0,0,0,0,1
"the Hawkesbury International Sand Sculpture Competition",0,0,0,0,0,1
"Hurricane",0,0,0,0,0,1
"Olympic",0,1,0,0,0,0
"Happy New Year 2012",0,0,0,0,0,1
"JLSofficial March April UK",0,0,0,0,0,1
"THIS AND SO MUCH THIS Highlight 3",0,0,0,0,0,1
"Wimbledon",0,1,0,0,0,0
"Canada Day",0,0,0,0,0,1
"World Cup",0,1,0,0,0,0
"The Works tomorrow",0,0,0,0,0,1
"MYBigNightOut Concert",0,0,0,0,0,1
"the First World War",0,0,0,0,0,1
"Independence Day",0,0,0,0,0,1
"Summer Sun Belfast",0,0,0,0,0,1
"BetwsYnRhos Flower Show",0,0,0,0,0,1
"Happy New Year",0,0,0,0,0,1
"co/gaLQiKOY Tennis : Australian Open 2012",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,5,0,0,0,98
