Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"Visa",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"Darlington",0,1,0,0,0,0
"West Midlands",0,1,0,0,0,0
"Denpasar JQ 46",0,0,0,0,0,1
"Tipperary",0,1,0,0,0,0
"BBCLincolnshire",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"West Africa",0,1,0,0,0,0
"Zagreb",0,1,0,0,0,0
"Ohio",0,0,0,0,0,1
"Djerba",0,1,0,0,0,0
"Man City",0,1,0,0,0,0
"SamPCrosby",0,1,0,0,0,0
"Cormannator",0,0,0,0,0,1
"B. C.",0,0,0,0,0,1
"Harhur",0,1,0,0,0,0
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"US 4",0,0,0,0,0,1
"Palestine",0,1,0,0,0,0
"Dublin BISA2014 Visit",0,0,0,0,0,1
"Netherlands Holland",0,0,0,0,0,1
"Wicklow",0,1,0,0,0,0
"Bray",0,1,0,0,0,0
"Janss . .",0,0,0,0,0,1
"Baltimore",0,1,0,0,0,0
"co/UQNfNnZ5V3 U. S.",0,0,0,0,0,1
"Wisconsin 74 73",0,0,0,0,0,1
"BRAZIL 7th",0,0,0,0,0,1
"Cincinnati",0,1,0,0,0,0
"Republic 8",0,0,0,0,0,1
"Fl",0,0,0,0,0,1
"Sussex",0,1,0,0,0,0
"co/XL1J4TqAPm Australia 's first",0,0,0,0,0,1
"Pukehinau Flats",0,1,0,0,0,0
"Omaha",0,1,0,0,0,0
"Ballymurphy",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Dublin West",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Grimsby",0,1,0,0,0,0
"Mosul",0,1,0,0,0,0
"Somalia",0,1,0,0,0,0
"Argentina",0,1,0,0,0,0
"Camden",0,1,0,0,0,0
"Drogheda",0,1,0,0,0,0
"Phoenix",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"Derry",0,1,0,0,0,0
"P. E. I.",0,0,0,0,0,1
"Rozsypne",0,1,0,0,0,0
"West VA",0,1,0,0,0,0
"Parlt tonight",0,0,0,0,0,1
"Newry , Co. Down",0,0,0,0,0,1
"Lochee",0,1,0,0,0,0
"Carlow",0,1,0,0,0,0
"Meath",0,1,0,0,0,0
"The U. S.",0,0,0,0,0,1
"Toowoomba",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"DC",0,1,0,0,0,0
"Telegraph",0,1,0,0,0,0
"Ashburton",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Embassy",0,0,0,0,0,1
"Willow",0,1,0,0,0,0
"NewYork",0,0,0,0,0,1
"Nenagh Ireland",0,1,0,0,0,0
"Villa",0,0,0,0,0,1
"Sundown Dublin",0,0,0,0,0,1
"Manawatu",0,0,0,0,0,1
