Entity,COR,INC,PAR,SPU,MIS,IGN
"co/TgddYDeyNN 11",0,0,0,0,0,1
"the Welfare Reform Bill . Shame",0,0,0,0,0,1
"Was your area Pro Treaty or Anti Treaty",0,0,0,0,0,1
"Submits Application for New Symbol http",0,0,0,0,0,1
"Espionage Act",0,0,0,0,0,1
"30thingsaboutme 17",0,0,0,0,0,1
"StJude 2 /",0,0,0,0,0,1
"Canada Charter of Rights",0,0,0,0,0,1
"Christie 3",0,0,0,0,0,1
"DWP Questions Deregulation Bill Queen",0,0,0,0,0,1
"Motion 29",0,1,0,0,0,0
"WA 34",0,0,0,0,0,1
"Construction Industry Code 2014",0,0,0,0,0,1
"97c / min Remember the Lisbon Treaty ' Citizens Initiative '",0,0,0,0,0,1
"This Housing Assistance Payment",0,0,0,0,0,1
"co/HZxkUy41 One eye black One eye Blue One",0,0,0,0,0,1
"Constitution",0,0,0,0,0,1
"Flightradar 24",0,0,0,0,0,1
"Revision",0,0,0,0,0,1
"Carbon",0,0,0,0,0,1
"co/Ac33lag8Z4 MH17 ' Unspeakable crime ' Graphic : MH17 's",0,0,0,0,0,1
"the Anglo Irish Treaty",0,0,0,0,0,1
"Now 67",0,0,0,0,0,1
"co/jtzqwe8b0g Calls for Commission of Investigation",0,0,0,0,0,1
"DP 46609 1 Price : 30 . 99 Was 39",0,0,0,0,0,1
"Couponing 4 You Three HOT",0,0,0,0,0,1
"Guardian",0,1,0,0,0,0
"FOI",0,0,0,0,0,1
"Carbon Tax Repeal",0,0,0,0,0,1
"The Laws of the Jungle",0,0,0,0,0,1
"MH 370",0,0,0,0,0,1
"co/wcNYNeqeP8 Gr 8",0,0,0,0,0,1
"Protect Net Neutrality",0,0,0,0,0,1
*TOTAL*,0,2,0,0,0,31
