Entity,COR,INC,PAR,SPU,MIS,IGN
"Finland",0,0,0,0,1,0
"Biddulph Moor",1,0,0,0,0,0
"East coast",0,0,0,0,1,0
"Hertfordshire",0,0,0,0,1,0
"Sewol",0,0,0,0,1,0
"Charlottetown",0,0,0,0,1,0
"Cote d ' Ivoire",0,0,0,0,1,0
"Nottingham Railway Station",0,0,0,0,1,0
"Labrador",0,0,0,0,1,0
"Ireland.",0,0,0,0,1,0
"#Belfast",0,0,0,0,1,0
"#Leicester",0,0,0,0,1,0
"#limerick",0,0,0,0,1,0
"Shifa hospital",0,0,0,0,1,0
"Luton Room",0,0,0,0,1,0
"Hyde Park",0,0,0,0,1,0
"West Wing",0,0,1,0,0,0
"Cape Breton",1,0,0,0,0,0
"Villers- Bretonneux",0,0,0,0,1,0
"Kuala Lumpur",0,0,0,0,1,0
"Big Ben",0,0,0,0,1,0
"Buenos Dias",0,0,0,0,1,0
"Warwickshire",0,0,0,0,1,0
"co/zN52d5WaPP East",0,0,1,0,0,0
"Bournemouth",0,0,0,0,1,0
"Poland border",0,0,0,0,1,0
"Moon.",0,0,0,0,1,0
"city of london",0,0,0,0,1,0
"Crimea",0,0,0,0,1,0
"Tilbury Docks",1,0,0,0,0,0
"Tasmanians",0,0,0,0,1,0
"UK North Sea",1,0,0,0,0,0
"Wexford Park",0,0,0,0,1,0
"Hakupha",0,0,0,0,1,0
"Oakley",0,0,0,0,1,0
"Estate",0,0,0,0,1,0
"ruddington",0,0,0,0,1,0
"Arctic",1,0,0,0,0,0
"photosofdublin",0,0,0,0,1,0
"Tow Center",0,0,0,0,1,0
"Nantong",0,0,0,0,1,0
"Watford",0,0,0,0,1,0
"Edmonton",0,0,0,0,1,0
"Energy East Pipeline",0,0,1,0,0,0
"Manaus",0,0,0,0,1,0
"Avoca Beach",0,0,0,0,1,0
"Garryvoe",0,0,0,0,1,0
"Swilly",0,0,0,0,1,0
"maravilla",0,0,0,0,1,0
"#Melbourne?",0,0,0,0,1,0
"Tiananmen Square",0,0,0,0,1,0
"Middle East",1,0,0,0,0,0
"#Middelburg",0,0,0,0,1,0
"Tal Afar",0,0,0,0,1,0
"#grandcayman",0,0,0,0,1,0
"Swanston St",0,0,0,0,1,0
"Turkey Deepest",0,0,1,0,0,0
"polref_Ireland",0,0,0,0,1,0
"Luxor",0,0,0,0,1,0
"school",0,0,0,0,1,0
"#gaza",0,0,0,0,1,0
"Wexford",0,0,0,0,1,0
"Tehran",0,0,0,0,1,0
"South Thanet",0,0,0,0,1,0
"#Kashmir",0,0,0,0,1,0
"Willey Street",0,0,0,0,1,0
"MicrosoftStore",0,0,0,0,1,0
"#FreePalestine",0,0,0,0,1,0
"Palmerston Road",0,0,0,0,1,0
"Ashburton",1,0,0,0,0,0
"Lebanon",0,0,0,0,1,0
"Snezhnoe",0,0,0,0,1,0
"Moorbrook Lodge",0,0,0,0,1,0
"Turkmenistan",0,0,0,0,1,0
"#Sydney",0,0,0,0,1,0
"#FRUK",0,0,0,0,1,0
"#Cork,",0,0,0,0,1,0
"Exeter",0,0,0,0,1,0
"New Hampshire",0,0,0,0,1,0
"Mosul dam",0,0,0,0,1,0
"Prairies",1,0,0,0,0,0
"Kashmir",1,0,0,0,0,0
"Stewart Island",0,0,0,0,1,0
"Midlands",0,0,0,0,1,0
"sochi",0,0,0,0,1,0
"#Poolbeg chimneys",0,0,0,0,1,0
"Palau",0,0,0,0,1,0
"ArcelorMittal Orbit",0,0,0,0,1,0
"TescoHednesford",0,0,0,0,1,0
"Kirkuk",0,0,0,0,1,0
"#Russia",0,0,0,0,1,0
"#WestStafford Bypass",0,0,0,0,1,0
"Granadilla de Abona",0,0,0,0,1,0
"#TOREZ",0,0,0,0,1,0
"Cineworld Newport",0,0,0,0,1,0
"Fortress Quebec",0,0,1,0,0,0
"New York City",0,0,0,0,1,0
"Hillsborough",0,0,0,0,1,0
