Entity,COR,INC,PAR,SPU,MIS,IGN
"four 2015",0,0,0,0,0,1
"at least two",0,0,0,0,0,1
"34",0,0,0,0,0,1
"3 30",0,0,0,0,0,1
"22K",0,0,0,0,0,1
"298",0,0,0,0,0,1
"More than 191",0,0,0,0,0,1
"16",0,0,0,0,0,1
"a quarter",0,0,0,0,0,1
"1024",0,0,0,0,0,1
"1. 28",0,0,0,0,0,1
"133",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"1m",0,0,0,0,0,1
"15",0,0,0,0,0,1
"40 plus",0,0,0,0,0,1
"000",0,0,0,0,0,1
"800",0,0,0,0,0,1
"9912",0,0,0,0,0,1
"x20",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"eleven",0,0,0,0,0,1
"32",0,0,0,0,0,1
"only 80",0,0,0,0,0,1
"3. 45",0,0,0,0,0,1
"almost 20m",0,0,0,0,0,1
"More than 100",0,0,0,0,0,1
"Half",0,0,0,0,0,1
"8bn",0,0,0,0,0,1
"about 7b",0,0,0,0,0,1
"6",0,0,0,0,0,1
"650",0,0,0,0,0,1
"24 million",0,0,0,0,0,1
"3",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"204",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"More than 200",0,0,0,0,0,1
"20",0,0,0,0,0,1
"182",0,0,0,0,0,1
"22211",0,0,0,0,0,1
"More than 40",0,0,0,0,0,1
"18yo",0,0,0,0,0,1
"42",0,0,0,0,0,1
"up to 100",0,0,0,0,0,1
"one",0,0,0,0,0,1
"183",0,0,0,0,0,1
"17",0,0,0,0,0,1
"9 billion",0,0,0,0,0,1
"Twelve",0,0,0,0,0,1
"up to 300",0,0,0,0,0,1
"39",0,0,0,0,0,1
"470",0,0,0,0,0,1
"350",0,0,0,0,0,1
"80",0,0,0,0,0,1
"16 billion",0,0,0,0,0,1
"48",0,0,0,0,0,1
"100 , 000",0,0,0,0,0,1
"824",0,0,0,0,0,1
"at least 10",0,0,0,0,0,1
"over 3 million",0,0,0,0,0,1
"more than 200",0,0,0,0,0,1
"3 38",0,0,0,0,0,1
"856",0,0,0,0,0,1
"141 million",0,0,0,0,0,1
"nearly 10 million",0,0,0,0,0,1
"109",0,0,0,0,0,1
"4.",0,0,0,0,0,1
"6.",0,0,0,0,0,1
"52",0,0,0,0,0,1
"BILLION",0,0,0,0,0,1
"18",0,0,0,0,0,1
"almost 800",0,0,0,0,0,1
"10",0,0,0,0,0,1
"870",0,0,0,0,0,1
"767",0,0,0,0,0,1
"10c",0,0,0,0,0,1
"102",0,0,0,0,0,1
"a million and one",0,0,0,0,0,1
"Nine",0,0,0,0,0,1
"248",0,0,0,0,0,1
"400m",0,0,0,0,0,1
"60k",0,0,0,0,0,1
"95",0,0,0,0,0,1
"480m",0,0,0,0,0,1
"6. 30",0,0,0,0,0,1
"More than three quarters",0,0,0,0,0,1
"5",0,0,0,0,0,1
"140611",0,0,0,0,0,1
"more than 150",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"more than 300",0,0,0,0,0,1
"more than 100",0,0,0,0,0,1
"283",0,0,0,0,0,1
"3985",0,0,0,0,0,1
"9m",0,0,0,0,0,1
"1.",0,0,0,0,0,1
"about 275",0,0,0,0,0,1
"02 / 01",0,0,0,0,0,1
"7",0,0,0,0,0,1
"27.",0,0,0,0,0,1
"2 1bn",0,0,0,0,0,1
"15m",0,0,0,0,0,1
"half",0,0,0,0,0,1
"at least 19",0,0,0,0,0,1
"61 2",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"8. 5m",0,0,0,0,0,1
"1b",0,0,0,0,0,1
"59",0,0,0,0,0,1
"1. 40",0,0,0,0,0,1
"Nearly 6",0,0,0,0,0,1
"About 122",0,0,0,0,0,1
"168 million",0,0,0,0,0,1
"1. 30",0,0,0,0,0,1
"1. 35",0,0,0,0,0,1
"4 1",0,0,0,0,0,1
"50 billion",0,0,0,0,0,1
"46609",0,0,0,0,0,1
"N21",0,0,0,0,0,1
"39.",0,0,0,0,0,1
"162",0,0,0,0,0,1
"Y3",0,0,0,0,0,1
"1 / 2",0,0,0,0,0,1
"400",0,0,0,0,0,1
"more than 250",0,0,0,0,0,1
"49",0,0,0,0,0,1
"24",0,0,0,0,0,1
"1004",0,0,0,0,0,1
"08",0,0,0,0,0,1
"1. 3bn",0,0,0,0,0,1
"1. 05",0,0,0,0,0,1
"14",0,0,0,0,0,1
"15b",0,0,0,0,0,1
"92",0,0,0,0,0,1
"57",0,0,0,0,0,1
"2012",0,0,0,0,0,1
"15.",0,0,0,0,0,1
"1011",0,0,0,0,0,1
"71",0,0,0,0,0,1
"96TkhnBUfo",0,0,0,0,0,1
"128",0,0,0,0,0,1
"150",0,0,0,0,0,1
"7m",0,0,0,0,0,1
"1022",0,0,0,0,0,1
"4",0,0,0,0,0,1
"2 0",0,0,0,0,0,1
"3 billion",0,0,0,0,0,1
"Four",0,0,0,0,0,1
"more than 700",0,0,0,0,0,1
"millions",0,0,0,0,0,1
"43",0,0,0,0,0,1
"9",0,0,0,0,0,1
"110",0,0,0,0,0,1
"206",0,0,0,0,0,1
"75m",0,0,0,0,0,1
"21",0,0,0,0,0,1
"50m",0,0,0,0,0,1
"94",0,0,0,0,0,1
"1014",0,0,0,0,0,1
"900 million",0,0,0,0,0,1
"701",0,0,0,0,0,1
"5763231",0,0,0,0,0,1
"500m",0,0,0,0,0,1
"921",0,0,0,0,0,1
"10 million",0,0,0,0,0,1
"001 122697",0,0,0,0,0,1
"27",0,0,0,0,0,1
"at least 100",0,0,0,0,0,1
"11. 8 million",0,0,0,0,0,1
"Millions",0,0,0,0,0,1
"30k",0,0,0,0,0,1
"50 and 100",0,0,0,0,0,1
"5000",0,0,0,0,0,1
"088",0,0,0,0,0,1
"2",0,0,0,0,0,1
"4,947,486",0,0,0,0,0,1
"dozens",0,0,0,0,0,1
"more than 140",0,0,0,0,0,1
"TWO",0,0,0,0,0,1
"224m",0,0,0,0,0,1
"2bn",0,0,0,0,0,1
"12",0,0,0,0,0,1
"250",0,0,0,0,0,1
"up to 18",0,0,0,0,0,1
"Ten",0,0,0,0,0,1
"35",0,0,0,0,0,1
"249",0,0,0,0,0,1
"550m",0,0,0,0,0,1
"more than 9",0,0,0,0,0,1
"23",0,0,0,0,0,1
"90",0,0,0,0,0,1
"26",0,0,0,0,0,1
"about half",0,0,0,0,0,1
"46",0,0,0,0,0,1
"five",0,0,0,0,0,1
"243",0,0,0,0,0,1
"98K",0,0,0,0,0,1
"381",0,0,0,0,0,1
"500",0,0,0,0,0,1
"75",0,0,0,0,0,1
"19million",0,0,0,0,0,1
"87",0,0,0,0,0,1
"18. 7 million",0,0,0,0,0,1
"30",0,0,0,0,0,1
"094",0,0,0,0,0,1
"7.",0,0,0,0,0,1
"200m",0,0,0,0,0,1
"880",0,0,0,0,0,1
"Nearly 96",0,0,0,0,0,1
"11914",0,0,0,0,0,1
"192",0,0,0,0,0,1
"447,000",0,0,0,0,0,1
"56",0,0,0,0,0,1
"19. 95",0,0,0,0,0,1
"256",0,0,0,0,0,1
"73",0,0,0,0,0,1
"a million",0,0,0,0,0,1
"09",0,0,0,0,0,1
"ten",0,0,0,0,0,1
"100m",0,0,0,0,0,1
"18m",0,0,0,0,0,1
"7k",0,0,0,0,0,1
"107",0,0,0,0,0,1
"A few dozen",0,0,0,0,0,1
"83",0,0,0,0,0,1
"131",0,0,0,0,0,1
"70",0,0,0,0,0,1
"8 million",0,0,0,0,0,1
"300",0,0,0,0,0,1
"13",0,0,0,0,0,1
"972",0,0,0,0,0,1
"20m",0,0,0,0,0,1
"3 04:04",0,0,0,0,0,1
"12c",0,0,0,0,0,1
"16. 7bn",0,0,0,0,0,1
"3bn",0,0,0,0,0,1
"1",0,0,0,0,0,1
"Y7",0,0,0,0,0,1
"Three",0,0,0,0,0,1
"hundreds",0,0,0,0,0,1
"81",0,0,0,0,0,1
"721",0,0,0,0,0,1
"101",0,0,0,0,0,1
"400 Million",0,0,0,0,0,1
"7 eleven",0,1,0,0,0,0
"40",0,0,0,0,0,1
"At least 11",0,0,0,0,0,1
"485",0,0,0,0,0,1
"74",0,0,0,0,0,1
"295",0,0,0,0,0,1
"up to 125,000",0,0,0,0,0,1
"961",0,0,0,0,0,1
"777 200",0,0,0,0,0,1
"64",0,0,0,0,0,1
"SEVEN",0,0,0,0,0,1
"35m",0,0,0,0,0,1
"approximately 7billion",0,0,0,0,0,1
"11",0,0,0,0,0,1
"100",0,0,0,0,0,1
"more than one",0,0,0,0,0,1
"One",0,0,0,0,0,1
"746",0,0,0,0,0,1
"144",0,0,0,0,0,1
"332",0,0,0,0,0,1
"billions",0,0,0,0,0,1
"21024",0,0,0,0,0,1
"1023",0,0,0,0,0,1
"925",0,0,0,0,0,1
"eight",0,0,0,0,0,1
"2.",0,0,0,0,0,1
"695",0,0,0,0,0,1
"thousands",0,0,0,0,0,1
"about 10",0,0,0,0,0,1
"50 / 50",0,0,0,0,0,1
"3 million",0,0,0,0,0,1
"82",0,0,0,0,0,1
"3000",0,0,0,0,0,1
"40,000",0,0,0,0,0,1
"41",0,0,0,0,0,1
"89",0,0,0,0,0,1
"51",0,0,0,0,0,1
"almost 300",0,0,0,0,0,1
"1500hrs",0,0,0,0,0,1
"04",0,0,0,0,0,1
"25",0,0,0,0,0,1
"200",0,0,0,0,0,1
"3.",0,0,0,0,0,1
"600",0,0,0,0,0,1
"19. 30",0,0,0,0,0,1
"at least 46",0,0,0,0,0,1
"104",0,0,0,0,0,1
"140",0,0,0,0,0,1
"1. 4bn",0,0,0,0,0,1
"1600",0,0,0,0,0,1
"275",0,0,0,0,0,1
"0",0,0,0,0,0,1
"30.",0,0,0,0,0,1
"113",0,0,0,0,0,1
"22",0,0,0,0,0,1
"6. 39 million",0,0,0,0,0,1
"77",0,0,0,0,0,1
"1015",0,0,0,0,0,1
"552",0,0,0,0,0,1
"just 50",0,0,0,0,0,1
"28",0,0,0,0,0,1
"29",0,0,0,0,0,1
"276 million",0,0,0,0,0,1
"129",0,0,0,0,0,1
"19",0,0,0,0,0,1
"41m",0,0,0,0,0,1
"154",0,0,0,0,0,1
"1006",0,0,0,0,0,1
"36",0,0,0,0,0,1
"069",0,0,0,0,0,1
"at least six",0,0,0,0,0,1
"50",0,0,0,0,0,1
"8",0,0,0,0,0,1
"1035",0,0,0,0,0,1
"About 75",0,0,0,0,0,1
"122",0,0,0,0,0,1
"4 billion",0,0,0,0,0,1
"over 500",0,0,0,0,0,1
"160m",0,0,0,0,0,1
"four",0,0,0,0,0,1
"Ten nine eight",0,0,0,0,0,1
"Hundreds",0,0,0,0,0,1
"19.",0,0,0,0,0,1
"229",0,0,0,0,0,1
"5.",0,0,0,0,0,1
"05",0,0,0,0,0,1
"60",0,0,0,0,0,1
"55m",0,0,0,0,0,1
"Six",0,0,0,0,0,1
"six",0,0,0,0,0,1
"457",0,0,0,0,0,1
"78",0,0,0,0,0,1
"three",0,0,0,0,0,1
"615",0,0,0,0,0,1
"million",0,0,0,0,0,1
"4. 02",0,0,0,0,0,1
"63",0,0,0,0,0,1
"180",0,0,0,0,0,1
"Q 2",0,0,0,0,0,1
"29.",0,0,0,0,0,1
"16.",0,0,0,0,0,1
"99",0,0,0,0,0,1
"649",0,0,0,0,0,1
"607",0,0,0,0,0,1
"750",0,0,0,0,0,1
"33",0,0,0,0,0,1
"45",0,0,0,0,0,1
"8.",0,0,0,0,0,1
"97",0,0,0,0,0,1
"0mm",0,0,0,0,0,1
"103",0,0,0,0,0,1
"Dewpoint",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,358
