Entity,COR,INC,PAR,SPU,MIS,IGN
"Mount Polley",0,1,0,0,0,0
"Red Rocks Amphitheatre",0,1,0,0,0,0
"den HEERE te loven en te danken",0,0,0,0,0,1
"LUgqsgliw1 Hiding",0,0,0,0,0,1
"Manitoba airport",0,0,0,0,0,1
"Denpasar JQ 46",0,0,0,0,0,1
"Heart 107",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"Caffe Nero",0,0,0,0,0,1
"Roscommon Oak Park",0,0,0,0,0,1
"the N 20",0,0,0,0,0,1
"ERuwcHcGLt Fort Hood",0,0,0,0,0,1
"Carlislef1 Eerie",0,0,0,0,0,1
"5b3L5q3EbQ MH17",0,0,0,0,0,1
"megangarber Columbia ' s Tow Center",0,0,0,0,0,1
"Cork",0,1,0,0,0,0
"Jane and Bloor",0,0,0,0,0,1
"ywALc5f0 Jobs Truro Wish",0,0,0,0,0,1
"RM8bTt3ILw MH17",0,0,0,0,0,1
"EFC EvertonFC",0,0,0,0,0,1
"Murray Bridge",0,1,0,0,0,0
"the Arabian Travel Market",0,0,0,0,0,1
"Gerard Gardens",0,1,0,0,0,0
"DicksonLauren LIVE",0,0,0,0,0,1
"6J38CJv3Oq Croke Park",0,0,0,0,0,1
"DiscoverIreland View",0,0,0,0,0,1
"the St Matthew ' s Church",0,0,0,0,0,1
"Cambridge 105",0,1,0,0,0,0
"Palmerston Road",0,1,0,0,0,0
"Tilbury Docks",0,1,0,0,0,0
"MD 450",0,0,0,0,0,1
"G5eCRIvVhI Lac Megantic",0,0,0,0,0,1
"Arndale",0,0,0,0,0,1
"loftus road",0,0,0,0,0,1
"Pukehinau Flats",0,1,0,0,0,0
"Space Station",0,1,0,0,0,0
"MH17",0,0,0,0,0,1
"Airway L 980",0,0,0,0,0,1
"SF",0,1,0,0,0,0
"Rq7kG1pHZg Stars",0,0,0,0,0,1
"1Xau2X5ZJ9 Lorry",0,0,0,0,0,1
"La __ Cuen",0,0,0,0,0,1
"Aldgate",0,0,0,0,0,1
"LMsJ5cV9 RunKeeper",0,0,0,0,0,1
"the Kaiser in WWI",0,0,0,0,0,1
"Triple Zero",0,0,0,0,0,1
"Dean street townhouse",0,1,0,0,0,0
"Genghis Grill",0,1,0,0,0,0
"the Victoria School",0,0,0,0,0,1
"Fort Hood",0,1,0,0,0,0
"aL7FfkhexU Federal Reserve",0,0,0,0,0,1
"Kilmallock R 512",0,0,0,0,0,1
"TUfax5FGuc Hillsborough",0,0,0,0,0,1
"Dunluce Castle",0,1,0,0,0,0
"Grey Lynn Park",0,1,0,0,0,0
"Metro",0,1,0,0,0,0
"320 Willis Street",0,1,0,0,0,0
"MT myroslavapetsa Ukraine Air Traffic",0,0,0,0,0,1
"the o2 Arena",0,0,0,0,0,1
"the RUM HOUSE",0,0,0,0,0,1
