Entity,COR,INC,PAR,SPU,MIS,IGN
"859 million Swiss francs",0,0,0,0,0,1
"12 million dollars",0,0,0,0,0,1
"hundreds of dollars",0,0,0,0,0,1
"14. 5m",0,0,0,0,0,1
"100K",0,0,0,0,0,1
"3 billion euros",0,0,0,0,0,1
"1. 33 billion",0,0,0,0,0,1
"11 hrs",0,0,0,0,0,1
"59 cents",0,0,0,0,0,1
"1. 2 billion",0,0,0,0,0,1
"4. 16 billion",0,0,0,0,0,1
"132m 80m",0,0,0,0,0,1
"200 mln dollar",0,0,0,0,0,1
"97 cents",0,0,0,0,0,1
"15 billion euros 20. 6 billion",0,0,0,0,0,1
"6. 7 billion",0,0,0,0,0,1
"10,000 BC",0,0,0,0,0,1
"18 M",0,0,0,0,0,1
"1. 3 billion",0,0,0,0,0,1
"7. 1 billion",0,0,0,0,0,1
"BlackKimK 100",0,0,0,0,0,1
"68 cents",0,0,0,0,0,1
"80bn",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,23
