Entity,COR,INC,PAR,SPU,MIS,IGN
"Discovery Channel",0,1,0,0,0,0
"Power u",0,0,0,0,0,1
"uLJbPyWlrY Home Depot '",0,0,0,0,0,1
"the HMAS Cerberus",0,0,0,0,0,1
"Mars Bar",0,0,0,0,0,1
"Stilton",0,1,0,0,0,0
"MalaysianAirlines",0,0,0,0,0,1
"9gwZ2YLvYe Car",0,0,0,0,0,1
"Alfa Brera",0,0,0,0,0,1
"SA 11",0,0,0,0,0,1
"Trojan",0,0,0,0,0,1
"PatOnTheBack WellDone",0,0,0,0,0,1
"Cormannator",0,0,0,0,0,1
"Cool Runnings",0,0,0,0,0,1
"KABOOM",0,0,0,0,0,1
"Invisalign",0,1,0,0,0,0
"80rb Reseller / Dropship",0,0,0,0,0,1
"Quorn",0,1,0,0,0,0
"XMen",0,0,0,0,0,1
"KimKardashianGame",0,0,0,0,0,1
"Q09rNAmD0Q RAF",0,0,0,0,0,1
"MH17 Planes",0,0,0,0,0,1
"Ardspeninsula",0,0,0,0,0,1
"Wjiqy3Epom Plane",0,0,0,0,0,1
"TimHortons",0,1,0,0,0,0
"PS4",0,0,0,0,0,1
"Lowestoft Lions",0,1,0,0,0,0
"X Plane 10",0,0,0,0,0,1
"iTunes",0,1,0,0,0,0
"Flight MH 17",0,0,0,0,0,1
"MH17",0,0,0,0,0,1
"Qantas A 380",0,0,0,0,0,1
"Crusaders",0,0,0,0,0,1
"Weetabix",0,0,0,0,0,1
"GW 31",0,0,0,0,0,1
"Linux",0,1,0,0,0,0
"IiLXRgENtl Pilots",0,0,0,0,0,1
"Sunswift",0,0,0,0,0,1
"LakeDistrict",0,1,0,0,0,0
"UlsterGAA 5",0,0,0,0,0,1
"Pasta Bolognese",0,0,0,0,0,1
"ReplaceSongTitlesWithTampon Save CPU",0,0,0,0,0,1
"xboxone",0,0,0,0,0,1
"Sea Shepherd",0,0,0,0,0,1
"MH370",0,0,0,0,0,1
"Flight MH17",0,0,0,0,0,1
"TuneIn",0,1,0,0,0,0
"GALAXYKzoom",0,0,0,0,0,1
"Beagle 2",0,0,0,0,0,1
"ScooterMcGavin8",0,1,0,0,0,0
"4aJ1IgIK BA",0,0,0,0,0,1
"Buk",0,0,0,0,0,1
"J11 Birchwood Vendors",0,0,0,0,0,1
"MH 370",0,0,0,0,0,1
"NewsBlur",0,1,0,0,0,0
"Logitech G19",0,0,0,0,0,1
"CHAFF Pls DUMPHIM",0,0,0,0,0,1
"Disflux Lightning",0,0,0,0,0,1
"MH370 Plane",0,0,0,0,0,1
"TheOfficial2XU",0,1,0,0,0,0
"Trip Buggy",0,0,0,0,0,1
"' Grand Partenza '",0,0,0,0,0,1
"HMAS Cerberus",0,1,0,0,0,0
"MAS MH17",0,0,0,0,0,1
"MH 17",0,0,0,0,0,1
"gUTngkuxLC Pilot",0,0,0,0,0,1
"Flight 370",0,0,0,0,0,1
"Simple DIY Kit",0,0,0,0,0,1
"Semtex",0,0,0,0,0,1
"PCs",0,1,0,0,0,0
"MH17 MORE",0,0,0,0,0,1
"Rutina Wesley",0,1,0,0,0,0
"NatoSource",0,0,0,0,0,1
":// t. co / LgYVe7eGgs Three",0,0,0,0,0,1
"MH17 MH17",0,0,0,0,0,1
"DiscoverNI Leading",0,0,0,0,0,1
"NI 21",0,1,0,0,0,0
"BUK",0,1,0,0,0,0
"BT Infinity Homehub",0,0,0,0,0,1
"Kunza",0,0,0,0,0,1
"Arsenal",0,1,0,0,0,0
"iPod",0,0,0,0,0,1
"777",0,0,0,0,0,1
"CarbonTax",0,0,0,0,0,1
"Soyuz",0,0,0,0,0,1
"iPad",0,0,0,0,0,1
"RuneScape",0,1,0,0,0,0
"SQ 351",0,0,0,0,0,1
"Klein Bottle",0,0,0,0,0,1
"G15",0,0,0,0,0,1
"ImPux3HJjm Flight MH17",0,0,0,0,0,1
"KAL 007",0,0,0,0,0,1
"777 200",0,0,0,0,0,1
"Xbox",0,0,0,0,0,1
"Air Force One",0,0,0,0,0,1
"ry71geTHcm Girl",0,0,0,0,0,1
"Air 2",0,0,0,0,0,1
"MalaysiaAirlines MH17",0,0,0,0,0,1
"Suzuki",0,1,0,0,0,0
"KrakenRum",0,0,0,0,0,1
"B 787",0,0,0,0,0,1
"Manpads Colmogorman",0,0,0,0,0,1
"Flightradar 24",0,0,0,0,0,1
"Terio",0,1,0,0,0,0
"Concordia",0,0,0,0,0,1
"Dragon Mk 2",0,0,0,0,0,1
"MAS Flight MH17",0,0,0,0,0,1
"SelfBirthdayPresents Scatter Dipset",0,0,0,0,0,1
"Giro",0,1,0,0,0,0
"MH17 MH17 """,0,0,0,0,0,1
"SWelCek3IP Ccleaner",0,0,0,0,0,1
"TitosVodka",0,0,0,0,0,1
"Chrome",0,0,0,0,0,1
"BUK M 1",0,0,0,0,0,1
"the Liver Ducks",0,0,0,0,0,1
"TheBlackout",0,1,0,0,0,0
"SpaceX",0,1,0,0,0,0
*TOTAL*,0,25,0,0,0,92
