Entity,COR,INC,PAR,SPU,MIS,IGN
"0 km",0,0,0,0,0,1
"209,454 points",0,0,0,0,0,1
"10 , 000m",0,0,0,0,0,1
"3 lt",0,0,0,0,0,1
"14 , 000 foot",0,0,0,0,0,1
"400 metre",0,0,0,0,0,1
"8 mph",0,0,0,0,0,1
"forty one million pounds",0,0,0,0,0,1
"4. 6 deg",0,0,0,0,0,1
"33. 6mph",0,0,0,0,0,1
"10 mins",0,0,0,0,0,1
"293 watts",0,0,0,0,0,1
"73k pcm",0,0,0,0,0,1
"33 , 000 feet",0,0,0,0,0,1
"1 km",0,0,0,0,0,1
"6. 1mph",0,0,0,0,0,1
"20 min",0,0,0,0,0,1
"0 mph",0,0,0,0,0,1
"0 mm",0,0,0,0,0,1
"50 mb",0,0,0,0,0,1
"25 km",0,0,0,0,0,1
"5 km",0,0,0,0,0,1
"3 hPa",0,0,0,0,0,1
"30 mins",0,0,0,0,0,1
"400 M",0,0,0,0,0,1
"4. 62 mi",0,0,0,0,0,1
"4 pints",0,0,0,0,0,1
"meter",0,0,0,0,0,1
"50 yd 5. 8 mils",0,0,0,0,0,1
"37 9 FEET",0,0,0,0,0,1
"31 mins",0,0,0,0,0,1
"60 degrees",0,0,0,0,0,1
"100 4. 5 inch",0,0,0,0,0,1
"9 hPa",0,0,0,0,0,1
"3 uj",0,0,0,0,0,1
"two hours",0,0,0,0,0,1
"the miles",0,0,0,0,0,1
"308 calories",0,0,0,0,0,1
"25 mill",0,0,0,0,0,1
"20 mins",0,0,0,0,0,1
"8 mins",0,0,0,0,0,1
"2 hrs",0,0,0,0,0,1
"6 hours",0,0,0,0,0,1
"3 miles",0,0,0,0,0,1
"0 mph ESE",0,0,0,0,0,1
"4 hPa",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,46
