Entity,COR,INC,PAR,SPU,MIS,IGN
"6am",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"8pm",0,0,0,0,0,1
"10pm",0,0,0,0,0,1
"hours",0,0,0,0,0,1
"night",0,0,0,0,0,1
"a few minutes",0,0,0,0,0,1
"6 : 00am",0,0,0,0,0,1
"3 37 pm",0,0,0,0,0,1
"5 : 3 30 8",0,0,0,0,0,1
"Productive morning",0,0,0,0,0,1
"a worthy minute",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"late Satur",0,0,0,0,0,1
"127 Hours",0,0,0,0,0,1
"7 idk",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"6pm",0,0,0,0,0,1
"Earlier today",0,0,0,0,0,1
"15 PM ET",0,0,0,0,0,1
"OnPoli One hour",0,0,0,0,0,1
"8. 30pm",0,0,0,0,0,1
"12 hours",0,0,0,0,0,1
"11:30",0,0,0,0,0,1
"11pm",0,0,0,0,0,1
"9. 28 pm",0,0,0,0,0,1
"3 to 8 PM",0,0,0,0,0,1
"Tuesday night",0,0,0,0,0,1
"3pm",0,0,0,0,0,1
"minutes",0,0,0,0,0,1
"this morning.",0,0,0,0,0,1
"next Monday morning",0,0,0,0,0,1
"so many HOURS",0,0,0,0,0,1
"ElectricPicnic2014 6pm",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"10 hours",0,0,0,0,0,1
"13 Austin its10 pm",0,0,0,0,0,1
"4pm AEST",0,0,0,0,0,1
"Good morning",0,0,0,0,0,1
"35 minutes",0,0,0,0,0,1
"1pm today",0,0,0,0,0,1
"twenty four hour",0,0,0,0,0,1
"3 minute",0,0,0,0,0,1
"10 mins",0,0,0,0,0,1
"tomorrow night",0,0,0,0,0,1
"only 3 hours",0,0,0,0,0,1
"earlier this morning",0,0,0,0,0,1
"later today",0,0,0,0,0,1
"3 minutes",0,0,0,0,0,1
"3 nights",0,0,0,0,0,1
"11 4pm",0,0,0,0,0,1
"twelve hour",0,0,0,0,0,1
"4pm",0,0,0,0,0,1
"10 pm EST",0,0,0,0,0,1
"3 30 8",0,0,0,0,0,1
"24 Hour",0,0,0,0,0,1
"half 8",0,0,0,0,0,1
"later this evening",0,0,0,0,0,1
"one twenty minutes ago",0,0,0,0,0,1
"45 min",0,0,0,0,0,1
"32 seconds",0,0,0,0,0,1
"TONIGHT",0,0,0,0,0,1
"10 oclock",0,0,0,0,0,1
"three hours",0,0,0,0,0,1
"12 : 3 30 p. m. ET",0,0,0,0,0,1
"07:01",0,0,0,0,0,1
"05 AM ET",0,0,0,0,0,1
"seconds",0,0,0,0,0,1
"the minute",0,0,0,0,0,1
"a moment",0,0,0,0,0,1
"Last night",0,0,0,0,0,1
"00pm",0,0,0,0,0,1
"a few mins",0,0,0,0,0,1
"3pm today",0,0,0,0,0,1
"57 minutes",0,0,0,0,0,1
"an hour",0,0,0,0,0,1
