Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"UKRAINE",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"ColwynBay",0,0,0,0,0,1
"West Midlands",0,1,0,0,0,0
"Pinehurst",0,0,0,0,0,1
"Rotherham",0,1,0,0,0,0
"Tipperary",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"West Africa",0,1,0,0,0,0
"Zagreb",0,1,0,0,0,0
"Djerba",0,1,0,0,0,0
"Man City",0,1,0,0,0,0
"Sunderland",0,1,0,0,0,0
"Harhur",0,1,0,0,0,0
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"london",0,1,0,0,0,0
"Wicklow",0,1,0,0,0,0
"Bray",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"Kobane",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
"rochestown",0,1,0,0,0,0
"Delaware",0,1,0,0,0,0
"DONETSK OBLAST",0,0,0,0,0,1
"NUI Maynooth",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"Cambridgeshire",0,0,0,0,0,1
"Somerset",0,1,0,0,0,0
"Brighton",0,1,0,0,0,0
"Grimsby",0,1,0,0,0,0
"sevilla",0,1,0,0,0,0
"Mosul",0,1,0,0,0,0
"Somalia",0,1,0,0,0,0
"Argentina",0,1,0,0,0,0
"Camden",0,1,0,0,0,0
"Drogheda",0,1,0,0,0,0
"Phoenix",0,1,0,0,0,0
"Co Donegal",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"Co",0,1,0,0,0,0
"Derry",0,1,0,0,0,0
"Rozsypne",0,1,0,0,0,0
"Blacwood",0,1,0,0,0,0
"Lochee",0,1,0,0,0,0
"Baton Rouge",0,1,0,0,0,0
"Carlow",0,1,0,0,0,0
"Satur",0,0,0,0,0,1
"Swindon",0,1,0,0,0,0
"todmorden",0,1,0,0,0,0
"Malia",0,1,0,0,0,0
"Toowoomba",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Doncaster",0,1,0,0,0,0
"DC",0,1,0,0,0,0
"Ashburton",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"NewYork",0,0,0,0,0,1
"Nenagh Ireland",0,1,0,0,0,0
"Lebanon.",0,0,0,0,0,1
"Manawatu",0,0,0,0,0,1
"Hamilton",0,1,0,0,0,0
"South East London",0,1,0,0,0,0
"RUSSIA",0,1,0,0,0,0
"Uruguay",0,1,0,0,0,0
"Darlo",0,1,0,0,0,0
"Denpasar",0,1,0,0,0,0
"Mysterior",0,0,0,0,0,1
"Zurich",0,0,0,0,0,1
"Congo",0,0,0,0,0,1
"Cloverhill",0,0,0,0,0,1
