Entity,COR,INC,PAR,SPU,MIS,IGN
"Caulker",1,0,0,0,0,0
"#seanref",0,0,0,0,1,0
"oconnellhugh",0,0,0,0,1,0
"SupanovaDex",0,0,0,0,1,0
"JasonKuznicki",0,0,0,0,1,0
"TmgSpWjy Chilling",0,0,0,1,0,0
"Mike Gordon",1,0,0,0,0,0
"GleekHurBitches",0,0,0,0,1,0
"James Corden",1,0,0,0,0,0
"izvrsitelj baciti",0,0,0,1,0,0
"tommcfly",0,0,0,0,1,0
"ChiefKeef",0,0,0,0,1,0
"Alex Burrows",0,0,0,0,1,0
"Leo Johnson",1,0,0,0,0,0
"simonmasonsays",0,0,0,0,1,0
"Paulo nutini",0,0,0,0,1,0
"Ms Plibersek",1,0,0,0,0,0
"Gingrich",1,0,0,0,0,0
"Bourkey8",1,0,0,0,0,0
"shane_martin",0,0,0,0,1,0
"Liam O ' Neill",1,0,0,0,0,0
"Brian Feeney",1,0,0,0,0,0
"Abbott",1,0,0,0,0,0
"joeycottle",0,0,0,0,1,0
"Kirk",1,0,0,0,0,0
"Felipe VI",1,0,0,0,0,0
"Bruce Flegg",1,0,0,0,0,0
"KatyCatChloe",0,0,0,0,1,0
"OUPAcademic",0,0,0,0,1,0
"#Fergie",0,0,0,0,1,0
"Anthony Horowitz",1,0,0,0,0,0
"chrissyfarr",0,0,0,0,1,0
"Clooney",1,0,0,0,0,0
"LID_MAN",0,0,0,0,1,0
"cpnewsboy @ mariababbage @ allisonjones_cp @ dianamehta @ perkel @ mich_mcq",0,0,0,0,1,0
"sirharryevans",0,0,0,0,1,0
"McEwen",0,1,0,0,0,0
"camerondallas",0,0,0,0,1,0
"#OneRyanShawcross",0,0,0,0,1,0
"Oscar Pistorious",0,0,0,0,1,0
"swo2212",0,0,0,0,1,0
"JAIhhooo",0,0,0,0,1,0
"PeckhamJohn",1,0,0,0,0,0
"Pepe",0,0,0,0,1,0
"Earl Spencer",1,0,0,0,0,0
"Hosni Mubarak",1,0,0,0,0,0
"frandrescher",0,0,0,0,1,0
"Sheryl Sandberg",0,0,0,0,1,0
"Darwin Deez",1,0,0,0,0,0
"Bill Murray",1,0,0,0,0,0
"Jamie Bryson",1,0,0,0,0,0
"Khan",1,0,0,0,0,0
"patsyyyyyy",0,0,0,0,1,0
"HOWON",0,0,0,0,1,0
"Sue Fortin",1,0,0,0,0,0
"Wonder Woman",0,0,0,0,1,0
"SJ Thanks",0,0,0,1,0,0
"isiensa Jumalan",0,0,0,1,0,0
"GavinMcCabe100",0,0,0,0,1,0
"Arepa_N_Ceviche",0,0,0,0,1,0
"Mathews",1,0,0,0,0,0
"jaredstone69",0,0,0,0,1,0
"edmundburke",0,0,0,0,1,0
"Luke Batty",1,0,0,0,0,0
"girlcallederin",0,0,0,0,1,0
"Taj Hargey",0,0,0,0,1,0
"muamuav",0,0,0,0,1,0
"Kai",0,0,1,0,0,0
"Phil Spector",0,0,0,0,1,0
"Christine",1,0,0,0,0,0
"Gabbitas",0,0,0,1,0,0
"gravytrainevan",0,0,0,0,1,0
"Sloan Gibson",1,0,0,0,0,0
"Paulmcgrath5",0,0,0,0,1,0
"#noparker xxjadexx",0,0,0,0,1,0
"TASCblog",0,0,0,0,1,0
"LouisReeson",0,0,0,0,1,0
"McGuinness",0,0,0,0,1,0
"Hector Bellerin",0,0,0,0,1,0
"amymartin3334",0,0,0,0,1,0
"Vamos Alberto",0,0,1,0,0,0
"null",0,0,0,0,1,0
"Howard Webb",1,0,0,0,0,0
"nicola_craig",0,0,0,0,1,0
"SoloFotoCasera",0,0,0,0,1,0
"moonlightlouis",0,0,0,0,1,0
"Malwill86",0,0,0,0,1,0
"Courtside8",0,0,0,0,1,0
"Mick",1,0,0,0,0,0
"Weirdo365",0,0,0,0,1,0
"madden",0,0,0,0,1,0
"EndaEndamac95",0,0,0,0,1,0
"Spencer",0,0,1,0,0,0
"Shawty Lo Mein",1,0,0,0,0,0
"ivetesangalo",0,0,0,0,1,0
"STEPHEN LAWRENCE",1,0,0,0,0,0
"ljayes",0,0,0,0,1,0
"Bowie",1,0,0,0,0,0
"ciaraobrien",1,0,0,0,0,0
"steven_moffat",0,0,0,0,1,0
"Zia Abdul Haq",1,0,0,0,0,0
"Shaun Wright",1,0,0,0,0,0
"Miranda Hart",0,0,0,0,1,0
"Ed Miliband",1,0,0,0,0,0
"Olivia",1,0,0,0,0,0
"Cecil Balmond",1,0,0,0,0,0
"Paul Nurse",0,0,1,0,0,0
"Fleming",0,0,0,1,0,0
"GinaPotter1",0,0,0,0,1,0
"LittleMix",0,0,0,0,1,0
"MissJay_",0,0,0,0,1,0
"Patty Calhoun",1,0,0,0,0,0
"5022lyfe",0,0,0,0,1,0
"butchey12",0,0,0,0,1,0
"Clive Owen",0,0,0,0,1,0
"cian_camplisson",0,0,0,0,1,0
"Marco Carola",1,0,0,0,0,0
"boobonic",0,0,0,0,1,0
"troygrant",0,0,0,0,1,0
"pitbull",0,0,0,0,1,0
"FIELDYBOY13",0,0,0,0,1,0
"Michael Clifford",1,0,0,0,0,0
"T . W . Shannon",0,0,0,0,1,0
"Richard Rawson",1,0,0,0,0,0
"Noah",0,0,1,0,0,0
"staffs_kris",0,0,0,0,1,0
"BombshellBetti",0,0,0,0,1,0
"# ripettajames",0,0,0,0,1,0
"briana",0,0,0,0,1,0
"L_E_G",0,0,0,0,1,0
"seanmgross",0,0,0,0,1,0
"Saddam",0,0,0,0,1,0
"Ric",1,0,0,0,0,0
"#KevChat",0,0,0,0,1,0
"Judy Craymer",1,0,0,0,0,0
"Ncis LA",0,0,0,1,0,0
"#KathnielFan",0,0,0,0,1,0
"suzikyla23",0,0,0,0,1,0
"MaraBrockAkil",0,0,0,0,1,0
"Sarah",1,0,0,0,0,0
"reshma4",0,0,0,0,1,0
"Amfar",1,0,0,0,0,0
"Mirandes",0,1,0,0,0,0
"PaulOHanlon1",0,0,0,0,1,0
"CaryAngeline",0,0,0,0,1,0
"Joe Oliver",1,0,0,0,0,0
"Dana",1,0,0,0,0,0
"Madeleine",1,0,0,0,0,0
"Miranda",1,0,0,0,0,0
"Blurgh",0,0,0,1,0,0
"albertocairo",0,0,0,0,1,0
"SeanMoussavi",0,0,0,0,1,0
"Theresa May",0,0,0,0,1,0
"Jim Middleton",1,0,0,0,0,0
"IbnSaeed2",0,0,0,0,1,0
"Trudeau",1,0,0,0,0,0
"Kolarov",1,0,0,0,0,0
"John Legend",1,0,0,0,0,0
"KicchaSudeep",0,0,0,0,1,0
"Katie",0,0,0,0,1,0
"Ursula Le Guin",0,0,0,0,1,0
"macleanbrendan",0,0,0,0,1,0
"Bernard Levin",1,0,0,0,0,0
"Stephi",0,0,0,0,1,0
"SMARTMRTEE",0,0,0,0,1,0
"Lewes",0,1,0,0,0,0
"shaybyrneradio",0,0,0,0,1,0
"Stephen Colbert",1,0,0,0,0,0
"bobbygregster",0,0,0,0,1,0
"JasonTheLadiesMan",0,0,0,0,1,0
"peteashton",0,0,0,0,1,0
"katyperry",0,0,0,0,1,0
"Nana",1,0,0,0,0,0
"Erwin",1,0,0,0,0,0
"Spags",0,0,0,0,1,0
"Derek",1,0,0,0,0,0
"McNulty",0,0,1,0,0,0
"LowkeyMusic1",1,0,0,0,0,0
"Alex Johnson",1,0,0,0,0,0
"TuanBonero",0,0,0,0,1,0
"Andywebb23.",0,0,0,0,1,0
"B2UTYMAKASSAR",0,0,0,0,1,0
"#AlanPardew",0,0,0,0,1,0
"Valentina",0,0,0,1,0,0
"marycreagh_mp",0,0,0,0,1,0
"KibaliMoreithi",0,0,0,0,1,0
"Woody",0,0,0,0,1,0
"Luke Hemmings",1,0,0,0,0,0
"Bob Omb",0,0,1,0,0,0
"ianjsilvera Hi Ian",0,0,1,0,0,0
"eilisohanlon",0,0,0,0,1,0
"HelenORahilly",0,0,0,0,1,0
"Marisha_D",0,0,0,0,1,0
"Murray",0,0,1,0,0,0
"Jayy257",0,0,0,0,1,0
"DrJoanneFarrow",0,0,0,0,1,0
"joefortunato",0,0,0,0,1,0
"Fueron dos desconocidos",0,0,0,1,0,0
"edballsmp",0,0,0,0,1,0
"tuttlesydney",0,0,0,0,1,0
"George Alexander Louis",1,0,0,0,0,0
"smockalley",0,0,0,0,1,0
"KathyLette",1,0,0,0,0,0
"whoisKATY",0,0,0,0,1,0
"Wenger",1,0,0,0,0,0
"Hildebrand",0,0,1,0,0,0
"TheMoustacher",1,0,0,0,0,0
"Jean Marc Ayrault",0,0,0,1,0,0
"Michael Gove",0,0,0,0,1,0
"Rebekah Brooks",0,0,0,0,1,0
"iNiallsSmilee_",0,0,0,0,1,0
"Jose Mourinho",1,0,0,0,0,0
"lynxeffect",0,0,0,0,1,0
"Thomas Duncan",1,0,0,0,0,0
"richardfortey",1,0,0,0,0,0
"Martin",1,0,0,0,0,0
"CHARLIE",0,0,0,0,1,0
"Tomlinson",0,0,1,0,0,0
"emmy_baby22",0,0,0,0,1,0
"BillClinton",0,0,1,0,0,0
"DylanReeve",0,0,0,0,1,0
"Annabel2010",0,0,0,0,1,0
"they",0,0,0,0,1,0
"GTownPorirua",0,0,0,0,1,0
"focusreise",0,0,0,0,1,0
"nickkopecky",0,0,0,0,1,0
"Chri5Patrick ChrisHallas",0,0,1,0,0,0
"Mark Rutte",0,0,0,0,1,0
"#freddieforte",0,0,0,0,1,0
"yael",0,0,0,0,1,0
"BodegaIniesta",0,0,0,0,1,0
"Felix Magath",1,0,0,0,0,0
"John McKay",1,0,0,0,0,0
"Wowwwwwww",0,0,0,1,0,0
"KevBurbano",0,0,0,0,1,0
"bieber_banana_",0,0,0,0,1,0
"TimDrakeRobin3",0,0,0,0,1,0
"michalabanas",0,0,0,0,1,0
"greendaycalum",0,0,0,0,1,0
"CjToner",0,0,0,0,1,0
"NatashaUtting",0,0,0,0,1,0
"gypsyheart24",0,0,0,0,1,0
"SashaAlexander1",0,0,0,0,1,0
"DnoMaz9",0,0,0,0,1,0
"standupmaths",0,0,0,0,1,0
"wright",0,0,1,0,0,0
"rarahsobson",0,0,0,0,1,0
"Coz",0,0,0,1,0,0
"TrevorMallard",0,0,0,0,1,0
"atthelabyrinth",0,0,0,0,1,0
"Carol Midgley",1,0,0,0,0,0
"Senator Bushby",0,0,0,0,1,0
"acacia brinley",0,0,0,0,1,0
"vicstewart",0,0,0,0,1,0
"Zadrogas",1,0,0,0,0,0
"Katrina_SJ",0,0,0,0,1,0
"mami",1,0,0,0,0,0
"Laughbook",0,0,0,0,1,0
"stu_loudon",0,0,0,0,1,0
"NeighborhoodFP",0,0,0,0,1,0
"pgob1",0,0,0,0,1,0
"shazzers14",0,0,0,0,1,0
"Brian",1,0,0,0,0,0
"BLEEDINGXANAX",0,0,0,0,1,0
"ashish_prataps",0,0,0,0,1,0
"Mandy",1,0,0,0,0,0
"Van Helsing",0,0,0,1,0,0
"awisuryadi",0,0,0,0,1,0
"Alex Ferguson",0,0,1,0,0,0
"Anthony Weiner",1,0,0,0,0,0
"odowdt",0,0,0,0,1,0
"cronin_siobhan",0,0,0,0,1,0
"mynameiscal",0,0,0,0,1,0
"Nicky Romero",1,0,0,0,0,0
"Stephen Harper",1,0,0,0,0,0
"Loz",0,0,0,0,1,0
"isienne Jumalaa",0,0,0,1,0,0
"gillon Rosie Batty",0,0,1,0,0,0
"Asoor_k",0,0,0,0,1,0
"LovingLife Love",0,0,0,1,0,0
"Bruh",1,0,0,0,0,0
"jimmyfallon",0,0,0,0,1,0
"chrishanretty",0,0,0,0,1,0
"allisonjones_cp",0,0,0,0,1,0
"Rose- Marie Hoareau",0,0,0,0,1,0
"j_freedland",0,0,0,0,1,0
"JustinBieber",0,0,0,0,1,0
"Dr Chris",0,0,0,0,1,0
"williamson_nz",0,0,0,0,1,0
"Mark Zuckerberg",0,0,0,0,1,0
"fcknjaaay",0,0,0,0,1,0
"Skrtel",1,0,0,0,0,0
"Jeremy Hunt",1,0,0,0,0,0
"nadynebaby",0,0,0,0,1,0
"faisalislam",0,0,0,0,1,0
"vane045",0,0,0,0,1,0
"edelmcginley",0,0,0,0,1,0
"luxxeh",0,0,0,0,1,0
"Docherty",1,0,0,0,0,0
"Mike Lee",0,0,0,0,1,0
"MichelMartelly",0,0,1,0,0,0
"shaneferro",1,0,0,0,0,0
"Richard Flanagan",1,0,0,0,0,0
"ZacEfron",1,0,0,0,0,0
"Reith",0,0,1,0,0,0
"emmapotts_",0,0,0,0,1,0
"EamonRyan",0,0,0,0,1,0
"Kermit",0,0,0,0,1,0
"Nicole Scherzinger",1,0,0,0,0,0
"MaximumSpidey",0,0,0,0,1,0
"niaIlporn",0,0,0,0,1,0
"HarkinOmy",0,0,0,0,1,0
"CoryJane1080 @ 4LittleJanes",0,0,0,0,1,0
"I G G Y",0,0,0,0,1,0
"porrandemi",1,0,0,0,0,0
"Who'dve",0,0,0,1,0,0
"himanghopie",0,0,0,0,1,0
"Rev Gibson",0,0,1,0,0,0
"WEHRE mitchell",0,0,0,1,0,0
"andreahorwath",0,0,0,0,1,0
"icegaeng",0,0,0,0,1,0
"Karan Mitchell",1,0,0,0,0,0
"Graham Phillips",0,0,0,0,1,0
"inagarten",0,0,0,0,1,0
"Bishop",0,0,0,0,1,0
"Sara_TheMachine",0,0,0,0,1,0
"justin john",0,0,0,0,1,0
"PaulRouseUCD",0,0,0,0,1,0
"Sheppard",0,0,1,0,0,0
"StephenPiment",0,0,0,0,1,0
"Phil Mickelson",1,0,0,0,0,0
"ConallMacCoille",0,0,0,0,1,0
"JaysAvatar",0,0,0,0,1,0
"' Whitey ' Bulger",0,0,0,0,1,0
"Derek Malcolm",1,0,0,0,0,0
"Jim Frederick",1,0,0,0,0,0
"Connie",1,0,0,0,0,0
"S. A.",0,0,1,0,0,0
"#SelenaGomez",0,0,0,0,1,0
"Wael Ghonim",0,0,1,0,0,0
"Tracy Martin",1,0,0,0,0,0
"Airbrake",0,0,1,0,0,0
"Emili Sande",0,0,0,1,0,0
"hunnies",0,0,0,0,1,0
"naimlabel",0,0,0,0,1,0
"AaronPearse",0,0,0,0,1,0
"Christopher Pyne",1,0,0,0,0,0
"SirSteven",0,0,0,0,1,0
"kierenjacobsen",0,0,0,0,1,0
"BonkersBexley",0,0,0,0,1,0
"ellabtwjackson",0,0,0,0,1,0
"Anthony Kiedis",1,0,0,0,0,0
