Entity,COR,INC,PAR,SPU,MIS,IGN
"Caulker",1,0,0,0,0,0
"Inspector Norse",0,0,0,1,0,0
"NiallOfficial",0,0,0,0,1,0
"#seanref",0,0,0,0,1,0
"simonmasonsays",0,0,0,0,1,0
"GemmaAnneStyles",0,0,0,0,1,0
"joeycottle",0,0,0,0,1,0
"Abbott",1,0,0,0,0,0
"Fallen",0,0,0,1,0,0
"Anthony Horowitz",1,0,0,0,0,0
"chrissyfarr",0,0,0,0,1,0
"Clooney",1,0,0,0,0,0
"sirharryevans",0,0,0,0,1,0
"swo2212",0,0,0,0,1,0
"Earl Spencer",1,0,0,0,0,0
"Kirby517",1,0,0,0,0,0
"Happy",0,0,0,1,0,0
"Mathews",1,0,0,0,0,0
"Watch",0,0,1,0,0,0
"girlcallederin",0,0,0,0,1,0
"Taj Hargey",0,0,0,0,1,0
"Heavy",0,0,0,1,0,0
"Christine",1,0,0,0,0,0
"Store6921",0,0,0,1,0,0
"gravytrainevan",0,0,0,0,1,0
"Alex Rodriguez Suspended",0,0,1,0,0,0
"moonlightlouis",0,0,0,0,1,0
"Orange Order Chaplain Rev Gibson",0,0,1,0,0,0
"Food Food Food Nom",0,0,0,1,0,0
"Frenzeeeee RussellCosta3 Dave_Sciarra1 APesky11",0,0,1,0,0,0
"Jiangsu Shuntian GaloNaChina",0,0,1,0,0,0
"Spellinq Shit Riqht Hundreds",0,0,0,1,0,0
"Shawty Lo Mein",1,0,0,0,0,0
"Khalid",0,0,1,0,0,0
"STEPHEN LAWRENCE",1,0,0,0,0,0
"Zia Abdul Haq",1,0,0,0,0,0
"Shaun Wright",1,0,0,0,0,0
"Month",0,0,0,1,0,0
"Future",0,0,0,1,0,0
"5022lyfe",0,0,0,0,1,0
"Dangerous",0,0,1,0,0,0
"butchey12",0,0,0,0,1,0
"pitbull",0,0,0,0,1,0
"# ripettajames",0,0,0,0,1,0
"RachelZoe",0,0,0,0,1,0
"L_E_G",0,0,0,0,1,0
"SkaKeller",0,0,0,0,1,0
"Judy Craymer",1,0,0,0,0,0
"Sarah",1,0,0,0,0,0
"Magath",0,0,1,0,0,0
"Bankstown Talent",0,0,0,1,0,0
"Genius RT",0,0,1,0,0,0
"Scribblr",0,0,0,1,0,0
"Theresa May",0,0,0,0,1,0
"Gravity Let",0,0,0,1,0,0
"IbnSaeed2",0,0,0,0,1,0
"Trudeau",1,0,0,0,0,0
"Kolarov",1,0,0,0,0,0
"macleanbrendan",0,0,0,0,1,0
"Bernard Levin",1,0,0,0,0,0
"Lewes",0,1,0,0,0,0
"Endo Fashion Breakfast",0,0,0,1,0,0
"Erwin",1,0,0,0,0,0
"Cardiff XI",0,0,0,1,0,0
"Home Depot",0,1,0,0,0,0
"Royal Baby",0,0,0,1,0,0
"HelenORahilly",0,0,0,0,1,0
"Recent Stats",0,0,0,1,0,0
"Against",0,0,0,1,0,0
"Get Carter",0,0,0,1,0,0
"Rebekah Brooks",0,0,0,0,1,0
"Chris Invest Nigeria",0,0,1,0,0,0
"Fail",0,0,0,1,0,0
"Thomas Duncan",1,0,0,0,0,0
"emmy_baby22",0,0,0,0,1,0
"James Peters Daily",0,0,1,0,0,0
"Celeb",0,0,0,1,0,0
"Iker Jimenez",0,0,0,0,1,0
"focusreise",0,0,0,0,1,0
"Chri5Patrick ChrisHallas",0,0,1,0,0,0
"Awesome Travels",0,0,0,1,0,0
"John McKay",1,0,0,0,0,0
"Wowwwwwww",0,0,0,1,0,0
"Douglas Carswell",1,0,0,0,0,0
"michalabanas",0,0,0,0,1,0
"Castrol Footkhana",0,0,1,0,0,0
"Thanks SIFKrisse",0,0,1,0,0,0
"Coz",0,0,0,1,0,0
"TrevorMallard",0,0,0,0,1,0
"MbalulaFikile",0,0,0,0,1,0
"Senator Bushby",0,0,0,0,1,0
"acacia brinley",0,0,0,0,1,0
"Zadrogas",1,0,0,0,0,0
"Laughbook",0,0,0,0,1,0
"shazzers14",0,0,0,0,1,0
"ashish_prataps",0,0,0,0,1,0
"SimonWierny",0,0,0,0,1,0
"Stephen Harper",1,0,0,0,0,0
"Android Get",0,0,0,1,0,0
"Asoor_k",0,0,0,0,1,0
"Rose- Marie Hoareau",0,0,0,0,1,0
"Tomorrow",0,0,1,0,0,0
"Jeremy Hunt",1,0,0,0,0,0
"faisalislam",0,0,0,0,1,0
"Buddy MacMaster",1,0,0,0,0,0
"Funny T",0,0,0,1,0,0
"emmapotts_",0,0,0,0,1,0
"Richard Flanagan",1,0,0,0,0,0
"Nights",0,0,0,1,0,0
"EamonRyan",0,0,0,0,1,0
"Nicole Scherzinger",1,0,0,0,0,0
"niaIlporn",0,0,0,0,1,0
"HarkinOmy",0,0,0,0,1,0
"Youth Unemployment",0,0,0,1,0,0
"LiamHaylett",0,0,0,0,1,0
"Irish News",0,1,0,0,0,0
"Greed",0,0,0,1,0,0
"Jim Frederick",1,0,0,0,0,0
"Wael Ghonim",0,0,1,0,0,0
"Metro",0,1,0,0,0,0
"naimlabel",0,0,0,0,1,0
"Post2015 MDGs",0,0,0,1,0,0
"_leo_s",0,0,0,0,1,0
"Brothel",0,0,0,1,0,0
"Awesome Gift",0,0,0,1,0,0
"krisdvizhang",0,0,0,0,1,0
"Maljamea",0,0,0,0,1,0
"Hanny Setiawan",1,0,0,0,0,0
"Always",0,0,0,1,0,0
"Liz Crowe",1,0,0,0,0,0
"thekeyisyou",0,0,0,0,1,0
"Osment Let",0,0,0,1,0,0
"Arc",0,0,1,0,0,0
"Miami",0,0,0,1,0,0
"Shinzo Abe",1,0,0,0,0,0
"Wigan Warrington",0,0,0,1,0,0
"Kyiv EMPR Photo",0,0,0,1,0,0
"Physics",0,0,0,1,0,0
"luke robert hemmings",0,0,0,0,1,0
"Jim Gavin",0,0,0,0,1,0
"ichadlowe",0,0,0,0,1,0
"Quebec Court",0,0,0,1,0,0
"kbiglandcoles",0,0,0,0,1,0
"Hakuna Mata",0,0,0,1,0,0
"Racist Rant Free Carriages",0,0,0,1,0,0
"tarasutherland",0,0,0,0,1,0
"Marines",0,0,1,0,0,0
"Laurel",0,0,0,1,0,0
"hebehu",0,0,0,0,1,0
"alexandramusic",0,0,0,0,1,0
"KicchaSudeep",0,0,0,0,1,0
"MrXathon",0,0,0,0,1,0
"SavingMyBrosAss",0,0,0,0,1,0
"Party Party",0,0,0,1,0,0
"Mulberry",0,1,0,0,0,0
"IkerJimemez",0,0,0,0,1,0
"Asbos",0,0,0,1,0,0
"Liam Fox",1,0,0,0,0,0
"HansRosling",0,0,0,0,1,0
"Varnum St Landover Hills Panasonic",0,0,0,1,0,0
"mario",0,0,0,0,1,0
"_fergusduffy_",0,0,0,0,1,0
"Great",0,0,1,0,0,0
"James Johnson",0,0,0,0,1,0
"Y8 Portsmouth",0,0,0,1,0,0
"Henry",1,0,0,0,0,0
"Burnley",0,1,0,0,0,0
"Bukhari",1,0,0,0,0,0
"frank",0,0,0,0,1,0
"True Story",0,0,0,1,0,0
"John Brown",1,0,0,0,0,0
"Isaac",0,0,1,0,0,0
"Loool",0,0,0,1,0,0
"Long",0,0,0,1,0,0
"Author ZoeSaadia",0,0,1,0,0,0
"Taoiseach",1,0,0,0,0,0
"#SeanRef:",0,0,0,0,1,0
"Lowy Institute",0,1,0,0,0,0
"Steward",0,0,1,0,0,0
"Andrew Stoner",1,0,0,0,0,0
"Sad",0,0,1,0,0,0
"dontcallmedunk",0,0,0,0,1,0
"stephen",0,0,0,0,1,0
"Makeup",0,0,0,1,0,0
"Music Power",0,0,0,1,0,0
"Bruckner Interchange NY",0,0,0,1,0,0
"maarieam",0,0,0,0,1,0
"Costa Rica",0,1,0,0,0,0
"Gerard Gardens",0,1,0,0,0,0
"Skype",0,1,0,0,0,0
"Alberta",0,1,0,0,0,0
"Ginger",0,0,0,1,0,0
"Bbl Theory_Versa",0,0,1,0,0,0
"gypsysnail",0,0,0,0,1,0
"Hz__22",0,0,0,1,0,0
"David Sexton",1,0,0,0,0,0
"Voteon",0,0,0,1,0,0
"Costa",0,1,0,0,0,0
"Mariana_gde",0,0,0,0,1,0
"Bryan",1,0,0,0,0,0
"janfrodeno",0,0,0,0,1,0
"Toro",0,0,1,0,0,0
"Thanks MissJay_",0,0,1,0,0,0
"Kejri",1,0,0,0,0,0
"Mounties",0,1,0,0,0,0
"Android Tablets",0,0,0,1,0,0
"NursepollyRgn",0,0,0,0,1,0
"adriantullberg",0,0,0,0,1,0
"Chrissy ASIC",0,0,1,0,0,0
"MaxineSkillen",0,0,0,0,1,0
"Economy",0,0,0,1,0,0
"JohnKav1",0,0,0,0,1,0
"clarescake",0,0,0,0,1,0
"Herts Stags",0,1,0,0,0,0
"cowan_jimmy",0,0,0,0,1,0
"Ebola",0,0,0,1,0,0
"chrijmnz",0,0,0,0,1,0
"quimarrufat",0,0,0,0,1,0
"Steady",0,0,0,1,0,0
"Chris Foy",1,0,0,0,0,0
"James Franco",1,0,0,0,0,0
"Farewell",0,0,0,1,0,0
"farah",0,0,0,0,1,0
"Ruby Dee",1,0,0,0,0,0
"Daniel James Evans",1,0,0,0,0,0
"smritiirani",0,0,0,0,1,0
"Bowe Bergdahl",0,0,0,0,1,0
