Entity,COR,INC,PAR,SPU,MIS,IGN
"fackkk",0,0,0,1,0,0
"uBRuuzEo3p Ford",0,0,1,0,0,0
"Caulker",1,0,0,0,0,0
"#seanref",0,0,0,0,1,0
"Smirks",0,0,0,0,1,0
"Kieran_Gilbert",1,0,0,0,0,0
"Gad the",0,0,0,1,0,0
"kGAxVYn1xi ffscomm",0,0,0,1,0,0
"insieme",0,0,0,1,0,0
"2quweYCSz2 Endo",0,0,0,1,0,0
"Robin Hood",1,0,0,0,0,0
"Mike Gordon",1,0,0,0,0,0
"ztbMuAQe Kent",0,0,1,0,0,0
"James Corden",1,0,0,0,0,0
"GleekHurBitches",0,0,0,0,1,0
"Leo Johnson",1,0,0,0,0,0
"DachaQueen",0,0,0,0,1,0
"Misty shannon",0,0,0,1,0,0
"Lamb",0,0,1,0,0,0
"abt",0,0,1,0,0,0
"Gingrich",1,0,0,0,0,0
"Bourkey8",1,0,0,0,0,0
"shane_martin",0,0,0,0,1,0
"Blake",1,0,0,0,0,0
"Brian Feeney",1,0,0,0,0,0
"Abbott",1,0,0,0,0,0
"Kirk",1,0,0,0,0,0
"Felipe VI",1,0,0,0,0,0
"Bruce Flegg",1,0,0,0,0,0
"wonderstuff",0,0,0,1,0,0
"Anthony Horowitz",1,0,0,0,0,0
"Harry_Styles",1,0,0,0,0,0
"Clooney",1,0,0,0,0,0
"spaceproblems",0,0,0,1,0,0
"rolf",0,0,0,1,0,0
"Disoccupato1",0,0,0,1,0,0
"Leon",0,0,1,0,0,0
"Tasmanian",0,0,0,0,1,0
"LID_MAN",0,0,0,0,1,0
"LEI PURO CORIN TELLADO",0,0,0,1,0,0
"jtzqwe8b0g",0,0,0,1,0,0
"WestEndHouseBGC Read",0,0,1,0,0,0
"Laurent",0,0,1,0,0,0
"PeckhamJohn",1,0,0,0,0,0
"Earl Spencer",1,0,0,0,0,0
"Hosni Mubarak",1,0,0,0,0,0
"frandrescher",0,0,0,0,1,0
"Darwin Deez",1,0,0,0,0,0
"Bill Murray",1,0,0,0,0,0
"kendrick lamar",1,0,0,0,0,0
"Jamie Bryson",1,0,0,0,0,0
"Khan",1,0,0,0,0,0
"Sue Fortin",1,0,0,0,0,0
"Wonder Woman",0,0,0,0,1,0
"jaredstone69",0,0,0,0,1,0
"Mathews",1,0,0,0,0,0
"LXkU3WCy",0,0,0,1,0,0
"edmundburke",0,0,0,0,1,0
"Luke Batty",1,0,0,0,0,0
"Benjamin Mullin Poynter",0,0,1,0,0,0
"Jude",1,0,0,0,0,0
"Respect_Programme",0,1,0,0,0,0
"marius",1,0,0,0,0,0
"Wagner",0,0,0,1,0,0
"Christina Perri https",0,0,1,0,0,0
"Kai",0,0,1,0,0,0
"muamuav",0,0,0,0,1,0
"Sloan Gibson",1,0,0,0,0,0
"MissKatiePrice",1,0,0,0,0,0
