Entity,COR,INC,PAR,SPU,MIS,IGN
"four 2015",0,0,0,0,0,1
"at least two",0,0,0,0,0,1
"113 / 365",0,0,0,0,0,1
"34",0,0,0,0,0,1
"72",0,0,0,0,0,1
"2291686506322067",0,0,0,0,0,1
"298",0,0,0,0,0,1
"More than 191",0,0,0,0,0,1
"601",0,0,0,0,0,1
"16",0,0,0,0,0,1
"320",0,0,0,0,0,1
"only 600",0,0,0,0,0,1
"a quarter",0,0,0,0,0,1
"133",0,0,0,0,0,1
"UltimateBarreChallenge",0,0,0,0,0,1
"90s",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"430",0,0,0,0,0,1
"38",0,0,0,0,0,1
"15",0,0,0,0,0,1
"115",0,0,0,0,0,1
"40 plus",0,0,0,0,0,1
"1171",0,0,0,0,0,1
"ToenailsTasteGood",0,0,0,0,0,1
"000",0,0,0,0,0,1
"800",0,0,0,0,0,1
"9912",0,0,0,0,0,1
"10/01/2012",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"6 3",0,0,0,0,0,1
"32",0,0,0,0,0,1
"OmNomNom",0,0,0,0,0,1
"better than 8",0,0,0,0,0,1
"More than 100",0,0,0,0,0,1
"Half",0,0,0,0,0,1
"06",0,0,0,0,0,1
"8bn",0,0,0,0,0,1
"about 7b",0,0,0,0,0,1
"6",0,0,0,0,0,1
"VQWL397aKt",0,0,0,0,0,1
"30 / 30",0,0,0,0,0,1
"650",0,0,0,0,0,1
"24 million",0,0,0,0,0,1
"8 0",0,0,0,0,0,1
"3",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"204",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"FaZe",0,1,0,0,0,0
"More than 200",0,0,0,0,0,1
"20",0,0,0,0,0,1
"182",0,0,0,0,0,1
"co/7MKPqUvO 11",0,0,0,0,0,1
"22211",0,0,0,0,0,1
"More than 40",0,0,0,0,0,1
"42",0,0,0,0,0,1
"00am",0,0,0,0,0,1
"up to 100",0,0,0,0,0,1
"one",0,0,0,0,0,1
"183",0,0,0,0,0,1
"17",0,0,0,0,0,1
"9 billion",0,0,0,0,0,1
"Twelve",0,0,0,0,0,1
"450",0,0,0,0,0,1
"up to 300",0,0,0,0,0,1
"39",0,0,0,0,0,1
"470",0,0,0,0,0,1
"5meters",0,0,0,0,0,1
"350",0,0,0,0,0,1
"80",0,0,0,0,0,1
"16 billion",0,0,0,0,0,1
"48",0,0,0,0,0,1
"15pm",0,0,0,0,0,1
"824",0,0,0,0,0,1
"at least 6",0,0,0,0,0,1
"at least 10",0,0,0,0,0,1
"61",0,0,0,0,0,1
"more than 200",0,0,0,0,0,1
"856",0,0,0,0,0,1
"ShowtimeEY",0,0,0,0,0,1
"141 million",0,0,0,0,0,1
"nearly 10 million",0,0,0,0,0,1
"109",0,0,0,0,0,1
"787",0,0,0,0,0,1
"532",0,0,0,0,0,1
"a mere",0,0,0,0,0,1
"8mins",0,0,0,0,0,1
"3 40",0,0,0,0,0,1
"98",0,0,0,0,0,1
"19:20",0,0,0,0,0,1
"18",0,0,0,0,0,1
"almost 800",0,0,0,0,0,1
"10",0,0,0,0,0,1
"870",0,0,0,0,0,1
"767",0,0,0,0,0,1
"10c",0,0,0,0,0,1
"102",0,0,0,0,0,1
"more than 1k",0,0,0,0,0,1
"30yo",0,0,0,0,0,1
"Less than half",0,0,0,0,0,1
"a million and one",0,0,0,0,0,1
"Nine",0,0,0,0,0,1
"248",0,0,0,0,0,1
"mrs_b",0,0,0,0,0,1
"5mill",0,0,0,0,0,1
"2 4",0,0,0,0,0,1
"BluesRugbyTeam",0,1,0,0,0,0
"60k",0,0,0,0,0,1
"125,000",0,0,0,0,0,1
"95",0,0,0,0,0,1
"8 / 7c",0,0,0,0,0,1
"5",0,0,0,0,0,1
"140611",0,0,0,0,0,1
"more than 150",0,0,0,0,0,1
"More than 3",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"Instagram",0,1,0,0,0,0
"more than 300",0,0,0,0,0,1
"9999",0,0,0,0,0,1
"more than 100",0,0,0,0,0,1
"283",0,0,0,0,0,1
"co/1rzoR55P",0,0,0,0,0,1
"1 / 4",0,0,0,0,0,1
"3985",0,0,0,0,0,1
"5k",0,0,0,0,0,1
"co/7I4UJWW5v4",0,0,0,0,0,1
"about 275",0,0,0,0,0,1
"7",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"2 1bn",0,0,0,0,0,1
"DoIt",0,0,0,0,0,1
"4 / 15",0,0,0,0,0,1
"half",0,0,0,0,0,1
"ModelTownTragedy",0,0,0,0,0,1
"4x 4s",0,0,0,0,0,1
"at least 19",0,0,0,0,0,1
"327",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"28am",0,0,0,0,0,1
"1b",0,0,0,0,0,1
"59",0,0,0,0,0,1
"Nearly 6",0,0,0,0,0,1
"PaulHenryShow",0,1,0,0,0,0
"About 122",0,0,0,0,0,1
"007",0,0,0,0,0,1
"168 million",0,0,0,0,0,1
"/YpRv6tBINo",0,0,0,0,0,1
"5374",0,0,0,0,0,1
"4 1",0,0,0,0,0,1
"4bn",0,0,0,0,0,1
"50 billion",0,0,0,0,0,1
"Ballyhea14",0,1,0,0,0,0
"1 0",0,0,0,0,0,1
"162",0,0,0,0,0,1
"About 1",0,0,0,0,0,1
"400",0,0,0,0,0,1
"leo_s",0,0,0,0,0,1
"more than 250",0,0,0,0,0,1
"24",0,0,0,0,0,1
"TheSmarmyBum",0,1,0,0,0,0
"351",0,0,0,0,0,1
"14",0,0,0,0,0,1
"92",0,0,0,0,0,1
"209,454",0,0,0,0,0,1
"2012",0,0,0,0,0,1
"1011",0,0,0,0,0,1
"71",0,0,0,0,0,1
"10,000",0,0,0,0,0,1
"128",0,0,0,0,0,1
"27KHV",0,1,0,0,0,0
"150",0,0,0,0,0,1
"62",0,0,0,0,0,1
"ep14",0,0,0,0,0,1
"4",0,0,0,0,0,1
"2000",0,0,0,0,0,1
"6 2014VerizonBreachReport",0,0,0,0,0,1
"2 0",0,0,0,0,0,1
"73k",0,0,0,0,0,1
"Over 447,000",0,0,0,0,0,1
"co/0j8F5E4p",0,0,0,0,0,1
"3 billion",0,0,0,0,0,1
"Four",0,0,0,0,0,1
"more than 700",0,0,0,0,0,1
"le14",0,0,0,0,0,1
"millions",0,0,0,0,0,1
"43",0,0,0,0,0,1
"9",0,0,0,0,0,1
"110",0,0,0,0,0,1
"206",0,0,0,0,0,1
"21",0,0,0,0,0,1
"94",0,0,0,0,0,1
"l0lokbye",0,0,0,0,0,1
"900 million",0,0,0,0,0,1
"5C",0,0,0,0,0,1
"120Noam",0,1,0,0,0,0
"701",0,0,0,0,0,1
"921",0,0,0,0,0,1
"795001",0,0,0,0,0,1
"10 million",0,0,0,0,0,1
"27",0,0,0,0,0,1
"at least 100",0,0,0,0,0,1
"Millions",0,0,0,0,0,1
"30k",0,0,0,0,0,1
"14ers",0,0,0,0,0,1
"088",0,0,0,0,0,1
"2",0,0,0,0,0,1
"93",0,0,0,0,0,1
"4,947,486",0,0,0,0,0,1
"dozens",0,0,0,0,0,1
"more than 140",0,0,0,0,0,1
"TWO",0,0,0,0,0,1
"5HonTour",0,0,0,0,0,1
"2bn",0,0,0,0,0,1
"OnTheJob",0,0,0,0,0,1
"835",0,0,0,0,0,1
"12",0,0,0,0,0,1
"7x",0,0,0,0,0,1
"250",0,0,0,0,0,1
"380",0,0,0,0,0,1
"up to 18",0,0,0,0,0,1
"6 billion",0,0,0,0,0,1
"Ten",0,0,0,0,0,1
"35",0,0,0,0,0,1
"249",0,0,0,0,0,1
"45pm",0,0,0,0,0,1
"more than 9",0,0,0,0,0,1
"23",0,0,0,0,0,1
"90",0,0,0,0,0,1
"49pm",0,0,0,0,0,1
"26",0,0,0,0,0,1
"about half",0,0,0,0,0,1
"46",0,0,0,0,0,1
"57am",0,0,0,0,0,1
"five",0,0,0,0,0,1
"100 4",0,0,0,0,0,1
"243",0,0,0,0,0,1
"314",0,0,0,0,0,1
"801",0,0,0,0,0,1
"381",0,0,0,0,0,1
"nine",0,0,0,0,0,1
"500",0,0,0,0,0,1
"140301",0,0,0,0,0,1
"3 11",0,0,0,0,0,1
"87",0,0,0,0,0,1
"1billonbaby",0,0,0,0,0,1
"30",0,0,0,0,0,1
"MH17",0,0,0,0,0,1
"370",0,0,0,0,0,1
"11914",0,0,0,0,0,1
"700",0,0,0,0,0,1
"192",0,0,0,0,0,1
"80rb",0,0,0,0,0,1
"56",0,0,0,0,0,1
"at least 200",0,0,0,0,0,1
"256",0,0,0,0,0,1
"96",0,0,0,0,0,1
"49yo",0,0,0,0,0,1
"MH370",0,0,0,0,0,1
"a million",0,0,0,0,0,1
"09",0,0,0,0,0,1
"ten",0,0,0,0,0,1
"105",0,0,0,0,0,1
"7k",0,0,0,0,0,1
"107",0,0,0,0,0,1
"A few dozen",0,0,0,0,0,1
"9c",0,0,0,0,0,1
"14 637",0,0,0,0,0,1
"308",0,0,0,0,0,1
"83",0,0,0,0,0,1
"131",0,0,0,0,0,1
"8 million",0,0,0,0,0,1
"300",0,0,0,0,0,1
"2015",0,0,0,0,0,1
"13",0,0,0,0,0,1
"15yo",0,0,0,0,0,1
"around 13",0,0,0,0,0,1
"12c",0,0,0,0,0,1
"3bn",0,0,0,0,0,1
"3878",0,0,0,0,0,1
"1",0,0,0,0,0,1
"Three",0,0,0,0,0,1
"hundreds",0,0,0,0,0,1
"81",0,0,0,0,0,1
"45am",0,0,0,0,0,1
"721",0,0,0,0,0,1
"101",0,0,0,0,0,1
"400 Million",0,0,0,0,0,1
"7 eleven",0,1,0,0,0,0
"02",0,0,0,0,0,1
"9 11",0,0,0,0,0,1
"40",0,0,0,0,0,1
"only 1",0,0,0,0,0,1
"At least 11",0,0,0,0,0,1
"80bn",0,0,0,0,0,1
"485",0,0,0,0,0,1
"295",0,0,0,0,0,1
"961",0,0,0,0,0,1
"64",0,0,0,0,0,1
"SEVEN",0,0,0,0,0,1
"approximately 7billion",0,0,0,0,0,1
"808",0,0,0,0,0,1
"11",0,0,0,0,0,1
"54 5",0,0,0,0,0,1
"OneOfMyFavoriteMoviesIs",0,0,0,0,0,1
"100",0,0,0,0,0,1
"more than one",0,0,0,0,0,1
"33 billion",0,0,0,0,0,1
"One",0,0,0,0,0,1
"746",0,0,0,0,0,1
"144",0,0,0,0,0,1
"PizzaSkankKatie",0,1,0,0,0,0
"332",0,0,0,0,0,1
"ThankYouToriesFor",0,0,0,0,0,1
"925",0,0,0,0,0,1
"eight",0,0,0,0,0,1
"co/5SpKSPrPmD",0,0,0,0,0,1
"695",0,0,0,0,0,1
"thousands",0,0,0,0,0,1
"about 10",0,0,0,0,0,1
"50 / 50",0,0,0,0,0,1
"3 million",0,0,0,0,0,1
"747",0,0,0,0,0,1
"1921",0,0,0,0,0,1
"82",0,0,0,0,0,1
"0520",0,0,0,0,0,1
"3000",0,0,0,0,0,1
"40,000",0,0,0,0,0,1
"7 million",0,0,0,0,0,1
"41",0,0,0,0,0,1
"89",0,0,0,0,0,1
"51",0,0,0,0,0,1
"almost 300",0,0,0,0,0,1
"2011BestPlayer",0,0,0,0,0,1
"500 to 10",0,0,0,0,0,1
"25",0,0,0,0,0,1
"200",0,0,0,0,0,1
"600",0,0,0,0,0,1
"4LittleJanes",0,1,0,0,0,0
"BlissKissBreeze",0,1,0,0,0,0
"ONE",0,0,0,0,0,1
"at least 46",0,0,0,0,0,1
"2 billion",0,0,0,0,0,1
"ZERO",0,0,0,0,0,1
"12/13",0,0,0,0,0,1
"140",0,0,0,0,0,1
"1600",0,0,0,0,0,1
"275",0,0,0,0,0,1
"0",0,0,0,0,0,1
"10p",0,0,0,0,0,1
"113",0,0,0,0,0,1
"only 2",0,0,0,0,0,1
"22",0,0,0,0,0,1
"999",0,0,0,0,0,1
"77",0,0,0,0,0,1
"http://tgr",0,0,0,0,0,1
"552",0,0,0,0,0,1
"7 billion",0,0,0,0,0,1
"just 50",0,0,0,0,0,1
"OfficialWexGAA",0,0,0,0,0,1
"28",0,0,0,0,0,1
"Only 10",0,0,0,0,0,1
"1 billion",0,0,0,0,0,1
"29",0,0,0,0,0,1
"276 million",0,0,0,0,0,1
"129",0,0,0,0,0,1
"19",0,0,0,0,0,1
"154",0,0,0,0,0,1
"36",0,0,0,0,0,1
"069",0,0,0,0,0,1
"00",0,0,0,0,0,1
"at least six",0,0,0,0,0,1
"50",0,0,0,0,0,1
"8",0,0,0,0,0,1
"7 2",0,0,0,0,0,1
"1000",0,0,0,0,0,1
"Only One",0,0,0,0,0,1
"50c",0,0,0,0,0,1
"7bn",0,0,0,0,0,1
"32960853",0,0,0,0,0,1
"1035",0,0,0,0,0,1
"140628",0,0,0,0,0,1
"122",0,0,0,0,0,1
"4 billion",0,0,0,0,0,1
"four",0,0,0,0,0,1
"Get 1000s",0,0,0,0,0,1
"Hundreds",0,0,0,0,0,1
"2c",0,0,0,0,0,1
"229",0,0,0,0,0,1
"12:56",0,0,0,0,0,1
"At least one",0,0,0,0,0,1
"60",0,0,0,0,0,1
"Six",0,0,0,0,0,1
"six",0,0,0,0,0,1
"457",0,0,0,0,0,1
"78",0,0,0,0,0,1
"Rp 275",0,0,0,0,0,1
"three",0,0,0,0,0,1
"Only 3 / 1 http://t",0,0,0,0,0,1
"615",0,0,0,0,0,1
"hZDTXWgKV4",0,0,0,0,0,1
"MaraBrockAkil",0,1,0,0,0,0
"63",0,0,0,0,0,1
"180",0,0,0,0,0,1
"Zero",0,0,0,0,0,1
"610",0,0,0,0,0,1
"99",0,0,0,0,0,1
"649",0,0,0,0,0,1
"about 4",0,0,0,0,0,1
"607",0,0,0,0,0,1
"750",0,0,0,0,0,1
"33",0,0,0,0,0,1
"45",0,0,0,0,0,1
"less than 1",0,0,0,0,0,1
"97",0,0,0,0,0,1
"39 million",0,0,0,0,0,1
"103",0,0,0,0,0,1
"PieceOfMe",0,0,0,0,0,1
*TOTAL*,0,13,0,0,0,406
