Entity,COR,INC,PAR,SPU,MIS,IGN
"State Championships Round",0,0,0,0,0,1
"olympics",0,0,0,0,0,1
"Love",0,0,0,0,0,1
"The Gang Show",0,0,0,0,0,1
"hen party Festival",0,0,0,0,0,1
"World Press Freedom Day 2014",0,0,0,0,0,1
"TURKEY CUP",0,0,0,0,0,1
"BC Crimes Stoppers month",0,0,0,0,0,1
"Hurricane Gonzalo",0,0,0,0,0,1
"World Field Lax",0,1,0,0,0,0
"The Marx Brothers in Duck Superlative",0,0,0,0,0,1
"the Parenting Revolution",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"Dark Knight Rises",0,0,0,0,0,1
"Olympics",0,0,0,0,0,1
"the Super Bowl SuperBash",0,0,0,0,0,1
"the Dutch War of Independence",0,0,0,0,0,1
"the national non fiction festival",0,0,0,0,0,1
"Opus Christmas",0,0,0,0,0,1
"Labor Day",0,0,0,0,0,1
"Super day",0,0,0,0,0,1
"CES 2012 SMEcommunity",0,0,0,0,0,1
"the 2022 World Cup",0,0,0,0,0,1
"Super Typhoon Neoguri",0,0,0,0,0,1
"Civil War",0,0,0,0,0,1
"Holocaust",0,0,0,0,0,1
"Game of Thrones",0,0,0,0,0,1
"Crunchies",0,0,0,0,0,1
"Fernsehturm / St Mary 's",0,0,0,0,0,1
"bournemouthrotary Club Quarter Marathon",0,0,0,0,0,1
"Wimbledon quarter",0,0,0,0,0,1
"The World Cup 2022",0,0,0,0,0,1
"BigBusiness Deluxe",0,0,0,0,0,1
"LE MORT MDDDDDDDR",0,0,0,0,0,1
"World War",0,0,0,0,0,1
"Jurassic park",0,0,0,0,0,1
"8 / 12 http://t",0,0,0,0,0,1
"Big 12",0,0,0,0,0,1
"Cardiff City",0,1,0,0,0,0
"Samui Bike Week",0,0,0,0,0,1
"music festival",0,0,0,0,0,1
"New Year 2012 fireworks",0,0,0,0,0,1
"Hunger Games",0,0,0,0,0,1
"9 / 11",0,0,0,0,0,1
"FA Cup",0,1,0,0,0,0
"Sky News",0,1,0,0,0,0
"Festival",0,0,0,0,0,1
"BABY KIDRAUHL",0,0,0,0,0,1
"Church Summer Fete",0,0,0,0,0,1
"the World Cup",0,0,0,0,0,1
"International Film Season 2012",0,0,0,0,0,1
"Cork 1967",0,0,0,0,0,1
"new year",0,0,0,0,0,1
"eleven ' super councils '",0,0,0,0,0,1
"the Aussie Version of "" Rake",0,0,0,0,0,1
"NI 21",0,1,0,0,0,0
"Eurovision Song Contest",0,1,0,0,0,0
"World War 1",0,0,0,0,0,1
"Game 5",0,0,0,0,0,1
"The Freedom Festival",0,0,0,0,0,1
"RUSSIAN GRU",0,0,0,0,0,1
"FIFA World Cup",0,0,0,0,0,1
"the Special Olympics",0,0,0,0,0,1
"Earth LA Attack",0,0,0,0,0,1
"ImHeLldm Happy New Year",0,0,0,0,0,1
"the African Cup of Nations",0,0,0,0,0,1
"SUAREZZZZZ",0,1,0,0,0,0
"FA Youth Cup",0,0,0,0,0,1
"Mon",0,0,0,0,0,1
"Pan Celtic Festival",0,0,0,0,0,1
"Inphosports Typhoon Neoguri",0,0,0,0,0,1
"X First new",0,0,0,0,0,1
"Olympic",0,1,0,0,0,0
"Wimbledon",0,1,0,0,0,0
"World Cup",0,1,0,0,0,0
"Fortrum",0,0,0,0,0,1
"Independence Day",0,0,0,0,0,1
"the First World War",0,0,0,0,0,1
"THE 2014 WORLD CUP IS HERE http://t",0,0,0,0,0,1
"World cup",0,0,0,0,0,1
"Grand Final",0,0,0,0,0,1
*TOTAL*,0,10,0,0,0,71
