Entity,COR,INC,PAR,SPU,MIS,IGN
"oovoo",0,0,0,0,0,1
"Red Rocks Amphitheatre",0,1,0,0,0,0
"QPR Discovery",0,0,0,0,0,1
"J Whaley Music",0,1,0,0,0,0
"Vic assault http://t",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"Tchat Sow",0,0,0,0,0,1
"Murgh Mangalore",0,0,0,0,0,1
"London Street Life",0,0,0,0,0,1
"North s",0,0,0,0,0,1
"ERuwcHcGLt Fort Hood",0,0,0,0,0,1
"International Space Station",0,1,0,0,0,0
"Willis Street",0,0,0,0,0,1
"Giant Haystacks",0,1,0,0,0,0
"Nonabeez",0,0,0,0,0,1
"AVEZ OU PAS",0,0,0,0,0,1
"Courtz n jamie",0,0,0,0,0,1
"Maple",0,0,0,0,0,1
"un momento importante",0,0,0,0,0,1
"Oz",0,1,0,0,0,0
"ljLoch",0,1,0,0,0,0
"Manea",0,1,0,0,0,0
"Murray Bridge",0,1,0,0,0,0
"the Arabian Travel Market",0,0,0,0,0,1
"Adeles",0,1,0,0,0,0
"Palmerston Road",0,1,0,0,0,0
"Fort Hood Rampage",0,0,0,0,0,1
"Tilbury Docks",0,1,0,0,0,0
"Celebrity Big Brother",0,1,0,0,0,0
"RUSSIAN AIR SPACE",0,0,0,0,0,1
"London King 's Cross",0,1,0,0,0,0
"Y 8 's",0,0,0,0,0,1
"Patut xde",0,0,0,0,0,1
"loftus road",0,0,0,0,0,1
"Pukehinau Flats",0,1,0,0,0,0
"gt",0,0,0,0,0,1
"Bnmth Uni Arts Uni",0,0,0,0,0,1
"Zipcar",0,1,0,0,0,0
"PramColl",0,1,0,0,0,0
"the heinekken cup IM SO BORED OF REVISION",0,0,0,0,0,1
"standupmaths Grong Town",0,0,0,0,0,1
"Firkins Bakery",0,1,0,0,0,0
"Rue Bourbon ruebourbonph",0,0,0,0,0,1
"Kilkenny bridge",0,1,0,0,0,0
"plz Holy",0,0,0,0,0,1
"Shibuya de punch '",0,0,0,0,0,1
"KlayVinn http://t",0,0,0,0,0,1
"the Blue Square",0,0,0,0,0,1
"Costa Coffee",0,1,0,0,0,0
"Fort Hood",0,1,0,0,0,0
"Catan",0,0,0,0,0,1
"Petticoat Lane",0,1,0,0,0,0
"Black Velvet Bag",0,0,0,0,0,1
"everytuesday everyclub",0,0,0,0,0,1
"Metro Vancouver Crime Stoppers",0,1,0,0,0,0
"co/0jxHj9auiJ Bus",0,0,0,0,0,1
"Grey Lynn Park",0,1,0,0,0,0
"London Check",0,0,0,0,0,1
"Metro",0,1,0,0,0,0
"26w / m2 0",0,0,0,0,0,1
"the RUM HOUSE",0,0,0,0,0,1
"ANZAC",0,0,0,0,0,1
"this Night Garden",0,0,0,0,0,1
"Dun Laoghaire Harbour",0,1,0,0,0,0
"factoftheday methane gas",0,0,0,0,0,1
"mtgs",0,0,0,0,0,1
"STvyURKQnB Driveway",0,0,0,0,0,1
"MH370",0,0,0,0,0,1
"mydogsandwimp butilovehim",0,0,0,0,0,1
"Peace",0,0,0,0,0,1
"Embassy",0,0,0,0,0,1
"Buckingham Palace",0,1,0,0,0,0
"maaaaaan",0,0,0,0,0,1
"garethoconnor",0,1,0,0,0,0
"Video Glishy Ft",0,0,0,0,0,1
"Ebloa Flight brekkiewrap",0,0,0,0,0,1
"jes 2",0,0,0,0,0,1
"Centennial Plaza",0,1,0,0,0,0
"Pinehurst No. 2",0,0,0,0,0,1
"Montreal city hall",0,1,0,0,0,0
"Qatar Heroes",0,0,0,0,0,1
"Goodridge Street",0,1,0,0,0,0
"Remake Collab",0,0,0,0,0,1
"Art Gallery",0,1,0,0,0,0
"Freshmicrosoft",0,0,0,0,0,1
"the Rose Bowl",0,0,0,0,0,1
"Military Building",0,0,0,0,0,1
"McDonalds",0,1,0,0,0,0
"4OD",0,0,0,0,0,1
"AymsDesigns JoFreeRadio",0,0,0,0,0,1
"World",0,1,0,0,0,0
"Holocaust Memorial Day",0,0,0,0,0,1
"the Opera House",0,0,0,0,0,1
"Deep North",0,1,0,0,0,0
"Varnum St Landover Hills Panasonic",0,0,0,0,0,1
"FA Cup",0,1,0,0,0,0
"Memorial Stair Climb",0,0,0,0,0,1
"Newcastle Eagles RLFC",0,1,0,0,0,0
"the HappyHeartsFund Gala",0,0,0,0,0,1
"auraient manque ce matin humournoir",0,0,0,0,0,1
"Via",0,0,0,0,0,1
"pnefc FANM",0,0,0,0,0,1
"ainda por cima essas",0,0,0,0,0,1
"Seatbelts and Shortcuts Focus of Waikato Operation targeting Truck Drivers",0,0,0,0,0,1
"Grafton airport Fab",0,0,0,0,0,1
"Metro nottingham",0,0,0,0,0,1
"Royal Gallery",0,1,0,0,0,0
"C. Genoa KKQuiz",0,0,0,0,0,1
"Croke Park",0,1,0,0,0,0
"Willey Street",0,1,0,0,0,0
"the Pulitzer Center",0,0,0,0,0,1
"FineGael",0,1,0,0,0,0
"Stick",0,0,0,0,0,1
"the Brighton Centre for One Direction",0,0,0,0,0,1
"The BUK surface",0,0,0,0,0,1
"disneychannel 1 DHQ",0,0,0,0,0,1
"Radio 4",0,0,0,0,0,1
"the "" Laugh Factory """,0,0,0,0,0,1
"the Pink Line",0,0,0,0,0,1
"Netherlands Embassy",0,1,0,0,0,0
"Moorbrook Lodge",0,1,0,0,0,0
"HappyHeartsFund Gala",0,0,0,0,0,1
"Location Location Location",0,0,0,0,0,1
"the Bridge",0,0,0,0,0,1
"Baghdad Embassy",0,1,0,0,0,0
"Syston",0,1,0,0,0,0
"Arsenal",0,1,0,0,0,0
"Bay Street",0,1,0,0,0,0
"Da Som",0,1,0,0,0,0
"KL airport http://t",0,0,0,0,0,1
"Faron Hall",0,1,0,0,0,0
"Southsea RT kimberleybarber",0,0,0,0,0,1
"LaTrioli Great",0,0,0,0,0,1
"Westgate Mall",0,1,0,0,0,0
"Side",0,0,0,0,0,1
"MrRdeBoy",0,1,0,0,0,0
"Medical Park Hastanesi",0,1,0,0,0,0
"EIndhoven Airport",0,0,0,0,0,1
"Reservoir",0,1,0,0,0,0
"Juno Beach",0,1,0,0,0,0
"ak frauja",0,0,0,0,0,1
"Wembley Stadium",0,1,0,0,0,0
"Victoria Street Hamilton",0,1,0,0,0,0
"Streetstyle bbfo",0,0,0,0,0,1
"Fireworks",0,0,0,0,0,1
"les autres partis politiques http://t",0,0,0,0,0,1
"Andywebb23",0,0,0,0,0,1
"Aeropuerto de Tenerife",0,0,0,0,0,1
"ashbass Great morning",0,0,0,0,0,1
"the Hati Paws",0,0,0,0,0,1
"juliaduin Great",0,0,0,0,0,1
"Camp Recording",0,0,0,0,0,1
"Broadway Musical",0,0,0,0,0,1
"Broadway",0,1,0,0,0,0
"Nottingham Railway Station",0,1,0,0,0,0
"eireogcork Corks96FM",0,0,0,0,0,1
"Prison Cell http://t",0,0,0,0,0,1
"BeingSalmanKhan",0,1,0,0,0,0
"Sambafoot",0,0,0,0,0,1
"Manaus stadium",0,1,0,0,0,0
"dreamwedding NZBEERBABE",0,0,0,0,0,1
"City Garden Apts",0,1,0,0,0,0
"Casement Park",0,1,0,0,0,0
"Sugababes 1",0,0,0,0,0,1
"Causeway",0,0,0,0,0,1
"GleekHurBitches u",0,0,0,0,0,1
"tslr West Stand Lower Snapper",0,0,0,0,0,1
"M62 Eastbound",0,1,0,0,0,0
"Heathrow Airport",0,1,0,0,0,0
"Jasper National Park",0,1,0,0,0,0
"Doiregaa",0,1,0,0,0,0
"kaveyF",0,1,0,0,0,0
"Ride Out",0,0,0,0,0,1
"the Hawkesbury International Sand Sculpture Competition",0,0,0,0,0,1
"cian_camplisson Sunny morning",0,0,0,0,0,1
"Northern Gateway http://t",0,0,0,0,0,1
"Rex",0,0,0,0,0,1
"Bruckner Interchange NY alt lanes blkd",0,0,0,0,0,1
"Grand Lodge",0,1,0,0,0,0
"Fort Lee",0,1,0,0,0,0
"Wexford Park",0,1,0,0,0,0
"Sao Paulo Stadium",0,0,0,0,0,1
