Entity,COR,INC,PAR,SPU,MIS,IGN
"Chicago",0,1,0,0,0,0
"UKRAINE",0,1,0,0,0,0
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"us",0,0,0,0,0,1
"Darlington",0,1,0,0,0,0
"damnitfreckles",0,1,0,0,0,0
"Mannnn",0,0,0,0,0,1
"West Midlands",0,1,0,0,0,0
"Tipperary",0,1,0,0,0,0
"Cannes",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"West Africa",0,1,0,0,0,0
"Zagreb",0,1,0,0,0,0
"Djerba",0,1,0,0,0,0
"Man City",0,1,0,0,0,0
"Cormannator",0,0,0,0,0,1
"Essex http://t",0,0,0,0,0,1
"New Tender",0,0,0,0,0,1
"brasil",0,1,0,0,0,0
"Harhur",0,1,0,0,0,0
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"london",0,1,0,0,0,0
"Y despues",0,0,0,0,0,1
"Palestine",0,1,0,0,0,0
"SimplePlan",0,0,0,0,0,1
"stamford",0,1,0,0,0,0
"Bray",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"hellssfc",0,0,0,0,0,1
"Imara",0,1,0,0,0,0
"Fl",0,0,0,0,0,1
"Sussex",0,1,0,0,0,0
"sinnfeinireland",0,1,0,0,0,0
"Omaha",0,1,0,0,0,0
"SF",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"Somerset",0,1,0,0,0,0
"Dublin West",0,1,0,0,0,0
"TitanBet",0,1,0,0,0,0
"y chooyrt",0,0,0,0,0,1
"sevilla",0,1,0,0,0,0
"Mosul",0,1,0,0,0,0
"Argentina",0,1,0,0,0,0
"Camden",0,1,0,0,0,0
"Drogheda",0,1,0,0,0,0
"Phoenix",0,1,0,0,0,0
"Ottawa",0,1,0,0,0,0
"Middle East",0,1,0,0,0,0
"Northern Ireland England",0,0,0,0,0,1
"Derry",0,1,0,0,0,0
"amnesia_ibiza",0,1,0,0,0,0
"bearday",0,0,0,0,0,1
"Rozsypne",0,1,0,0,0,0
"West VA",0,1,0,0,0,0
"Blacwood",0,1,0,0,0,0
"maurinor",0,1,0,0,0,0
"Baton Rouge",0,1,0,0,0,0
"connemara galway mayo",0,0,0,0,0,1
"Meath",0,1,0,0,0,0
"The U. S.",0,0,0,0,0,1
"Complete Cuba",0,0,0,0,0,1
"Satur",0,0,0,0,0,1
"Swindon",0,1,0,0,0,0
"Bowie",0,1,0,0,0,0
"todmorden",0,1,0,0,0,0
"LindaNguyenTO",0,1,0,0,0,0
"Valladolid",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"Portsmouth",0,1,0,0,0,0
"DC",0,1,0,0,0,0
"Ashburton",0,1,0,0,0,0
