Entity,COR,INC,PAR,SPU,MIS,IGN
"Temp 2",0,0,0,0,0,1
"the Tax Evasion",0,0,0,0,0,1
"SkyBusiness 602",0,0,0,0,0,1
"SA 11",0,0,0,0,0,1
"the Childrens Referendum",0,0,0,0,0,1
"Constitution",0,0,0,0,0,1
"the Welfare Reform Bill",0,0,0,0,0,1
"MaxTemp 10",0,0,0,0,0,1
"Ghost Protocol",0,0,0,0,0,1
"Pro Treaty",0,0,0,0,0,1
"Anti Treaty",0,0,0,0,0,1
"Leek_YungOG",0,1,0,0,0,0
"the New Cybersecurity Framework Means",0,0,0,0,0,1
"the Lisbon Treaty '",0,0,0,0,0,1
"Deep Impact and Armageddon",0,0,0,0,0,1
"CarbonTax",0,0,0,0,0,1
"under Espionage Act",0,0,0,0,0,1
"Defqon 1 RT",0,0,0,0,0,1
"co/5TGVfLSBpX Concussion protocol",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,18
