Entity,COR,INC,PAR,SPU,MIS,IGN
"State Championships Round",0,0,0,0,0,1
"Love",0,0,0,0,0,1
"WWII",0,0,0,0,0,1
"the Champions League",0,0,0,0,0,1
"FA Cup weekend",0,0,0,0,0,1
"World Press Freedom Day 2014",0,0,0,0,0,1
"TURKEY CUP",0,0,0,0,0,1
"C Series",0,0,0,0,0,1
"' Constitutions and Culture Wars '",0,0,0,0,0,1
"TV Choice Awards Amazon",0,0,0,0,0,1
"collection 2012",0,0,0,0,0,1
"The Marx Brothers in Duck Superlative",0,0,0,0,0,1
"the Parenting Revolution",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"Bad Day",0,0,0,0,0,1
"Cup",0,0,0,0,0,1
"New Day",0,0,0,0,0,1
"Olympics",0,0,0,0,0,1
"the Dutch War of Independence",0,0,0,0,0,1
"Similar Car Rental",0,0,0,0,0,1
"RETRO GAMING ROUNDTABLE",0,0,0,0,0,1
"the 2022 World Cup",0,0,0,0,0,1
"the Chelsea Flower Show",0,0,0,0,0,1
"NEW YEAR",0,0,0,0,0,1
"T American cup attac2014",0,0,0,0,0,1
"England World Cup",0,0,0,0,0,1
"Civil War",0,0,0,0,0,1
"Holocaust",0,0,0,0,0,1
"MN 0",0,0,0,0,0,1
"Krystalradz18",0,1,0,0,0,0
"World Cup Will",0,0,0,0,0,1
"Goal of Season",0,0,0,0,0,1
"the Anglo Irish Treaty",0,0,0,0,0,1
"The World Cup 2022",0,0,0,0,0,1
"Independence Day parade",0,0,0,0,0,1
"World War",0,0,0,0,0,1
"Syllables Love",0,0,0,0,0,1
"Race Week",0,0,0,0,0,1
"Weekly Hump Day Photo",0,0,0,0,0,1
"Samui Bike Week",0,0,0,0,0,1
"WorldCup",0,0,0,0,0,1
"Hunger Games",0,0,0,0,0,1
"Dry Season",0,0,0,0,0,1
"9 / 11",0,0,0,0,0,1
"FEBRUARY",0,0,0,0,0,1
"festival",0,0,0,0,0,1
"FA Cup",0,1,0,0,0,0
"Festival",0,0,0,0,0,1
"Easter",0,1,0,0,0,0
"the World Cup",0,0,0,0,0,1
"Academy Awards",0,0,0,0,0,1
"International Film Season 2012",0,0,0,0,0,1
"Best Lifestyle Show",0,0,0,0,0,1
"Boston Marathon",0,0,0,0,0,1
"the 2013 Grand Final",0,0,0,0,0,1
"new year",0,0,0,0,0,1
"Championship",0,0,0,0,0,1
"hurricane bawbag",0,0,0,0,0,1
"En la Masia es donde se forman",0,0,0,0,0,1
"celebrar goles contra",0,0,0,0,0,1
"Eurovision Song Contest",0,1,0,0,0,0
"World War 1",0,0,0,0,0,1
"the quidditch world cup",0,0,0,0,0,1
"Game 5",0,0,0,0,0,1
"The Freedom Festival",0,0,0,0,0,1
"FIFA World Cup",0,0,0,0,0,1
"New Year 2012",0,0,0,0,0,1
"the New Year Victory",0,0,0,0,0,1
"Ulster Championship",0,0,0,0,0,1
"the Special Olympics",0,0,0,0,0,1
"Grand Prix",0,0,0,0,0,1
"the African Cup of Nations",0,0,0,0,0,1
"the HappyHeartsFund Gala http://t.",0,0,0,0,0,1
"FA Youth Cup",0,0,0,0,0,1
"THE 2014 WORLD CUP",0,0,0,0,0,1
"Australia Day",0,0,0,0,0,1
"Indonesia 12",0,0,0,0,0,1
"Wimbledon",0,1,0,0,0,0
"L 30 W 11",0,0,0,0,0,1
"qtE3WHsTRE Remembering War",0,0,0,0,0,1
"World Cup",0,1,0,0,0,0
"BBC World Cup",0,0,0,0,0,1
"the First World War",0,0,0,0,0,1
"World cup",0,0,0,0,0,1
*TOTAL*,0,6,0,0,0,78
