Entity,COR,INC,PAR,SPU,MIS,IGN
"Swansea",0,1,0,0,0,0
"Sunni mosque",0,0,0,0,0,1
"DrMayaAngelou loveMaya Queria",0,0,0,0,0,1
"Tiananmen Square",0,1,0,0,0,0
"ERuwcHcGLt Fort Hood",0,0,0,0,0,1
"International Space Station",0,1,0,0,0,0
"the "" Laugh Factory",0,0,0,0,0,1
"Medical Park Hastanesi medicalparkhg",0,0,0,0,0,1
"4 Moscow 's",0,0,0,0,0,1
"Manea",0,1,0,0,0,0
"Jobs Witham Morning",0,0,0,0,0,1
"Murray Bridge",0,1,0,0,0,0
"the heinekken cup IM",0,0,0,0,0,1
"Florida Gas Plant Rock Neighboring Communities",0,0,0,0,0,1
"Cambridge 105",0,1,0,0,0,0
"Palmerston Road",0,1,0,0,0,0
"Sun 0w/m2 0",0,0,0,0,0,1
"Wjiqy3Epom Plane",0,0,0,0,0,1
"Waikato University",0,1,0,0,0,0
"Art Gallery Birmingham Shot",0,0,0,0,0,1
"boca",0,0,0,0,0,1
"loftus road",0,0,0,0,0,1
"MH17 crash",0,0,0,0,0,1
"Creme Egg",0,0,0,0,0,1
"MH17",0,0,0,0,0,1
"Dortmund 2",0,0,0,0,0,1
"skl garage freestyle",0,0,0,0,0,1
"ElectricPicnic2014 6pm",0,0,0,0,0,1
"Firkins Bakery",0,1,0,0,0,0
"mw3",0,0,0,0,0,1
"Rue Bourbon ruebourbonph",0,0,0,0,0,1
"rp 1 RT",0,0,0,0,0,1
"Noche",0,0,0,0,0,1
"Triple Zero",0,0,0,0,0,1
"cronin_siobhan Sublime RT garethoconnor",0,0,0,0,0,1
"Heddas Greeting",0,0,0,0,0,1
"Opening Queens Hospital",0,0,0,0,0,1
"Fort Hood",0,1,0,0,0,0
"Amnesia Ibiza",0,1,0,0,0,0
"Irish News",0,1,0,0,0,0
"The Saatchi Gallery",0,1,0,0,0,0
"Dunluce Castle",0,1,0,0,0,0
"Grey Lynn Park",0,1,0,0,0,0
"the o2 Arena",0,0,0,0,0,1
"the RUM HOUSE",0,0,0,0,0,1
"Endo Fashion Breakfast",0,0,0,0,0,1
"Maidstone Room",0,0,0,0,0,1
"Melwood",0,0,0,0,0,1
"97c / min",0,0,0,0,0,1
"lgabudget RT carlyraejepsen",0,0,0,0,0,1
"Barnham / Eastergate",0,0,0,0,0,1
"the Netherlands Embassy",0,0,0,0,0,1
"Sun 00",0,0,0,0,0,1
"Dean street",0,0,0,0,0,1
"the rainbow Good",0,0,0,0,0,1
"Buckingham Palace",0,1,0,0,0,0
"OfficialWexGAA",0,0,0,0,0,1
"krenn666 Limerick Thunder",0,0,0,0,0,1
"nw 3d street",0,0,0,0,0,1
"Centennial Plaza",0,1,0,0,0,0
"Montreal city hall",0,1,0,0,0,0
"The Breakfast Show",0,0,0,0,0,1
"Qatar Heroes",0,0,0,0,0,1
"Goodridge Street",0,1,0,0,0,0
"Tow Center",0,1,0,0,0,0
"the Rose Bowl",0,0,0,0,0,1
"Military Building",0,0,0,0,0,1
"McDonalds",0,1,0,0,0,0
"infelizmente ainda",0,0,0,0,0,1
"the Opera House",0,0,0,0,0,1
"Mystery Manor",0,1,0,0,0,0
"Walmart Canada Cool",0,0,0,0,0,1
"Mt Yale",0,1,0,0,0,0
"Harrison High School",0,1,0,0,0,0
"Baro 1034",0,0,0,0,0,1
"Manchester Preferably City Centre",0,0,0,0,0,1
"Meridian Tonight",0,0,0,0,0,1
"Fort Hood Rampage http://t",0,0,0,0,0,1
"Hamilton Spectator",0,1,0,0,0,0
"Y6W3iqBW",0,0,0,0,0,1
"ainda por cima essas",0,0,0,0,0,1
"the Blue Square Premier",0,0,0,0,0,1
"Metro nottingham",0,0,0,0,0,1
"CES 2012",0,0,0,0,0,1
"co/6J38CJv3Oq Croke Park",0,0,0,0,0,1
"Willey Street",0,1,0,0,0,0
"the Pulitzer Center",0,0,0,0,0,1
"the Wanganui Hospital",0,0,0,0,0,1
"Stick",0,0,0,0,0,1
"Washington Navy Yard",0,1,0,0,0,0
"Dail",0,1,0,0,0,0
"Faron Hall",0,1,0,0,0,0
"Barometer 29",0,0,0,0,0,1
"Westgate Mall",0,1,0,0,0,0
"KL airport",0,0,0,0,0,1
"EIndhoven Airport",0,0,0,0,0,1
"the Brighton Centre",0,0,0,0,0,1
"N Kildare",0,1,0,0,0,0
"Hamilton Police",0,1,0,0,0,0
"Wembley Stadium",0,1,0,0,0,0
"Victoria Street Hamilton",0,1,0,0,0,0
"the Horn Head",0,0,0,0,0,1
"Yongguk 2 Cr",0,0,0,0,0,1
"the Media Center",0,0,0,0,0,1
"Nottingham Railway Station",0,1,0,0,0,0
"the Lyric Video",0,0,0,0,0,1
"Dunkirk DDay Mjpkane StuffInSale AsaleResident",0,0,0,0,0,1
"Manchester 4 paracet 's n 2",0,0,0,0,0,1
"Tuam",0,1,0,0,0,0
"Temple Run",0,0,0,0,0,1
"the a. m",0,0,0,0,0,1
"Manaus stadium",0,1,0,0,0,0
"Towie night xxx Bad",0,0,0,0,0,1
"NNW 2",0,0,0,0,0,1
"City Garden Apts",0,1,0,0,0,0
"Stretford Fire Station",0,1,0,0,0,0
"Sugababes 1",0,0,0,0,0,1
"co/4LeyYb9mQt",0,0,0,0,0,1
"the Emergency Ops Centre",0,0,0,0,0,1
"Space",0,0,0,0,0,1
"M62 Eastbound",0,1,0,0,0,0
"Heathrow Airport",0,1,0,0,0,0
"Flightradar 24",0,0,0,0,0,1
"City centre pub",0,0,0,0,0,1
"Inphosports Typhoon Neoguri",0,0,0,0,0,1
"Central",0,0,0,0,0,1
"Jasper National Park",0,1,0,0,0,0
"the Hawkesbury International Sand Sculpture Competition",0,0,0,0,0,1
"J10 M6 Croft Interchange",0,1,0,0,0,0
"Rex",0,0,0,0,0,1
"Sun 26w / m2 0",0,0,0,0,0,1
"Fort Lee",0,1,0,0,0,0
"Wexford Park",0,1,0,0,0,0
"Sao Paulo Stadium",0,0,0,0,0,1
"Beagle 2 Mars",0,0,0,0,0,1
"Vatican",0,1,0,0,0,0
"G 7",0,1,0,0,0,0
"Sama Sama hotel",0,0,0,0,0,1
"Eleven Madison Park",0,1,0,0,0,0
"Co Louth",0,1,0,0,0,0
"Hester Residence Kingswinford",0,0,0,0,0,1
