Entity,COR,INC,PAR,SPU,MIS,IGN
"CCasciano",0,1,0,0,0,0
"0 mph NW",0,0,0,0,0,1
"859 million Swiss francs",0,0,0,0,0,1
"12 million dollars",0,0,0,0,0,1
"Q2XgqGfePf",0,0,0,0,0,1
"ONsB3wBzDz",0,0,0,0,0,1
"10 million",0,0,0,0,0,1
"nearly 15 per cent",0,0,0,0,0,1
"hundreds of dollars",0,0,0,0,0,1
"AfroNaj ACLDaBoss",0,0,0,0,0,1
"3 billion euros",0,0,0,0,0,1
"777 2 H 6 ER",0,0,0,0,0,1
"15 billion euros 20",0,0,0,0,0,1
"2o Dia",0,0,0,0,0,1
"59 cents",0,0,0,0,0,1
"200 mln dollar",0,0,0,0,0,1
"97 cents",0,0,0,0,0,1
"mick_wilkinson pieeatingooner",0,0,0,0,0,1
"one per cent",0,0,0,0,0,1
"100",0,0,0,0,0,1
"9 M",0,0,0,0,0,1
"Samdawson01",0,1,0,0,0,0
"S0drHooI",0,0,0,0,0,1
"16 per cent",0,0,0,0,0,1
"up to 16 billion",0,0,0,0,0,1
"68 cents",0,0,0,0,0,1
"9999 FEW 006",0,0,0,0,0,1
*TOTAL*,0,2,0,0,0,25
