Entity,COR,INC,PAR,SPU,MIS,IGN
"3 1",0,0,0,0,0,1
"0 km",0,0,0,0,0,1
"5 oC. 0 mm",0,0,0,0,0,1
"41m",0,0,0,0,0,1
"about 25 km",0,0,0,0,0,1
"4 DLA",0,0,0,0,0,1
"20m",0,0,0,0,0,1
"almost 20m",0,0,0,0,0,1
"400 metre",0,0,0,0,0,1
"8 mph",0,0,0,0,0,1
"forty one million pounds",0,0,0,0,0,1
"9m",0,0,0,0,0,1
"60 degrees marygracekirby",0,0,0,0,0,1
"400m to 500m",0,0,0,0,0,1
"a ton",0,0,0,0,0,1
"50ft",0,0,0,0,0,1
"293 watts",0,0,0,0,0,1
"around 14mph",0,0,0,0,0,1
"550m",0,0,0,0,0,1
"7m",0,0,0,0,0,1
"5 Dune",0,0,0,0,0,1
"the 400 M",0,0,0,0,0,1
"35m",0,0,0,0,0,1
"6mm",0,0,0,0,0,1
"1 km",0,0,0,0,0,1
"2 mm",0,0,0,0,0,1
"132m 80m",0,0,0,0,0,1
"16",0,0,0,0,0,1
"0 mph",0,0,0,0,0,1
"000m",0,0,0,0,0,1
"000 foot",0,0,0,0,0,1
"15m",0,0,0,0,0,1
"0 mm",0,0,0,0,0,1
"7mb Rain",0,0,0,0,0,1
"just 25km",0,0,0,0,0,1
"50 mb",0,0,0,0,0,1
"2",0,0,0,0,0,1
"1mb Rain",0,0,0,0,0,1
"1mph",0,0,0,0,0,1
"160m",0,0,0,0,0,1
"5 km",0,0,0,0,0,1
"000 feet",0,0,0,0,0,1
"1m",0,0,0,0,0,1
"400m",0,0,0,0,0,1
"6mph",0,0,0,0,0,1
"480m",0,0,0,0,0,1
"100m",0,0,0,0,0,1
"5 inch",0,0,0,0,0,1
"30 mins",0,0,0,0,0,1
"5m",0,0,0,0,0,1
"18m",0,0,0,0,0,1
"14cm 2",0,0,0,0,0,1
"4 pints",0,0,0,0,0,1
"40 plus",0,0,0,0,0,1
"2buy evryone",0,0,0,0,0,1
"37 9 FEET",0,0,0,0,0,1
"Million Pound Drop",0,0,0,0,0,1
"480m Landcare",0,0,0,0,0,1
"2200km",0,0,0,0,0,1
"4mph",0,0,0,0,0,1
"P x x x H m",0,0,0,0,0,1
"55m",0,0,0,0,0,1
"75m",0,0,0,0,0,1
"200m",0,0,0,0,0,1
"300m",0,0,0,0,0,1
"224m",0,0,0,0,0,1
"4mm",0,0,0,0,0,1
"4 M",0,0,0,0,0,1
"4 POUNDS",0,0,0,0,0,1
"4mb Rain",0,0,0,0,0,1
"000ft",0,0,0,0,0,1
"3 miles",0,0,0,0,0,1
"8mph",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,73
