Entity,COR,INC,PAR,SPU,MIS,IGN
"the middle of the night",0,0,0,0,0,1
"5am ish",0,0,0,0,0,1
"night night",0,0,0,0,0,1
"fest 8pm",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"tonights",0,0,0,0,0,1
"half 7 in the morning",0,0,0,0,0,1
"4 9",0,0,0,0,0,1
"two hours 20 minutes",0,0,0,0,0,1
"our final night",0,0,0,0,0,1
"10pm",0,0,0,0,0,1
"hours",0,0,0,0,0,1
"night",0,0,0,0,0,1
"a few minutes",0,0,0,0,0,1
"5pm PST",0,0,0,0,0,1
"3LJ 'S",0,0,0,0,0,1
"the night ahead",0,0,0,0,0,1
"1billonbaby justinbieber scooterbraun Ludacris WO ...",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"ess tonight",0,0,0,0,0,1
"127 Hours",0,0,0,0,0,1
"the new 9pm start time Quiz",0,0,0,0,0,1
"curry night",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"6pm",0,0,0,0,0,1
"1500hrs",0,0,0,0,0,1
"Earlier today",0,0,0,0,0,1
"4 :3 37 pm",0,0,0,0,0,1
"last minute",0,0,0,0,0,1
"midnight RT LiamHaylett",0,0,0,0,0,1
"12 hours",0,0,0,0,0,1
"11:30",0,0,0,0,0,1
"11pm",0,0,0,0,0,1
"Night",0,0,0,0,0,1
"3 to 8 PM",0,0,0,0,0,1
"Tuesday night",0,0,0,0,0,1
"11 am",0,0,0,0,0,1
"3pm",0,0,0,0,0,1
"a movie night",0,0,0,0,0,1
"minutes",0,0,0,0,0,1
"her big night",0,0,0,0,0,1
"Last Night",0,0,0,0,0,1
"20 mins",0,0,0,0,0,1
"Awesome night",0,0,0,0,0,1
"15 PM",0,0,0,0,0,1
"8 mins",0,0,0,0,0,1
"10:30",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"10 hours",0,0,0,0,0,1
"5pm Irish",0,0,0,0,0,1
"the last 20 mins",0,0,0,0,0,1
"35 minutes",0,0,0,0,0,1
"PM",0,0,0,0,0,1
"twenty four hour",0,0,0,0,0,1
"3 minute",0,0,0,0,0,1
"07 :3",0,0,0,0,0,1
"6 28 14",0,0,0,0,0,1
"10 mins",0,0,0,0,0,1
"tomorrow night",0,0,0,0,0,1
"the most amazing night",0,0,0,0,0,1
"only 3 hours",0,0,0,0,0,1
"earlier this morning",0,0,0,0,0,1
"later today",0,0,0,0,0,1
"3 minutes",0,0,0,0,0,1
"28 pm",0,0,0,0,0,1
"11 4pm",0,0,0,0,0,1
"this Night Garden",0,0,0,0,0,1
"4pm",0,0,0,0,0,1
"Its date night",0,0,0,0,0,1
"24 Hour",0,0,0,0,0,1
"worst nights",0,0,0,0,0,1
"6am this morning",0,0,0,0,0,1
"just over an hour",0,0,0,0,0,1
"later this evening",0,0,0,0,0,1
"one twenty minutes ago",0,0,0,0,0,1
"an uncivilised hour",0,0,0,0,0,1
"45 min",0,0,0,0,0,1
"32 seconds",0,0,0,0,0,1
"TONIGHT",0,0,0,0,0,1
"9 11 Memorial Stair Climb",0,0,0,0,0,1
"three hours",0,0,0,0,0,1
"Morning",0,0,0,0,0,1
"Another 3 hour",0,0,0,0,0,1
"ZIIWswiV few hours",0,0,0,0,0,1
"07:01",0,0,0,0,0,1
"about this morning",0,0,0,0,0,1
"10 oclock",0,0,0,0,0,1
"1 22 / 25",0,0,0,0,0,1
"seconds",0,0,0,0,0,1
"the minute",0,0,0,0,0,1
