Entity,COR,INC,PAR,SPU,MIS,IGN
"Cockup",0,0,0,0,0,1
"Spotlight on Award Winners",0,0,0,0,0,1
"Your Love",0,0,0,0,0,1
"Winter Classic",0,0,0,0,0,1
"Google Play What",0,0,0,0,0,1
"The War That Changed Us",0,0,0,0,0,1
"' http://t",0,0,0,0,0,1
"youtube Spiffing",0,0,0,0,0,1
"Application for New Symbol http://t.",0,0,0,0,0,1
"'m",0,0,0,0,0,1
"Love",0,0,0,0,0,1
"Grilled Lamb http://t.",0,0,0,0,0,1
"The Gang Show",0,0,0,0,0,1
"Kellyrenshaw",0,1,0,0,0,0
"k8emma : itsmeadriano",0,0,0,0,0,1
"Dancing in a small corner of Radio 4",0,0,0,0,0,1
"Transformers",0,1,0,0,0,0
"Irish News : YouTube",0,0,0,0,0,1
"Bound 2",0,0,0,0,0,1
"Paalam p5",0,0,0,0,0,1
"The History of the World 's Most Notorious Terrorist Organization :",0,0,0,0,0,1
"s7sBfv86 aghhhh",0,0,0,0,0,1
"Hidden History",0,0,0,0,0,1
"Sherlock",0,1,0,0,0,0
"The Razzie Awards Move",0,0,0,0,0,1
"Civilisational HTTP Error Codes",0,0,0,0,0,1
"Cinderella carlyraejepsen",0,0,0,0,0,1
"Young Creative Awards : Students",0,0,0,0,0,1
"FREE Reminder : Hockey for Kids : Ages",0,0,0,0,0,1
"CNNTownHall Watch",0,0,0,0,0,1
"A Loaded Gun",0,0,0,0,0,1
"S Come Dine with Me",0,0,0,0,0,1
"ans8xgImwa pm_live Live at 6pm",0,0,0,0,0,1
"Around The Horn",0,0,0,0,0,1
"You Get Enough of Me",0,0,0,0,0,1
"Minor Shuffling",0,0,0,0,0,1
"Human Behaviour",0,0,0,0,0,1
"Irish News : Ready",0,0,0,0,0,1
"' DrPeterThraft : Gay men.",0,0,0,0,0,1
"Auqinar",0,0,0,0,0,1
"A Sky Full Of Stars",0,0,0,0,0,1
"The Last Game",0,0,0,0,0,1
"All Night",0,0,0,0,0,1
"Irish News :",0,0,0,0,0,1
"Idk I 'm seepin",0,0,0,0,0,1
"World Field Lax",0,1,0,0,0,0
"Annas Angels",0,0,0,0,0,1
"Yeloop missy_welsh",0,0,0,0,0,1
"Down For The Night",0,0,0,0,0,1
"Constitutions and Culture Wars '",0,0,0,0,0,1
"Tantrums",0,0,0,0,0,1
"sfIjrY6Sp7 MrRobertMcGrath",0,0,0,0,0,1
"'m a Virgo",0,0,0,0,0,1
"SA Stay",0,0,0,0,0,1
"Once Tried to Turn Him",0,0,0,0,0,1
"Blackadder",0,0,0,0,0,1
"Bring me another.",0,0,0,0,0,1
"Narrow Road to Deep North http://t",0,0,0,0,0,1
"WTF Time",0,0,0,0,0,1
"Top of the Lake",0,0,0,0,0,1
"Facebook Fan of the Week",0,0,0,0,0,1
"BZ01ZVjdSh Awesome",0,0,0,0,0,1
"The Hangover 2 , Water For Elephants",0,0,0,0,0,1
"Graduation Day",0,0,0,0,0,1
"GLnXPlaP Fan",0,0,0,0,0,1
"A Night With The Stars",0,0,0,0,0,1
"a Chardonnay",0,0,0,0,0,1
"Oscars Missed",0,0,0,0,0,1
"today 1",0,0,0,0,0,1
"The King Edwards '",0,0,0,0,0,1
"JoakiCoa : You and I",0,0,0,0,0,1
"Parody At His Wedding",0,0,0,0,0,1
"MitchellZoey",0,1,0,0,0,0
"On My Way To Harlem '",0,0,0,0,0,1
"The Wind",0,0,0,0,0,1
"Skill Master",0,0,0,0,0,1
"the Ellen Show",0,0,0,0,0,1
"Dail : Hogan",0,0,0,0,0,1
"MailOnline Photo",0,0,0,0,0,1
"2010 Budget",0,0,0,0,0,1
"Fairy Godmother Cinderella",0,0,0,0,0,1
"Damn Love",0,0,0,0,0,1
"Star Wars :",0,0,0,0,0,1
"Running With The Boys",0,0,0,0,0,1
"gaLQiKOY Tennis : Australian Open 2012",0,0,0,0,0,1
"Irish News",0,1,0,0,0,0
"The Journals of MamaMae LeeLee",0,0,0,0,0,1
"DigiSport",0,0,0,0,0,1
"'m angry God Cora",0,0,0,0,0,1
"the Twilight Saga",0,0,0,0,0,1
"Death Row Dogs on BBC 1",0,0,0,0,0,1
"stan",0,1,0,0,0,0
"BIG_Jason77",0,1,0,0,0,0
"the "" Flowers For A Year",0,0,0,0,0,1
"Four Stars "" David Margaret",0,0,0,0,0,1
"y Love",0,0,0,0,0,1
"Baekhyun Happy Camp Recording cr",0,0,0,0,0,1
"The Human Side of Microsoft 's Layoffs",0,0,0,0,0,1
"Racist Rant Free Carriages",0,0,0,0,0,1
"NoahEiden Dear Twitter",0,0,0,0,0,1
"Frhysmn_",0,1,0,0,0,0
"http://tgr",0,0,0,0,0,1
"LyssaDoe_ :",0,0,0,0,0,1
"the Golden Globe",0,0,0,0,0,1
"The Late Show",0,0,0,0,0,1
"Faith and Service : The Great Divorce",0,0,0,0,0,1
"KUWTK",0,0,0,0,0,1
"Rake",0,0,0,0,0,1
"pikin dey",0,0,0,0,0,1
"Bore A Diam",0,0,0,0,0,1
"' With Home Page Protest",0,0,0,0,0,1
"Unspeakable",0,0,0,0,0,1
"Deep Impact and Armageddon",0,0,0,0,0,1
"Comment",0,0,0,0,0,1
"Textbook",0,1,0,0,0,0
"Stay Away",0,0,0,0,0,1
"Teaser",0,0,0,0,0,1
"RTE Player",0,0,0,0,0,1
"Running With The Boys littlemachines",0,0,0,0,0,1
"' Sex the City ' http://t.",0,0,0,0,0,1
"The Hunger Games",0,0,0,0,0,1
"the Amazing Atheist",0,0,0,0,0,1
"9GAG Loving The Checkout",0,0,0,0,0,1
"' Set",0,0,0,0,0,1
"SimoLove LIVE",0,0,0,0,0,1
"RT PensionsJackal :",0,0,0,0,0,1
"Male Artist",0,0,0,0,0,1
"The Movies",0,1,0,0,0,0
"The Tender Solider",0,0,0,0,0,1
"' LetishaVictoria : Allow dealing a guy that has longer hair than you.",0,0,0,0,0,1
"Path 2",0,0,0,0,0,1
"' Derynemolar : tweepzdatdntsleeponmaTl",0,0,0,0,0,1
"Parlt",0,1,0,0,0,0
"A Slice Of India",0,0,0,0,0,1
"' Love me some Alexander Payne",0,0,0,0,0,1
"Season Cast Iron Cookware",0,0,0,0,0,1
"Hashtag Project",0,0,0,0,0,1
"' Blackout Day '",0,0,0,0,0,1
"Mission Improvable",0,0,0,0,0,1
"k8nVpWJjC5 Photo",0,0,0,0,0,1
"' Complete Tosca",0,0,0,0,0,1
"Eye of the Tiger",0,0,0,0,0,1
"The Star Child",0,0,0,0,0,1
"The One Show",0,0,0,0,0,1
"OvjE3arBrm Breathtaking Sue Steward",0,0,0,0,0,1
"Amazing Race Canada '",0,0,0,0,0,1
"the Queen is Baked Bean",0,0,0,0,0,1
"Gust of Wind",0,0,0,0,0,1
"Hanging in Prison Cell",0,0,0,0,0,1
"Neville Track",0,0,0,0,0,1
"' The Vaccine '",0,0,0,0,0,1
"NAAH BRO",0,0,0,0,0,1
""" Cooks Linwood , PA http://t.",0,0,0,0,0,1
"Preview Tracks",0,0,0,0,0,1
"'Hot Corners '",0,0,0,0,0,1
"Min for Homelessness Rob McClelland",0,0,0,0,0,1
"the Bottle Boys",0,0,0,0,0,1
"Wreck",0,0,0,0,0,1
"Watch Swarovski",0,0,0,0,0,1
"Youth Action Week",0,0,0,0,0,1
"Beady Eye",0,1,0,0,0,0
"Hideous Hag Coming",0,0,0,0,0,1
"ToniKroos",0,1,0,0,0,0
"fZCjaixIQO Crocs Kids Handle It",0,0,0,0,0,1
"Apple Magic",0,0,0,0,0,1
"Bring Me The Horizon",0,0,0,0,0,1
"Dark Horse",0,0,0,0,0,1
"' Pale Ale",0,0,0,0,0,1
"wDzIlqnrlM Love",0,0,0,0,0,1
"warrior Photo :",0,0,0,0,0,1
"Good Soul of Szechuan",0,0,0,0,0,1
"Live At The Royal Albert Hall '",0,0,0,0,0,1
""" Mine of the Future",0,0,0,0,0,1
"This Video",0,0,0,0,0,1
"Weird Trick",0,0,0,0,0,1
"zonnetarief """,0,0,0,0,0,1
"Listening Post",0,0,0,0,0,1
"The Artist",0,0,0,0,0,1
"Doobie",0,0,0,0,0,1
"' Golden Sheep '",0,0,0,0,0,1
"Now Playing :",0,0,0,0,0,1
"The Laws of the Jungle",0,0,0,0,0,1
"Tanning of America",0,0,0,0,0,1
"Loose Women",0,0,0,0,0,1
"Love For My Friends , Family And Fans :",0,0,0,0,0,1
"Nobel Peace Prize",0,0,0,0,0,1
"Bible",0,0,0,0,0,1
"Restaurant Catering Awards",0,0,0,0,0,1
"the Wheel of Excellence",0,0,0,0,0,1
"DerekNichols0",0,1,0,0,0,0
"Dinnerladies",0,0,0,0,0,1
"co/08seL040Pw",0,0,0,0,0,1
"Twitter Facebook Pintrest YouTube",0,0,0,0,0,1
"FOIAFriday",0,0,0,0,0,1
"the The S Stands for Stylish achievement in Resident Evil 4 HD",0,0,0,0,0,1
"Celebrating The Black Banner",0,0,0,0,0,1
"Good morning Sligo",0,0,0,0,0,1
"Siri Try Evi http://t.",0,0,0,0,0,1
"Best Kids Snack",0,0,0,0,0,1
"BertLcfc : SkySports",0,0,0,0,0,1
"Schoolboy BBQ",0,1,0,0,0,0
"Cruel Intentions",0,0,0,0,0,1
"Wow Dream",0,0,0,0,0,1
"' ajwright1987",0,0,0,0,0,1
"The Easter Rising",0,0,0,0,0,1
"Flopping",0,0,0,0,0,1
"TreySongz",0,1,0,0,0,0
"FiSwy Latest",0,0,0,0,0,1
"The King of Latenight",0,0,0,0,0,1
"Collateral Damage :",0,0,0,0,0,1
"Revolting Rhymes",0,0,0,0,0,1
"' SWIM CHARLIE , SWIM , DO N'T LOOK BACK '",0,0,0,0,0,1
"Teachers motivate",0,0,0,0,0,1
"Le Coq",0,1,0,0,0,0
"Laughbook :",0,0,0,0,0,1
"The Originals",0,0,0,0,0,1
"Jimmy 's",0,0,0,0,0,1
"Medal of Honor",0,0,0,0,0,1
"MeeGo Harmattan RT NokiaGadgets N9",0,0,0,0,0,1
"La fuerza esta en ser uno mismo",0,0,0,0,0,1
"Be Good '",0,0,0,0,0,1
"Following the World",0,0,0,0,0,1
"WlZDOM : Good relationships does n't just happen",0,0,0,0,0,1
"Bad Science",0,0,0,0,0,1
"Erase",0,0,0,0,0,1
"AS Photo :",0,0,0,0,0,1
"les mis",0,0,0,0,0,1
"1998 Album Details http://t.",0,0,0,0,0,1
"' The Mature Mind '",0,0,0,0,0,1
"Back in the Newsroom Program",0,0,0,0,0,1
"24 Hr Network Radio "" Internet Radio",0,0,0,0,0,1
"RAF",0,1,0,0,0,0
"Gorgeous Coat Cooking",0,0,0,0,0,1
"Killing the Text Message",0,0,0,0,0,1
"Headache",0,0,0,0,0,1
"Music from The Succubus Club",0,0,0,0,0,1
"Hanging at I ride",0,0,0,0,0,1
"Get Old Facebook Back",0,0,0,0,0,1
"Na night",0,0,0,0,0,1
"In Car Crash",0,0,0,0,0,1
"lifeee",0,0,0,0,0,1
"Chime for Change",0,1,0,0,0,0
"Girl Model",0,0,0,0,0,1
"tarde gostosa Watched",0,0,0,0,0,1
"tudo hoje pra",0,0,0,0,0,1
"MYBigNightOut Concert",0,0,0,0,0,1
"Blog Spotlight ffc Senderos",0,0,0,0,0,1
"Space Oddity",0,0,0,0,0,1
"eQBzpsaqTr Photo",0,0,0,0,0,1
"World s Top Serial Bird Killers Put Infamous Windmills to Shame",0,0,0,0,0,1
"BetwsYnRhos Flower Show",0,0,0,0,0,1
"The Best Marigold Hotel",0,0,0,0,0,1
"Wheatley",0,0,0,0,0,1
"NP4731",0,1,0,0,0,0
*TOTAL*,0,21,0,0,0,233
