Entity,COR,INC,PAR,SPU,MIS,IGN
"at least two",0,0,0,0,0,1
"16 5 4",0,0,0,0,0,1
"Between 50 and 100",0,0,0,0,0,1
"34",0,0,0,0,0,1
"72",0,0,0,0,0,1
"298",0,0,0,0,0,1
"601",0,0,0,0,0,1
"16",0,0,0,0,0,1
"320",0,0,0,0,0,1
"only 600",0,0,0,0,0,1
"a quarter",0,0,0,0,0,1
"133",0,0,0,0,0,1
"kidrxuhl1D",0,1,0,0,0,0
"Thousands",0,0,0,0,0,1
"1916",0,0,0,0,0,1
"38",0,0,0,0,0,1
"100yrs",0,0,0,0,0,1
"15",0,0,0,0,0,1
"1171",0,0,0,0,0,1
"000",0,0,0,0,0,1
"800",0,0,0,0,0,1
"9912",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"Over 1",0,0,0,0,0,1
"6 3",0,0,0,0,0,1
"32",0,0,0,0,0,1
"More than 100",0,0,0,0,0,1
"Half",0,0,0,0,0,1
"06",0,0,0,0,0,1
"3825pat",0,1,0,0,0,0
"6",0,0,0,0,0,1
"30 / 30",0,0,0,0,0,1
"2D",0,0,0,0,0,1
"650",0,0,0,0,0,1
"24 million",0,0,0,0,0,1
"CoppiBelfast ilpiratabelfast 10",0,0,0,0,0,1
"3",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"204",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"More than 200",0,0,0,0,0,1
"3DS",0,0,0,0,0,1
"20",0,0,0,0,0,1
"TuneIn",0,1,0,0,0,0
"182",0,0,0,0,0,1
"2day",0,0,0,0,0,1
"More than 40",0,0,0,0,0,1
"42",0,0,0,0,0,1
"up to 100",0,0,0,0,0,1
"6figure",0,0,0,0,0,1
"one",0,0,0,0,0,1
"7C",0,0,0,0,0,1
"183",0,0,0,0,0,1
"04 27 / 01 /",0,0,0,0,0,1
"SUCZwMuJrD",0,0,0,0,0,1
"17",0,0,0,0,0,1
"9 billion",0,0,0,0,0,1
"Twelve",0,0,0,0,0,1
"67",0,0,0,0,0,1
"450",0,0,0,0,0,1
"up to 300",0,0,0,0,0,1
"4rest",0,0,0,0,0,1
"7b",0,0,0,0,0,1
"39",0,0,0,0,0,1
"470",0,0,0,0,0,1
"5meters",0,0,0,0,0,1
"350",0,0,0,0,0,1
"80",0,0,0,0,0,1
"16 billion",0,0,0,0,0,1
"224",0,0,0,0,0,1
"1 1",0,0,0,0,0,1
"48",0,0,0,0,0,1
"824",0,0,0,0,0,1
"at least 6",0,0,0,0,0,1
"at least 10",0,0,0,0,0,1
"over 3 million",0,0,0,0,0,1
"mass330",0,0,0,0,0,1
"more than 200",0,0,0,0,0,1
"856",0,0,0,0,0,1
"MrRdeBoy",0,1,0,0,0,0
"141 million",0,0,0,0,0,1
"nearly 10 million",0,0,0,0,0,1
"109",0,0,0,0,0,1
"787",0,0,0,0,0,1
"532",0,0,0,0,0,1
"HuffPo",0,1,0,0,0,0
"3 40",0,0,0,0,0,1
"52",0,0,0,0,0,1
"98",0,0,0,0,0,1
"19:20",0,0,0,0,0,1
"18",0,0,0,0,0,1
"almost 800",0,0,0,0,0,1
"10",0,0,0,0,0,1
"870",0,0,0,0,0,1
"767",0,0,0,0,0,1
"more than 1k",0,0,0,0,0,1
"102",0,0,0,0,0,1
"0 4",0,0,0,0,0,1
"Nine",0,0,0,0,0,1
"248",0,0,0,0,0,1
"MarylandMSoccer",0,1,0,0,0,0
"CREAM",0,0,0,0,0,1
"5mill",0,0,0,0,0,1
"BluesRugbyTeam",0,1,0,0,0,0
"60k",0,0,0,0,0,1
"CricketTragic58",0,1,0,0,0,0
"95",0,0,0,0,0,1
"5",0,0,0,0,0,1
"more than 150",0,0,0,0,0,1
"co/0Sv5RXcZ",0,0,0,0,0,1
"More than 3",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"more than 300",0,0,0,0,0,1
"more than 100",0,0,0,0,0,1
"3 1",0,0,0,0,0,1
"boxes tallied",0,0,0,0,0,1
"283",0,0,0,0,0,1
"1 / 4",0,0,0,0,0,1
"5k",0,0,0,0,0,1
"co/7I4UJWW5v4",0,0,0,0,0,1
"about 275",0,0,0,0,0,1
"7",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"1night1drop",0,0,0,0,0,1
"half",0,0,0,0,0,1
"07",0,0,0,0,0,1
"at least 19",0,0,0,0,0,1
"327",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"1b",0,0,0,0,0,1
"4corners",0,1,0,0,0,0
"59",0,0,0,0,0,1
"9C",0,0,0,0,0,1
"co/6jsjFq4ZWs",0,0,0,0,0,1
"Nearly 6",0,0,0,0,0,1
"PaulHenryShow",0,1,0,0,0,0
"About 122",0,0,0,0,0,1
"168 million",0,0,0,0,0,1
"5374",0,0,0,0,0,1
"4 1",0,0,0,0,0,1
"46609",0,0,0,0,0,1
"Copa2014",0,0,0,0,0,1
"162",0,0,0,0,0,1
"1 / 2",0,0,0,0,0,1
"400",0,0,0,0,0,1
"more than 250",0,0,0,0,0,1
"49",0,0,0,0,0,1
"24",0,0,0,0,0,1
"1 22 / 25",0,0,0,0,0,1
"dYKmxhkYFE",0,0,0,0,0,1
"08",0,0,0,0,0,1
"351",0,0,0,0,0,1
"14",0,0,0,0,0,1
"209,454",0,0,0,0,0,1
"57",0,0,0,0,0,1
"2012",0,0,0,0,0,1
"71",0,0,0,0,0,1
"10,000",0,0,0,0,0,1
"128",0,0,0,0,0,1
"27KHV",0,1,0,0,0,0
"150",0,0,0,0,0,1
"62",0,0,0,0,0,1
"4",0,0,0,0,0,1
"2000",0,0,0,0,0,1
"6 2014VerizonBreachReport",0,0,0,0,0,1
"4 3",0,0,0,0,0,1
"3 billion",0,0,0,0,0,1
"Four",0,0,0,0,0,1
"777",0,0,0,0,0,1
"more than 700",0,0,0,0,0,1
"millions",0,0,0,0,0,1
"43",0,0,0,0,0,1
"9",0,0,0,0,0,1
"110",0,0,0,0,0,1
"206",0,0,0,0,0,1
"21",0,0,0,0,0,1
"94",0,0,0,0,0,1
"1 3",0,0,0,0,0,1
"900 million",0,0,0,0,0,1
"5C",0,0,0,0,0,1
"120Noam",0,1,0,0,0,0
"701",0,0,0,0,0,1
"WWDC14",0,0,0,0,0,1
"2being",0,0,0,0,0,1
"2 / 2",0,0,0,0,0,1
"6PR",0,1,0,0,0,0
"10 million",0,0,0,0,0,1
"27",0,0,0,0,0,1
"at least 100",0,0,0,0,0,1
"Green",0,1,0,0,0,0
"Millions",0,0,0,0,0,1
"30k",0,0,0,0,0,1
"14ers",0,0,0,0,0,1
"088",0,0,0,0,0,1
"2",0,0,0,0,0,1
"4,947,486",0,0,0,0,0,1
"dozens",0,0,0,0,0,1
"more than 140",0,0,0,0,0,1
"TWO",0,0,0,0,0,1
"2buy",0,0,0,0,0,1
"_",0,0,0,0,0,1
"co/2wVlyNB5Ck",0,0,0,0,0,1
"5sos",0,0,0,0,0,1
"1heron",0,0,0,0,0,1
"13eap13",0,1,0,0,0,0
"835",0,0,0,0,0,1
"12",0,0,0,0,0,1
"250",0,0,0,0,0,1
"380",0,0,0,0,0,1
"steve_rennie",0,1,0,0,0,0
"tnk",0,0,0,0,0,1
"6 billion",0,0,0,0,0,1
"Ten",0,0,0,0,0,1
"35",0,0,0,0,0,1
"249",0,0,0,0,0,1
"8 3",0,0,0,0,0,1
"23",0,0,0,0,0,1
"90",0,0,0,0,0,1
"26",0,0,0,0,0,1
"about half",0,0,0,0,0,1
"46",0,0,0,0,0,1
"five",0,0,0,0,0,1
"100 4",0,0,0,0,0,1
"5intheface",0,1,0,0,0,0
"U",0,1,0,0,0,0
"243",0,0,0,0,0,1
"314",0,0,0,0,0,1
"801",0,0,0,0,0,1
"381",0,0,0,0,0,1
"nine",0,0,0,0,0,1
"YouTube",0,1,0,0,0,0
"500",0,0,0,0,0,1
"75",0,0,0,0,0,1
"3 11",0,0,0,0,0,1
"87",0,0,0,0,0,1
"6 1 / 2",0,0,0,0,0,1
"30",0,0,0,0,0,1
"094",0,0,0,0,0,1
"co/0WDVsrH2",0,0,0,0,0,1
"370",0,0,0,0,0,1
"Nearly 96",0,0,0,0,0,1
"co/55x02gPkM1",0,0,0,0,0,1
"100Googleplustips",0,0,0,0,0,1
"192",0,0,0,0,0,1
"191",0,0,0,0,0,1
"447,000",0,0,0,0,0,1
"2nyts",0,0,0,0,0,1
"56",0,0,0,0,0,1
"a mere 60",0,0,0,0,0,1
"at least 200",0,0,0,0,0,1
"256",0,0,0,0,0,1
"96",0,0,0,0,0,1
"1o",0,0,0,0,0,1
"MH370",0,0,0,0,0,1
"LiamDelaneyEcon",0,1,0,0,0,0
"09",0,0,0,0,0,1
"a million",0,0,0,0,0,1
"ten",0,0,0,0,0,1
"105",0,0,0,0,0,1
"carr2n",0,0,0,0,0,1
"7k",0,0,0,0,0,1
"107",0,0,0,0,0,1
"A few dozen",0,0,0,0,0,1
