Entity,COR,INC,PAR,SPU,MIS,IGN
"janta",0,0,0,0,0,1
"Chicago",0,1,0,0,0,0
"oovoo",0,0,0,0,0,1
"Berlin",0,1,0,0,0,0
"Kansas City",0,1,0,0,0,0
"us",0,0,0,0,0,1
"Darlington",0,1,0,0,0,0
"West Midlands",0,1,0,0,0,0
"Margoandhow",0,1,0,0,0,0
"Tipperary",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"West Africa",0,1,0,0,0,0
"Zagreb",0,1,0,0,0,0
"Djerba",0,1,0,0,0,0
"Man City",0,1,0,0,0,0
"Essex http://t",0,0,0,0,0,1
"Abbott",0,1,0,0,0,0
"B. C.",0,0,0,0,0,1
"Sin City",0,0,0,0,0,1
"Vietnam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"london",0,1,0,0,0,0
"justincoit",0,1,0,0,0,0
"Palestine",0,1,0,0,0,0
"Dfamily City",0,0,0,0,0,1
"stamford",0,1,0,0,0,0
"Bray",0,1,0,0,0,0
"Baltimore",0,1,0,0,0,0
"Cincinnati",0,1,0,0,0,0
"Imara",0,1,0,0,0,0
"Sussex",0,1,0,0,0,0
"sinnfeinireland",0,1,0,0,0,0
"Elkington",0,0,0,0,0,1
"Omaha",0,1,0,0,0,0
"SF",0,1,0,0,0,0
"Melbourne",0,1,0,0,0,0
"Dublin West",0,1,0,0,0,0
"Breakfast",0,0,0,0,0,1
"Mosul",0,1,0,0,0,0
"Argentina",0,1,0,0,0,0
"Camden",0,1,0,0,0,0
"Spambots http://t",0,0,0,0,0,1
"Phoenix",0,1,0,0,0,0
"Distance",0,0,0,0,0,1
"Ottawa",0,1,0,0,0,0
"All Star",0,0,0,0,0,1
"Blacwood",0,1,0,0,0,0
"Baton Rouge",0,1,0,0,0,0
"Amber Alert",0,0,0,0,0,1
"The U. S.",0,0,0,0,0,1
"MPs",0,0,0,0,0,1
"K5Gq09Xd",0,0,0,0,0,1
"Malia",0,1,0,0,0,0
"Canada",0,1,0,0,0,0
"DC",0,1,0,0,0,0
"GIRO",0,0,0,0,0,1
"Ashburton",0,1,0,0,0,0
"Poland",0,1,0,0,0,0
"Morning",0,0,0,0,0,1
"Valentina",0,0,0,0,0,1
"Nenagh Ireland",0,1,0,0,0,0
"KourtKKidsChat XO Berlin",0,0,0,0,0,1
"s. .",0,0,0,0,0,1
"Winnipeg http://t.",0,0,0,0,0,1
"Villa",0,0,0,0,0,1
"Veej_Jay",0,1,0,0,0,0
"Kerleys",0,1,0,0,0,0
"Manawatu",0,0,0,0,0,1
"St. .",0,0,0,0,0,1
"Gloucester http://t.",0,0,0,0,0,1
"Doomsday",0,0,0,0,0,1
"Wimblington Add",0,0,0,0,0,1
"Niqqa",0,0,0,0,0,1
"Uruguay",0,1,0,0,0,0
"New Brunswick http://t",0,0,0,0,0,1
"Mysterior",0,0,0,0,0,1
"Zurich",0,0,0,0,0,1
"Giroud",0,1,0,0,0,0
"nbc30rock",0,0,0,0,0,1
"Congo",0,0,0,0,0,1
"Gaelic",0,0,0,0,0,1
"Wisconsin",0,1,0,0,0,0
"Lismore",0,1,0,0,0,0
"Daehli",0,1,0,0,0,0
"Sprouting Rock",0,1,0,0,0,0
"U.",0,0,0,0,0,1
"Britain",0,1,0,0,0,0
"UConn",0,1,0,0,0,0
"Facebook",0,1,0,0,0,0
"australia",0,1,0,0,0,0
"Adelaide",0,1,0,0,0,0
"Detroit",0,0,0,0,0,1
"Australia",0,1,0,0,0,0
"kblock43",0,0,0,0,0,1
"Maths http://t",0,0,0,0,0,1
"Casper",0,1,0,0,0,0
"Magilligan Strand",0,1,0,0,0,0
"Dallas",0,1,0,0,0,0
"Blue Man",0,0,0,0,0,1
"Kolarov",0,1,0,0,0,0
"Sao Paulo",0,0,0,0,0,1
"HK",0,1,0,0,0,0
"Lewes",0,1,0,0,0,0
"Syston",0,1,0,0,0,0
"Fenland",0,1,0,0,0,0
"Calais",0,1,0,0,0,0
"NY",0,1,0,0,0,0
"Jordon",0,1,0,0,0,0
"Valukas",0,1,0,0,0,0
"Uganda",0,1,0,0,0,0
"FreePalestine http://t.",0,0,0,0,0,1
"Wales",0,1,0,0,0,0
"Geokypan Ireland",0,0,0,0,0,1
"Saigon",0,1,0,0,0,0
"Wellington",0,1,0,0,0,0
"the United States",0,0,0,0,0,1
"Neymar",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"Til Kingdom",0,0,0,0,0,1
"USC / USCAnnenberg",0,0,0,0,0,1
"Orlando",0,1,0,0,0,0
"Cinderella",0,1,0,0,0,0
"derry ireland river",0,0,0,0,0,1
"exspesnauibus",0,0,0,0,0,1
"bastardburrito",0,1,0,0,0,0
"bunga",0,0,0,0,0,1
"Sept http://t",0,0,0,0,0,1
"Las Vegas",0,1,0,0,0,0
"Iowa",0,1,0,0,0,0
"GenerationX",0,0,0,0,0,1
"Janelle",0,1,0,0,0,0
"Southampton",0,1,0,0,0,0
"Sacramento",0,1,0,0,0,0
"Disguise http://t.",0,0,0,0,0,1
"Islamic State",0,1,0,0,0,0
"KimkKs58a6",0,0,0,0,0,1
"Space",0,0,0,0,0,1
"Kuala Lumpur",0,1,0,0,0,0
"LoveYourBodyXtina",0,0,0,0,0,1
"hollyoaks",0,0,0,0,0,1
"kaveyF",0,1,0,0,0,0
"LAS VEGAS",0,1,0,0,0,0
"Shawville",0,0,0,0,0,1
"Baiji",0,1,0,0,0,0
"Belgium",0,1,0,0,0,0
"Lac Megantic",0,0,0,0,0,1
"Giro http://t",0,0,0,0,0,1
"Limerick https://t",0,0,0,0,0,1
"UK",0,1,0,0,0,0
"Rome",0,1,0,0,0,0
"china",0,0,0,0,0,1
"Missouri",0,1,0,0,0,0
"Gaza",0,1,0,0,0,0
"Indonesia",0,1,0,0,0,0
"Canada Day",0,0,0,0,0,1
"West End",0,1,0,0,0,0
"Dublin",0,1,0,0,0,0
"Ontario",0,1,0,0,0,0
"BetterTogether Manchester City",0,0,0,0,0,1
"All Ireland",0,0,0,0,0,1
"Northern Ireland",0,1,0,0,0,0
"Magilligan",0,1,0,0,0,0
"Saskatoon",0,1,0,0,0,0
"Watford",0,1,0,0,0,0
"Edmonton",0,1,0,0,0,0
"Gypsy",0,0,0,0,0,1
"Haiti",0,0,0,0,0,1
"Dublin http://t",0,0,0,0,0,1
"Alphatise http://t",0,0,0,0,0,1
"Snezhnoye",0,0,0,0,0,1
"Toronto",0,1,0,0,0,0
"Luhan",0,1,0,0,0,0
"Labas",0,0,0,0,0,1
"MJ",0,1,0,0,0,0
"Minsk http://t.",0,0,0,0,0,1
"Tokyo",0,1,0,0,0,0
"North s",0,0,0,0,0,1
"South Africa",0,1,0,0,0,0
"Emmy",0,0,0,0,0,1
"Motema",0,0,0,0,0,1
"Trojan",0,0,0,0,0,1
"West Cork",0,0,0,0,0,1
"Banbridge",0,1,0,0,0,0
"Rochester",0,1,0,0,0,0
"Kinsale",0,0,0,0,0,1
"Sun Belfast",0,0,0,0,0,1
"HoC",0,1,0,0,0,0
"Switzerland",0,1,0,0,0,0
"Ukraine",0,1,0,0,0,0
"London",0,1,0,0,0,0
"New Orleans",0,1,0,0,0,0
"Lebanon",0,1,0,0,0,0
"Delhi",0,0,0,0,0,1
"Amsterdam",0,1,0,0,0,0
"Miami",0,0,0,0,0,1
"Mpeketoni",0,1,0,0,0,0
"Liberia",0,1,0,0,0,0
"Argos",0,1,0,0,0,0
"Lahore",0,1,0,0,0,0
"Sierra Leone",0,1,0,0,0,0
"Netherlands",0,1,0,0,0,0
"Exeter",0,1,0,0,0,0
"Gaza Hamas",0,0,0,0,0,1
"Tasmania",0,1,0,0,0,0
"New Hampshire",0,1,0,0,0,0
"Westword",0,1,0,0,0,0
"theVOICEau",0,0,0,0,0,1
"Kirkuk",0,1,0,0,0,0
"Calgary",0,1,0,0,0,0
"Everton",0,1,0,0,0,0
"Kinda",0,0,0,0,0,1
"Music City Cowboy",0,0,0,0,0,1
"Spain",0,1,0,0,0,0
"Boston",0,1,0,0,0,0
"Canberra",0,1,0,0,0,0
"New York City",0,1,0,0,0,0
"kitty",0,0,0,0,0,1
"EricFrancis",0,1,0,0,0,0
"Kilkee",0,1,0,0,0,0
"Swynnerton",0,1,0,0,0,0
"MrJoshCharles",0,1,0,0,0,0
"malcolmcoles",0,1,0,0,0,0
"Manchester United .",0,0,0,0,0,1
"Nashville",0,0,0,0,0,1
"Dzeko ALOE VERA",0,0,0,0,0,1
"Singapore",0,1,0,0,0,0
"ireland",0,0,0,0,0,1
"Africa http://t",0,0,0,0,0,1
"Littlebigbox",0,0,0,0,0,1
"South Korea 's",0,0,0,0,0,1
"Niagara West Glanbrook",0,0,0,0,0,1
"Wyoming",0,1,0,0,0,0
"TONIGHT",0,0,0,0,0,1
