Entity,COR,INC,PAR,SPU,MIS,IGN
"Best Celeb Designer Collection by Reveal Magazine",0,0,0,0,0,1
"Euro",0,0,0,0,0,1
"Path 2",0,0,0,0,0,1
"Games Tax Relief",0,0,0,0,0,1
"Espionage Act",0,0,0,0,0,1
"ARTICLE 140612",0,0,0,0,0,1
"the Next Big Thing : '",0,0,0,0,0,1
"The Consumer Electronics Show 2012",0,0,0,0,0,1
"the FACupHighlights",0,0,0,0,0,1
"the Chelsea Flower Show",0,0,0,0,0,1
"j0KUEQ4cdQ Using Anomalies in Crash Reports",0,0,0,0,0,1
"ukf0FrRH19 Two",0,0,0,0,0,1
"TweetSinchan 0000000000000000000000000000900000000",0,0,0,0,0,1
"the N 20",0,0,0,0,0,1
"Construction",0,0,0,0,0,1
"Consumer Electronics Show 2012",0,0,0,0,0,1
"the Tax Evasion",0,0,0,0,0,1
"Xmas",0,0,0,0,0,1
"Foreign Fighters",0,0,0,0,0,1
"Constitution",0,0,0,0,0,1
"the Bottle Boys",0,0,0,0,0,1
"Hull 3 2",0,0,0,0,0,1
"Young Creative Awards",0,1,0,0,0,0
"Dortmund 2 0",0,0,0,0,0,1
"Location Location Location",0,0,0,0,0,1
"the Aussie Version of "" Rake",0,0,0,0,0,1
"the Carbon Tax Repeal",0,0,0,0,0,1
"ScooterMcGavin8",0,1,0,0,0,0
"YouTube",0,1,0,0,0,0
"Solar",0,0,0,0,0,1
"SkyBusiness 602 :",0,0,0,0,0,1
"DaveBoll 1",0,0,0,0,0,1
"C 47",0,0,0,0,0,1
"this TT",0,0,0,0,0,1
"MinTemp 9",0,0,0,0,0,1
"TD Chargers \.",0,0,0,0,0,1
"b4peoYw8 03:01",0,0,0,0,0,1
"OneBorn",0,0,0,0,0,1
*TOTAL*,0,3,0,0,0,35
