Entity,COR,INC,PAR,SPU,MIS,IGN
"Finland",0,0,0,0,1,0
"Northern Gateway http://t",0,0,1,0,0,0
"Homerton",0,0,0,0,1,0
"Sewol",0,0,0,0,1,0
"Woolwich Room",0,0,0,0,1,0
"Charlottetown",0,0,0,0,1,0
"Napoli",0,0,0,0,1,0
"Cote d ' Ivoire",0,0,0,0,1,0
"Labrador",0,0,0,0,1,0
"Ireland.",0,0,0,0,1,0
"#limerick",0,0,0,0,1,0
"Luton Room",0,0,0,0,1,0
"West Wing",0,0,1,0,0,0
"Kuala Lumpur",0,0,0,0,1,0
"Chamber",0,0,0,0,1,0
"Big Ben",0,0,0,0,1,0
"LAS VEGAS",0,0,0,0,1,0
"OAK",0,0,0,0,1,0
"Bournemouth",0,0,0,0,1,0
"Poland border",0,0,0,0,1,0
"Kaitaia",0,0,0,0,1,0
"Moon.",0,0,0,0,1,0
"Crimea",0,0,0,0,1,0
"Cuba-to- Florida",0,0,0,0,1,0
"Hakupha",0,0,0,0,1,0
"NYC",0,0,0,0,1,0
"Darwin",0,0,0,0,1,0
"#NewYork",0,0,0,0,1,0
"the Hill",0,0,0,0,1,0
"Pukehinau Flats",1,0,0,0,0,0
"Arctic",1,0,0,0,0,0
"ruddington",0,0,0,0,1,0
"JINDO",1,0,0,0,0,0
"Tow Center",0,0,0,0,1,0
"Watford",0,0,0,0,1,0
"Edmonton",0,0,0,0,1,0
"the Mornington Peninsula",0,0,1,0,0,0
"#Melbourne?",0,0,0,0,1,0
"Tiananmen Square",0,0,0,0,1,0
"Middle East",1,0,0,0,0,0
"West VA",1,0,0,0,0,0
"LakeDistrict",1,0,0,0,0,0
"Tal Afar",0,0,0,0,1,0
"#Middelburg",0,0,0,0,1,0
"Mt Cook",0,0,0,0,1,0
"Rozsypne",1,0,0,0,0,0
"#gaza",0,0,0,0,1,0
"Bruckner Interchange",0,0,0,0,1,0
"Tehran",0,0,0,0,1,0
"Loughborough",0,0,0,0,1,0
"Valencia-Sevilla.",0,0,0,0,1,0
"#TVGuideCanada,",0,0,0,0,1,0
"Lebanon",0,0,0,0,1,0
"Snezhnoe",0,0,0,0,1,0
"Moorbrook Lodge",0,0,0,0,1,0
"#FRUK",0,0,0,0,1,0
"TottenhamTories",0,1,0,0,0,0
"WALES",0,0,0,0,1,0
"West Stand",0,0,1,0,0,0
"#Cork,",0,0,0,0,1,0
"Kashmir",1,0,0,0,0,0
"South East London",1,0,0,0,0,0
"Maligne Lake",0,0,0,0,1,0
"Kirkuk",0,0,0,0,1,0
"Cineworld Newport",0,0,0,0,1,0
"Benghazi",0,0,0,0,1,0
"Ride Out",0,0,0,1,0,0
"Adelaide",1,0,0,0,0,0
"N . L .",0,0,0,0,1,0
"Earth LA",0,0,0,0,1,0
"#abudhabi",0,0,0,0,1,0
"Headache central",0,0,0,1,0,0
"olddublintown",0,0,0,0,1,0
"Natanz",0,0,0,0,1,0
"QT",0,0,0,0,1,0
"Dover",0,0,0,0,1,0
"Bogota",0,0,0,0,1,0
"Apple Store",0,0,0,0,1,0
"Love",0,0,0,1,0,0
