Entity,COR,INC,PAR,SPU,MIS,IGN
"859 million Swiss francs",0,0,0,0,0,1
"12 million dollars",0,0,0,0,0,1
"50 billion",0,0,0,0,0,1
"nearly 15 per cent",0,0,0,0,0,1
"132m",0,0,0,0,0,1
"50 mb broadband",0,0,0,0,0,1
"hundreds of dollars",0,0,0,0,0,1
"50 / 50",0,0,0,0,0,1
"550m",0,0,0,0,0,1
"3 billion euros",0,0,0,0,0,1
"FeaR_Rudixy darkestmast3r",0,0,0,0,0,1
"15 billion euros 20",0,0,0,0,0,1
"35m",0,0,0,0,0,1
"59 cents",0,0,0,0,0,1
"25 Free Bet",0,0,0,0,0,1
"200 mln dollar",0,0,0,0,0,1
"97 cents",0,0,0,0,0,1
"one per cent",0,0,0,0,0,1
"five yearsahead",0,0,0,0,0,1
"16 per cent",0,0,0,0,0,1
"400 Million",0,0,0,0,0,1
"55m",0,0,0,0,0,1
"50m",0,0,0,0,0,1
"up to 16 billion",0,0,0,0,0,1
"68 cents",0,0,0,0,0,1
"4 per cent",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,26
