Entity,COR,INC,PAR,SPU,MIS,IGN
"11pm tonight",0,0,0,0,0,1
"night night",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"3 Good morning",0,0,0,0,0,1
"CLGLaois today",0,0,0,0,0,1
"3 04:04 02/01/12",0,0,0,0,0,1
"two hours 20 minutes",0,0,0,0,0,1
"our final night",0,0,0,0,0,1
"hours",0,0,0,0,0,1
"night",0,0,0,0,0,1
"a few minutes",0,0,0,0,0,1
"the night ahead",0,0,0,0,0,1
"more than sat night",0,0,0,0,0,1
"a worthy minute",0,0,0,0,0,1
"some time ago",0,0,0,0,0,1
"Hour",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"ess tonight",0,0,0,0,0,1
"127 Hours",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"6pm",0,0,0,0,0,1
"Earlier today",0,0,0,0,0,1
"last minute",0,0,0,0,0,1
"12 hours",0,0,0,0,0,1
"11:30",0,0,0,0,0,1
"Night",0,0,0,0,0,1
"3 to 8 PM",0,0,0,0,0,1
"11 am",0,0,0,0,0,1
"a decent night",0,0,0,0,0,1
"minutes",0,0,0,0,0,1
"15 PM",0,0,0,0,0,1
"Awesome night",0,0,0,0,0,1
"10:30",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"10 hours",0,0,0,0,0,1
"Good morning",0,0,0,0,0,1
"35 minutes",0,0,0,0,0,1
"PM",0,0,0,0,0,1
"1pm today",0,0,0,0,0,1
"twenty four hour",0,0,0,0,0,1
"3 minute",0,0,0,0,0,1
"Moa PM",0,0,0,0,0,1
"tomorrow night",0,0,0,0,0,1
"the most amazing night",0,0,0,0,0,1
"only 3 hours",0,0,0,0,0,1
"later today",0,0,0,0,0,1
"3 minutes",0,0,0,0,0,1
"tmr morning /",0,0,0,0,0,1
"21 AM RT",0,0,0,0,0,1
"this Night Garden",0,0,0,0,0,1
"4pm",0,0,0,0,0,1
"10 pm EST",0,0,0,0,0,1
"6am this morning",0,0,0,0,0,1
"just over an hour",0,0,0,0,0,1
"later this evening",0,0,0,0,0,1
"Sunny morning",0,0,0,0,0,1
"one twenty minutes ago",0,0,0,0,0,1
"an uncivilised hour",0,0,0,0,0,1
"32 seconds",0,0,0,0,0,1
"Another 3 hour",0,0,0,0,0,1
"Morning",0,0,0,0,0,1
"three hours",0,0,0,0,0,1
"about this morning",0,0,0,0,0,1
"seconds",0,0,0,0,0,1
"the minute",0,0,0,0,0,1
"the whole night",0,0,0,0,0,1
"an uneventful first hour",0,0,0,0,0,1
"Early night",0,0,0,0,0,1
"Gorgeous morning",0,0,0,0,0,1
"last night 's",0,0,0,0,0,1
"Late Night",0,0,0,0,0,1
"Last night",0,0,0,0,0,1
"3pm today",0,0,0,0,0,1
"57 minutes",0,0,0,0,0,1
"a night",0,0,0,0,0,1
"an hour",0,0,0,0,0,1
"last night '",0,0,0,0,0,1
"the night",0,0,0,0,0,1
"20 minutes",0,0,0,0,0,1
"the 91st minute",0,0,0,0,0,1
"just moments ago",0,0,0,0,0,1
"9 o'clock",0,0,0,0,0,1
"30 minutes",0,0,0,0,0,1
"a minute",0,0,0,0,0,1
"15 minutes",0,0,0,0,0,1
"the Amnesty hour",0,0,0,0,0,1
"under 2 minutes",0,0,0,0,0,1
"next 12 hours",0,0,0,0,0,1
"last night",0,0,0,0,0,1
"this afternoon",0,0,0,0,0,1
"a klassik night",0,0,0,0,0,1
"half an hour",0,0,0,0,0,1
"20 seconds",0,0,0,0,0,1
"a mad half hour",0,0,0,0,0,1
"08:30",0,0,0,0,0,1
"late Thursday night",0,0,0,0,0,1
"221 hours",0,0,0,0,0,1
"Friday afternoon",0,0,0,0,0,1
"18 seconds",0,0,0,0,0,1
"11am this morning",0,0,0,0,0,1
"This morning",0,0,0,0,0,1
"nights",0,0,0,0,0,1
"One hour",0,0,0,0,0,1
"evening",0,0,0,0,0,1
"the last hour",0,0,0,0,0,1
"11 12 hours",0,0,0,0,0,1
"all last night",0,0,0,0,0,1
"this night",0,0,0,0,0,1
"the next hour",0,0,0,0,0,1
"A beautiful morning",0,0,0,0,0,1
"this evening",0,0,0,0,0,1
"Last minute",0,0,0,0,0,1
"two hours",0,0,0,0,0,1
"2 more minutes",0,0,0,0,0,1
"5pm ET",0,0,0,0,0,1
"overnight",0,0,0,0,0,1
"13 minutes",0,0,0,0,0,1
"5 tonight",0,0,0,0,0,1
"Only one more hour",0,0,0,0,0,1
"about quarter to nine",0,0,0,0,0,1
"a great night",0,0,0,0,0,1
"3 PM",0,0,0,0,0,1
"one night",0,0,0,0,0,1
"This afternoon",0,0,0,0,0,1
"less than an hour",0,0,0,0,0,1
"5 hours",0,0,0,0,0,1
"every night",0,0,0,0,0,1
"AWESOME Morning",0,0,0,0,0,1
