Entity,COR,INC,PAR,SPU,MIS,IGN
"Spotlight on Award Winners",0,0,0,0,0,1
"rhcFvpxc The Digital Humanities and the Transcending of Mortality",0,0,0,0,0,1
"The War That Changed Us",0,0,0,0,0,1
"Labour MY 2000th",0,0,0,0,0,1
"Hashtags don t create movements",0,0,0,0,0,1
"Measuring March",0,0,0,0,0,1
"ZachWehner : Let me say something that will offend a lot of people before I go to sleep.",0,0,0,0,0,1
"All Fall Down ' http://t",0,0,0,0,0,1
"Love",0,0,0,0,0,1
"MAJORLAZER",0,1,0,0,0,0
"RT BrynEnvironment :",0,0,0,0,0,1
"Kellyrenshaw",0,1,0,0,0,0
"Transformers",0,1,0,0,0,0
"The Gap http://t.",0,0,0,0,0,1
"Cooks Linwood , PA http://t.",0,0,0,0,0,1
"Better Than I Know Myself by adamlambert up loud on headphones",0,0,0,0,0,1
"A Trip To The Moon http://t",0,0,0,0,0,1
"Chris Without the Hat",0,0,0,0,0,1
"_ :",0,0,0,0,0,1
"The Tribez Castlez for iPad http://t.",0,0,0,0,0,1
"Some Kind of Wonderful",0,0,0,0,0,1
"the Label Worx",0,0,0,0,0,1
"The Big Bang Theory 610",0,0,0,0,0,1
"_OfficialAgent",0,0,0,0,0,1
"Bethany Strapless",0,0,0,0,0,1
"The Razzie Awards Move",0,0,0,0,0,1
"Constitutions and Culture Wars ' http://t.",0,0,0,0,0,1
"The Killing",0,0,0,0,0,1
"Cutesy :",0,0,0,0,0,1
"AVEZ OU PAS http://t.",0,0,0,0,0,1
"pAN05oofXE MORE :",0,0,0,0,0,1
"Deep Impact",0,0,0,0,0,1
"Becomes the Talk of the Town http://t",0,0,0,0,0,1
"RT LowestoftVision :",0,0,0,0,0,1
"Tru 5t Ur guT",0,0,0,0,0,1
"Twitter",0,1,0,0,0,0
"Spurs Love Catherine Tate",0,0,0,0,0,1
"' FRIENDSHlP :",0,0,0,0,0,1
"State Championships Round Up Sambafoot :",0,0,0,0,0,1
"DamiF_ :",0,0,0,0,0,1
"Words With Friends",0,0,0,0,0,1
"A Loaded Gun",0,0,0,0,0,1
"Me : http://t.",0,0,0,0,0,1
"Around The Horn",0,0,0,0,0,1
"' On My Way To Harlem '",0,0,0,0,0,1
"Hacks",0,0,0,0,0,1
"aDVcuGeI Manchester 4",0,0,0,0,0,1
"AircrewBuzz",0,1,0,0,0,0
"The Hunger Games :",0,0,0,0,0,1
"Collateral Damage : Sex Workers",0,0,0,0,0,1
"Watch Live :",0,0,0,0,0,1
""" NAAH BRO YOU GOOD "" http://t.",0,0,0,0,0,1
"RT HorrorPlaces :",0,0,0,0,0,1
"Huh How does one",0,0,0,0,0,1
"' DrPeterThraft : Gay men.",0,0,0,0,0,1
"A Sky Full Of Stars",0,0,0,0,0,1
"The Last Game",0,0,0,0,0,1
"All Night",0,0,0,0,0,1
"Metro Vancouver Crime Stoppers received",0,0,0,0,0,1
"Idk I 'm seepin",0,0,0,0,0,1
"Annas Angels",0,0,0,0,0,1
"Single",0,0,0,0,0,1
"RECPress",0,1,0,0,0,0
"Someones Bio",0,0,0,0,0,1
"RT ManishPaul03 :",0,0,0,0,0,1
"YouTube",0,1,0,0,0,0
"' Set up is a class film in case you did n't realise GhettoHikes",0,0,0,0,0,1
"C Rising , W :",0,0,0,0,0,1
"Blog Spotlight ffc Senderos targets Cup",0,0,0,0,0,1
"XD Oopsy",0,0,0,0,0,1
"SHUT THE FUCK",0,0,0,0,0,1
"Top of the Lake",0,0,0,0,0,1
"Returning to Kobane :",0,0,0,0,0,1
"Chelsea Flower Show",0,1,0,0,0,0
"SimoLove LIVE NOW on APAC_ch648",0,0,0,0,0,1
"CNNTownHall Watch live Clinton",0,0,0,0,0,1
"Gove",0,1,0,0,0,0
"Frhysmn_ :",0,0,0,0,0,1
"A Night With The Stars",0,0,0,0,0,1
"Strelkov",0,1,0,0,0,0
"Celebrating The Black Banner by",0,0,0,0,0,1
"Multiply",0,0,0,0,0,1
"RT AustinMahone",0,0,0,0,0,1
"The mighty Yello",0,0,0,0,0,1
"CahillBrazil Do n't remember any of this in the "" Real Solutions",0,0,0,0,0,1
"The Wind",0,0,0,0,0,1
"In Extremists Iraq Rise , America s Legacy",0,0,0,0,0,1
"Victims Mostly Civilian",0,0,0,0,0,1
"wIZAiA7PH0 Tory",0,0,0,0,0,1
"Making my Oscar",0,0,0,0,0,1
"Walsall : A Special Needs",0,0,0,0,0,1
"Opening Queens Hospital http://t",0,0,0,0,0,1
"l25XYm0EgS Search",0,0,0,0,0,1
"MoscowTimes EvaHartog Russian",0,0,0,0,0,1
"IM ALL FOR THAT",0,0,0,0,0,1
""" Tanning of America "" on",0,0,0,0,0,1
"Mick Jagger",0,1,0,0,0,0
"Running With The Boys",0,0,0,0,0,1
"Star Wars :",0,0,0,0,0,1
"Bye Bye Chubby",0,0,0,0,0,1
"FUNNYPICS : True Story",0,0,0,0,0,1
"Black Velvet Bag",0,0,0,0,0,1
"Waiting in the cold on your own is the worst ever heard about kanyewest following somebody and them getting 3000 followers instantly , pretty cool tbh. . .",0,0,0,0,0,1
"Ballyhea14",0,1,0,0,0,0
