Entity,COR,INC,PAR,SPU,MIS,IGN
"april. Celeb",0,0,0,0,0,1
"Winter Classic",0,0,0,0,0,1
"RT DavidRoads",0,0,0,0,0,1
"Wogan",0,0,0,0,0,1
"Palestinian",0,1,0,0,0,0
"Celestine Lake : Weekly Hump Day Photo",0,0,0,0,0,1
"Obava",0,1,0,0,0,0
"Instagram http:t.",0,0,0,0,0,1
"Dating. Create your Free Username Now",0,0,0,0,0,1
"International Space Station http:t. cos5Fwu7h6DX Salmonella",0,0,0,0,0,1
"BBCNews",0,1,0,0,0,0
"Israele",0,0,0,0,0,1
"ROC RocYPs RocMedia RocsSweetheart BrendaStar Man",0,0,0,0,0,1
"puppies. Open",0,0,0,0,0,1
"Jim Day",0,1,0,0,0,0
"Cormannator",0,0,0,0,0,1
"Moroccan",0,0,0,0,0,1
"World Field Lax game. Currently",0,0,0,0,0,1
"Java Developer Eclipse SQL",0,0,0,0,0,1
"ICYMI Clerical",0,0,0,0,0,1
"RT Oloni",0,0,0,0,0,1
"America.",0,0,0,0,0,1
"Transcontinental",0,1,0,0,0,0
"Otps",0,0,0,0,0,1
"FMIFOfficial GUETTAPACHA http:t. coTfw6eXMHFm Hello",0,0,0,0,0,1
"Palestine",0,1,0,0,0,0
"SimplePlan",0,0,0,0,0,1
"Air ' Sonic Armada",0,0,0,0,0,1
"Reece_RT IPhilGood_",0,0,0,0,0,1
"French",0,1,0,0,0,0
"Landslide",0,0,0,0,0,1
"MABF tonymemmel MaladoMusic RT",0,0,0,0,0,1
"DMDK TarekFatah gedoei dwimidhaM",0,0,0,0,0,1
"Australian",0,1,0,0,0,0
"Oli kultvnutri HOLLY MACLKERELLLLL CHILDRENNNN Took",0,0,0,0,0,1
"Beastie",0,0,0,0,0,1
"GreeterDan SpaceX Dan",0,0,0,0,0,1
"Australian Copyright Council",0,1,0,0,0,0
"Dow Jones Industrial Average",0,0,0,0,0,1
"Album Details",0,0,0,0,0,1
"RTERadio1 RTEdoconone KieranShannon7 MalachyClerkin FachtnaK EwanMacKenna Fungi",0,0,0,0,0,1
"Arctic",0,1,0,0,0,0
"Austrian",0,0,0,0,0,1
"Ashutosh",0,1,0,0,0,0
"Tweet AlwaysInMyHead Magic Ink TrueLove Midnight AnothersArms Oceans ASFOS",0,0,0,0,0,1
"Iraqi",0,1,0,0,0,0
"My League Fitz",0,0,0,0,0,1
"NPR today.",0,0,0,0,0,1
"Reuben",0,0,0,0,0,1
"BBCNorthampton",0,1,0,0,0,0
"MoscowTimes EvaHartog Russian",0,0,0,0,0,1
"Fame Album Buzzin",0,0,0,0,0,1
"Weeknd",0,0,0,0,0,1
"Magnetic Designer Box",0,0,0,0,0,1
"http:t. coW6Ja65soCL Missile",0,0,0,0,0,1
"RT Ludacris",0,0,0,0,0,1
"European",0,1,0,0,0,0
"NASW Board Candidates",0,0,0,0,0,1
"Mathematician",0,0,0,0,0,1
"Inspector Norse",0,0,0,0,0,1
"Hatian",0,0,0,0,0,1
"Culture Wars",0,0,0,0,0,1
"Happy Australia Day",0,0,0,0,0,1
"NTThunderFC",0,1,0,0,0,0
"American Dad. IReallyLike Girls",0,0,0,0,0,1
"RT Cool_Tweetsss",0,0,0,0,0,1
"Americans",0,1,0,0,0,0
"time. Fairy Godmother Cinderella",0,0,0,0,0,1
"Victorian",0,1,0,0,0,0
"Iranian",0,1,0,0,0,0
"Independent_ie Why",0,0,0,0,0,1
"Mila Kunis. No joke. Matchoftheday",0,0,0,0,0,1
"Smallville Clois Foto",0,0,0,0,0,1
"Carbon Tax Repeal",0,0,0,0,0,1
