Entity,COR,INC,PAR,SPU,MIS,IGN
"All Ireland SFC Qualifier Round 1",0,0,0,0,0,1
"the CMA 2014 Conference AGM",0,0,0,0,0,1
"hen party Festival",0,0,0,0,0,1
"Hours Days Weeks",0,0,0,0,0,1
"Olympic Athlete 's Parade",0,0,0,0,0,1
"WWII",0,0,0,0,0,1
"HeartRadio Music Festival",0,0,0,0,0,1
"the Champions League",0,0,0,0,0,1
"the Housing Bill 2014",0,0,0,0,0,1
"FA Cup weekend",0,0,0,0,0,1
"Economic Diplomacy",0,0,0,0,0,1
"Leamington food festival",0,0,0,0,0,1
"World Press Freedom Day 2014",0,0,0,0,0,1
"BC Crimes Stoppers month",0,0,0,0,0,1
"TIFF14",0,0,0,0,0,1
"Hurricane Gonzalo",0,0,0,0,0,1
"World Field Lax",0,1,0,0,0,0
"New Year Victory",0,0,0,0,0,1
"the Arndale fish market Festival",0,0,0,0,0,1
"the Parenting Revolution",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"New Day",0,0,0,0,0,1
"MH17",0,0,0,0,0,1
"MKO",0,0,0,0,0,1
"Olympics",0,0,0,0,0,1
"IrishOpen2014",0,0,0,0,0,1
"the Super Bowl SuperBash",0,0,0,0,0,1
"the Dutch War of Independence",0,0,0,0,0,1
"CES 2012 SMEcommunity",0,0,0,0,0,1
"Games Tax Relief",0,0,0,0,0,1
"the LASA National Congress",0,0,0,0,0,1
"the 2022 World Cup",0,0,0,0,0,1
"Race Week 2014",0,0,0,0,0,1
"the 2012 Premier League",0,0,0,0,0,1
"Equh7L WorldCup",0,0,0,0,0,1
"Aids2014",0,0,0,0,0,1
"Happy Australia Day",0,0,0,0,0,1
"The Champions ' JuveX3",0,0,0,0,0,1
"Wimbledon quarter",0,0,0,0,0,1
"D Day",0,0,0,0,0,1
"KUWTK",0,0,0,0,0,1
"Eurovision",0,1,0,0,0,0
"World War",0,0,0,0,0,1
"State Championships Round Up Sambafoot",0,0,0,0,0,1
"WWI",0,0,0,0,0,1
"Samui Bike Week",0,0,0,0,0,1
"The Hunger Games",0,0,0,0,0,1
"Magnitude 6 earthquake",0,0,0,0,0,1
"WorldCup",0,0,0,0,0,1
"9 / 11",0,0,0,0,0,1
"Hot9at9",0,0,0,0,0,1
"FA Cup",0,1,0,0,0,0
"the World Cup",0,0,0,0,0,1
"the African Leaders Summit",0,0,0,0,0,1
"LIVE WorldCup",0,0,0,0,0,1
"World Cup 2022",0,0,0,0,0,1
"the KimKardashianGame",0,0,0,0,0,1
"International Film Season 2012",0,0,0,0,0,1
"Boston Marathon",0,0,0,0,0,1
"the 2013 Grand Final",0,0,0,0,0,1
"Youth Action Week",0,0,0,0,0,1
"Rugby",0,0,0,0,0,1
"WorldCup Final time ARG",0,0,0,0,0,1
"Menstrual Hygiene Day",0,0,0,0,0,1
"FA Cup SkyNewsBreak",0,0,0,0,0,1
"the Battle of Haarlemmermeer",0,0,0,0,0,1
"the U. S. Africa Leaders Summit",0,0,0,0,0,1
"World War 1",0,0,0,0,0,1
"Sunshine Week",0,0,0,0,0,1
"the WorldCup",0,0,0,0,0,1
"the 2014 Eurovision Song Contest",0,0,0,0,0,1
"The Freedom Festival",0,0,0,0,0,1
"FOIAFriday",0,0,0,0,0,1
"FIFA World Cup",0,0,0,0,0,1
"New Year 2012",0,0,0,0,0,1
"the MH17 crash",0,0,0,0,0,1
"the Special Olympics",0,0,0,0,0,1
"Grand Prix",0,0,0,0,0,1
"ImHeLldm Happy New Year",0,0,0,0,0,1
"a New Year 's",0,0,0,0,0,1
"Consumer Electronics Show 2012",0,0,0,0,0,1
"Xmas",0,0,0,0,0,1
"Australian Open 2012",0,0,0,0,0,1
"Pan Celtic Festival",0,0,0,0,0,1
"Tournament",0,0,0,0,0,1
"the Hawkesbury International Sand Sculpture Competition",0,0,0,0,0,1
"Olympic",0,1,0,0,0,0
"Wimbledon",0,1,0,0,0,0
"Canada Day",0,0,0,0,0,1
"World Cup",0,1,0,0,0,0
"TeamSoljitsu US elections 2012",0,0,0,0,0,1
"Independence Day",0,0,0,0,0,1
"the First World War",0,0,0,0,0,1
"WorldCup Belgium",0,0,0,0,0,1
"EveningStandard",0,1,0,0,0,0
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,7,0,0,0,89
