Entity,COR,INC,PAR,SPU,MIS,IGN
"africa Koreans",0,0,0,0,0,1
"South Indians",0,1,0,0,0,0
"Iraqis",0,0,0,0,0,1
"Gypsy",0,0,0,0,0,1
"West Aussies",0,1,0,0,0,0
"Islamic",0,0,0,0,0,1
"Kurdish",0,0,0,0,0,1
"Aboriginal",0,0,0,0,0,1
"Bulgarian",0,0,0,0,0,1
"Rotherham",0,1,0,0,0,0
"Malaysian",0,1,0,0,0,0
"Brazilians",0,0,0,0,0,1
"Palestinian",0,1,0,0,0,0
"Jews",0,0,0,0,0,1
"Catalans",0,1,0,0,0,0
"Winnipeg",0,1,0,0,0,0
"Trojan",0,0,0,0,0,1
"Marxists",0,0,0,0,0,1
"Tottenham Tories",0,1,0,0,0,0
"Cormannator",0,0,0,0,0,1
"Rouleurs",0,0,0,0,0,1
"Moroccan",0,0,0,0,0,1
"Espanyol",0,1,0,0,0,0
"Cape Breton",0,1,0,0,0,0
"Anglo Saxon",0,0,0,0,0,1
"Tweeps",0,0,0,0,0,1
"Australians",0,1,0,0,0,0
"Filipino",0,0,0,0,0,1
"Republicans",0,1,0,0,0,0
"French",0,1,0,0,0,0
"Tory",0,1,0,0,0,0
"Canadian",0,1,0,0,0,0
"Thai",0,1,0,0,0,0
"Indian",0,0,0,0,0,1
"Australian",0,1,0,0,0,0
"Buddhist",0,0,0,0,0,1
"JoeyEssex",0,0,0,0,0,1
"DvDDYaF9e7",0,0,0,0,0,1
"Saudi",0,1,0,0,0,0
"African",0,1,0,0,0,0
"German",0,1,0,0,0,0
"Jamaicans",0,0,0,0,0,1
"Austrian",0,0,0,0,0,1
"Latino",0,0,0,0,0,1
"Iraqi",0,1,0,0,0,0
"Icelandic",0,1,0,0,0,0
"Western",0,0,0,0,0,1
"Hawaiian",0,0,0,0,0,1
"Semitic Jew",0,0,0,0,0,1
"Sikh",0,0,0,0,0,1
"European",0,1,0,0,0,0
"Hatian",0,0,0,0,0,1
"South Korean",0,1,0,0,0,0
"Lib Dems",0,1,0,0,0,0
"South African",0,1,0,0,0,0
"Giants",0,1,0,0,0,0
"Pakistanis",0,0,0,0,0,1
"Bakbuk",0,1,0,0,0,0
"Skinflints",0,0,0,0,0,1
"Brazilian",0,1,0,0,0,0
"Turkish",0,1,0,0,0,0
"Amish",0,0,0,0,0,1
"Athletes",0,1,0,0,0,0
"British",0,1,0,0,0,0
"Americans",0,1,0,0,0,0
"Iranian",0,1,0,0,0,0
"Greek",0,1,0,0,0,0
"Tasmanians",0,1,0,0,0,0
"NewYork",0,0,0,0,0,1
"Hakupha",0,1,0,0,0,0
"Bianconeri",0,1,0,0,0,0
"Native Americans",0,0,0,0,0,1
"Democratic",0,0,0,0,0,1
"Ugandan",0,0,0,0,0,1
"Aussies",0,0,0,0,0,1
"Syrian",0,1,0,0,0,0
"Korean",0,0,0,0,0,1
"PhilipAndelman",0,1,0,0,0,0
"Canadians",0,0,0,0,0,1
"Malaysians",0,0,0,0,0,1
"HKomH19",0,0,0,0,0,1
"Germans",0,1,0,0,0,0
"Chinese",0,1,0,0,0,0
"Euro",0,0,0,0,0,1
"Muslim",0,0,0,0,0,1
"Celtic",0,0,0,0,0,1
"Conservative",0,1,0,0,0,0
"Libyan",0,1,0,0,0,0
"Neanderthals",0,0,0,0,0,1
"Dem",0,0,0,0,0,1
"Albertans",0,1,0,0,0,0
"New Zealanders",0,0,0,0,0,1
"Persian",0,0,0,0,0,1
"Greens",0,1,0,0,0,0
"Kenyan",0,0,0,0,0,1
"Roman Catholic",0,0,0,0,0,1
"Islamist",0,0,0,0,0,1
"Belgians",0,0,0,0,0,1
"Mzx Muslim",0,0,0,0,0,1
"Procastan",0,0,0,0,0,1
"Mexican",0,1,0,0,0,0
"Kenyans",0,1,0,0,0,0
"Finnish",0,0,0,0,0,1
"Philippine",0,1,0,0,0,0
"Yazidi",0,1,0,0,0,0
"Ahhhhhhh",0,0,0,0,0,1
"Progressive Conservatives",0,1,0,0,0,0
"Jewish",0,0,0,0,0,1
"Scottish",0,1,0,0,0,0
"Catholic",0,0,0,0,0,1
"Pakistani",0,0,0,0,0,1
"Indonesians",0,0,0,0,0,1
"Balkan",0,1,0,0,0,0
"Japanese",0,0,0,0,0,1
"Palestinians",0,0,0,0,0,1
"Pro Russian",0,0,0,0,0,1
"Tories",0,1,0,0,0,0
"Sheepish",0,0,0,0,0,1
"Filipinos",0,0,0,0,0,1
"Irish",0,1,0,0,0,0
"BellamysAfrican",0,0,0,0,0,1
"Ukrainian",0,1,0,0,0,0
"Reds",0,1,0,0,0,0
"Socialist",0,0,0,0,0,1
"Christian",0,1,0,0,0,0
"ArjunArtist",0,1,0,0,0,0
"Loyalist",0,0,0,0,0,1
"Uyghur",0,0,0,0,0,1
"Muslims",0,0,0,0,0,1
"England Saxons",0,1,0,0,0,0
"Israeli",0,1,0,0,0,0
"Briton",0,1,0,0,0,0
"TeamFederer",0,0,0,0,0,1
"Pilgrims",0,0,0,0,0,1
"Eastenders",0,0,0,0,0,1
"Sunni",0,1,0,0,0,0
"Russian",0,1,0,0,0,0
"Welsh",0,1,0,0,0,0
"Afghan",0,1,0,0,0,0
"American",0,1,0,0,0,0
"Pentecostal",0,0,0,0,0,1
"Conservatives",0,1,0,0,0,0
"Egyptian",0,1,0,0,0,0
"Northerners",0,0,0,0,0,1
"Nigerian",0,0,0,0,0,1
"Hawaiin",0,0,0,0,0,1
"Londoners",0,0,0,0,0,1
"Liberal",0,1,0,0,0,0
"African American",0,0,0,0,0,1
"Sheffields",0,0,0,0,0,1
"Zambian",0,0,0,0,0,1
"Terio",0,1,0,0,0,0
"South Australian",0,1,0,0,0,0
"Shia",0,0,0,0,0,1
"Postmen",0,0,0,0,0,1
"Liberals",0,1,0,0,0,0
"Tasmanian",0,1,0,0,0,0
"Spanish",0,1,0,0,0,0
"Polish",0,0,0,0,0,1
"Dutch",0,0,0,0,0,1
"Democrats",0,0,0,0,0,1
"North Korean",0,1,0,0,0,0
"Indonesian",0,1,0,0,0,0
"Aussie",0,1,0,0,0,0
*TOTAL*,0,78,0,0,0,86
