Entity,COR,INC,PAR,SPU,MIS,IGN
"9 / 8 C",0,0,0,0,0,1
"this AM",0,0,0,0,0,1
"30 pm tomorrow",0,0,0,0,0,1
"6am",0,0,0,0,0,1
"morning",0,0,0,0,0,1
"half 7 in the morning",0,0,0,0,0,1
"8pm",0,0,0,0,0,1
"7 Nights",0,0,0,0,0,1
"10pm",0,0,0,0,0,1
"night",0,0,0,0,0,1
"a few minutes",0,0,0,0,0,1
"6 : 00am",0,0,0,0,0,1
"5pm PST",0,0,0,0,0,1
"4mins",0,0,0,0,0,1
"a worthy minute",0,0,0,0,0,1
"this morning",0,0,0,0,0,1
"127 Hours",0,0,0,0,0,1
"7 idk",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"6pm",0,0,0,0,0,1
"Earlier today",0,0,0,0,0,1
"4 :3 37 pm",0,0,0,0,0,1
"15 PM ET",0,0,0,0,0,1
"8. 30pm",0,0,0,0,0,1
"12 hours",0,0,0,0,0,1
"11:30",0,0,0,0,0,1
"11pm",0,0,0,0,0,1
"9. 28",0,0,0,0,0,1
"Tuesday night",0,0,0,0,0,1
"11 am",0,0,0,0,0,1
"3pm",0,0,0,0,0,1
"minutes",0,0,0,0,0,1
"20 mins",0,0,0,0,0,1
"8 mins",0,0,0,0,0,1
"10:30",0,0,0,0,0,1
"24 hours",0,0,0,0,0,1
"10 hours",0,0,0,0,0,1
"5pm Irish",0,0,0,0,0,1
"4pm AEST",0,0,0,0,0,1
"the last 20 mins",0,0,0,0,0,1
"Good morning",0,0,0,0,0,1
"35 minutes",0,0,0,0,0,1
"Good morning happy Friday",0,0,0,0,0,1
"twenty four hour",0,0,0,0,0,1
"3 minute",0,0,0,0,0,1
"18 : 42",0,0,0,0,0,1
"10 mins",0,0,0,0,0,1
"the most amazing night",0,0,0,0,0,1
"only 3 hours",0,0,0,0,0,1
"10 earlynight",0,0,0,0,0,1
"afternoon and night",0,0,0,0,0,1
"earlier this morning",0,0,0,0,0,1
"later today",0,0,0,0,0,1
"3 minutes",0,0,0,0,0,1
"One final night",0,0,0,0,0,1
"one more hour",0,0,0,0,0,1
"20 minutes , second",0,0,0,0,0,1
"3 nights",0,0,0,0,0,1
"11 4pm",0,0,0,0,0,1
"twelve hour",0,0,0,0,0,1
"4pm",0,0,0,0,0,1
"10 pm EST",0,0,0,0,0,1
"24 Hour",0,0,0,0,0,1
"97c / min",0,0,0,0,0,1
"6am this morning",0,0,0,0,0,1
"just over an hour",0,0,0,0,0,1
"later this evening",0,0,0,0,0,1
"3 tonight",0,0,0,0,0,1
"one twenty minutes ago",0,0,0,0,0,1
"an uncivilised hour",0,0,0,0,0,1
"45 min",0,0,0,0,0,1
"32 seconds",0,0,0,0,0,1
"15pm Love",0,0,0,0,0,1
"30mins",0,0,0,0,0,1
"TONIGHT",0,0,0,0,0,1
"three hours",0,0,0,0,0,1
"ZIIWswiV few hours",0,0,0,0,0,1
"07:01",0,0,0,0,0,1
"05 AM ET",0,0,0,0,0,1
"seconds",0,0,0,0,0,1
"the minute",0,0,0,0,0,1
"a moment",0,0,0,0,0,1
"Early night",0,0,0,0,0,1
"21 AM",0,0,0,0,0,1
"Thursday night",0,0,0,0,0,1
"last night 's",0,0,0,0,0,1
"Last night",0,0,0,0,0,1
"00pm",0,0,0,0,0,1
"7 pm.",0,0,0,0,0,1
"Saturday night",0,0,0,0,0,1
"57 minutes",0,0,0,0,0,1
"an hour",0,0,0,0,0,1
"the 89th minute",0,0,0,0,0,1
"1057darwin",0,0,0,0,0,1
"5pm",0,0,0,0,0,1
"22 okay",0,0,0,0,0,1
"6 :3 38",0,0,0,0,0,1
"Monday morning",0,0,0,0,0,1
"20 minutes",0,0,0,0,0,1
"9 o'clock GMT",0,0,0,0,0,1
"the 91st minute",0,0,0,0,0,1
"just moments ago",0,0,0,0,0,1
"further 24 hours",0,0,0,0,0,1
"30 minutes",0,0,0,0,0,1
"a minute",0,0,0,0,0,1
"10 pm",0,0,0,0,0,1
"6 :3 30",0,0,0,0,0,1
"the best two hours",0,0,0,0,0,1
"15 minutes",0,0,0,0,0,1
"the Amnesty hour",0,0,0,0,0,1
"12 :3",0,0,0,0,0,1
"under 2 minutes",0,0,0,0,0,1
"next 12 hours",0,0,0,0,0,1
"last night",0,0,0,0,0,1
"this afternoon",0,0,0,0,0,1
"1pm",0,0,0,0,0,1
"around 13 : 21 UTC",0,0,0,0,0,1
"half an hour",0,0,0,0,0,1
"5am",0,0,0,0,0,1
"20 seconds",0,0,0,0,0,1
"08:30",0,0,0,0,0,1
"6 : 10pm",0,0,0,0,0,1
"late Thursday night",0,0,0,0,0,1
"18 seconds",0,0,0,0,0,1
"earlier today",0,0,0,0,0,1
"11am this morning",0,0,0,0,0,1
"This morning",0,0,0,0,0,1
"30 p. m. ET",0,0,0,0,0,1
"last nights",0,0,0,0,0,1
"One hour",0,0,0,0,0,1
"06 :3 30",0,0,0,0,0,1
"5 :3 30 8 :3 30 pm",0,0,0,0,0,1
"6am 3pm",0,0,0,0,0,1
"1am midnight",0,0,0,0,0,1
"evening",0,0,0,0,0,1
"the last hour",0,0,0,0,0,1
"11 12 hours",0,0,0,0,0,1
"60mins",0,0,0,0,0,1
"5 SOS",0,1,0,0,0,0
"15 p. m. ET",0,0,0,0,0,1
"3 hour",0,0,0,0,0,1
"8am",0,0,0,0,0,1
"the next hour",0,0,0,0,0,1
"12:56",0,0,0,0,0,1
"this evening",0,0,0,0,0,1
"Last minute",0,0,0,0,0,1
"two hours",0,0,0,0,0,1
"2 more minutes",0,0,0,0,0,1
"9pm AEDT",0,0,0,0,0,1
"5pm ET",0,0,0,0,0,1
"overnight",0,0,0,0,0,1
"13 minutes",0,0,0,0,0,1
"10 am ET",0,0,0,0,0,1
"5 tonight",0,0,0,0,0,1
"about quarter to nine",0,0,0,0,0,1
"1night1",0,0,0,0,0,1
"3 PM",0,0,0,0,0,1
"one night",0,0,0,0,0,1
"28am HW",0,0,0,0,0,1
"This afternoon",0,0,0,0,0,1
"less than an hour",0,0,0,0,0,1
"Just over 2hours",0,0,0,0,0,1
"2 minutes",0,0,0,0,0,1
"5 hours",0,0,0,0,0,1
"the past hour",0,0,0,0,0,1
"34 pm",0,0,0,0,0,1
"the past 85265971236 hours",0,0,0,0,0,1
"3 p. m.",0,0,0,0,0,1
"7 :3 30 8 :3",0,0,0,0,0,1
"12 : 01",0,0,0,0,0,1
"TONIGHT 8pm",0,0,0,0,0,1
"07 :3 38 PM",0,0,0,0,0,1
"11 hrs",0,0,0,0,0,1
"15 mins ago",0,0,0,0,0,1
"tonight",0,0,0,0,0,1
"three hour",0,0,0,0,0,1
"84 PM Abbott",0,0,0,0,0,1
"the morning",0,0,0,0,0,1
"10 this morning",0,0,0,0,0,1
"midnight",0,0,0,0,0,1
"afternoon",0,0,0,0,0,1
"a few hours",0,0,0,0,0,1
"1 : 45pm",0,0,0,0,0,1
"5 MINUTES",0,0,0,0,0,1
"Spent hours",0,0,0,0,0,1
"5 :3 30",0,0,0,0,0,1
"Tonight 's preview KUWTK",0,0,0,0,0,1
"3 pm ET",0,0,0,0,0,1
"8 / 7c",0,0,0,0,0,1
"9pm",0,0,0,0,0,1
"8 PM",0,0,0,0,0,1
"about 4 hours",0,0,0,0,0,1
"5 :3 30 pm",0,0,0,0,0,1
"7 :3 30",0,0,0,0,0,1
"25minutes",0,0,0,0,0,1
"the first hour",0,0,0,0,0,1
"2 hours",0,0,0,0,0,1
"Tonight",0,0,0,0,0,1
"2 hrs",0,0,0,0,0,1
"6 hours",0,0,0,0,0,1
"tomorrow morning",0,0,0,0,0,1
"45 minute",0,0,0,0,0,1
"25 hours",0,0,0,0,0,1
"11am",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,203
