Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"CONLL2003","gs18","deeppavlov_onto_model","PERSON","tnnt:Person",2579,1646,1340.50,2624,0.510861,0.779769,0.497674,0.607574,0.700371,0.536491,0.379217,0.027339,0.801686
"CONLL2003","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person",2079,1616,885.00,2150,0.411628,0.782797,0.608466,0.684709,0.740372,0.636830,0.256854,0.043936,0.818770
"CONLL2003","ss4","deeppavlov_conll2003_bert_model","ORG","tnnt:Organisation",1435,1326,610.50,1560,0.391346,0.716063,0.661672,0.687794,0.704481,0.671879,0.163066,0.094268,0.790591
"CONLL2003","ss4","deeppavlov_conll2003_model","PER","tnnt:Person",2726,2160,1049.00,2793,0.375582,0.807407,0.639765,0.713876,0.767200,0.667483,0.232208,0.031019,0.833254
"CONLL2003","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person",2445,2030,866.00,2504,0.345847,0.806897,0.669939,0.732067,0.775201,0.693480,0.193865,0.029064,0.831050
"CONLL2003","gs18","deeppavlov_onto_bert_model","ORG","tnnt:Organisation",1241,843,790.50,1326,0.596154,0.635231,0.431507,0.513916,0.580425,0.461081,0.389202,0.100830,0.706464
"CONLL2003","gs18","deeppavlov_onto_model","WORK_OF_ART","tnnt:WorkOfArt",38,38,38.00,38,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","deeppavlov_onto_bert_model","CARDINAL","tnnt:Cardinal",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"CONLL2003","gs18","deeppavlov_onto_model","ORG","tnnt:Organisation",1439,1053,1108.00,1641,0.675198,0.506173,0.370396,0.427769,0.471598,0.391394,0.408617,0.191833,0.626322
"CONLL2003","gs18","deeppavlov_onto_bert_model","NORP","tnnt:NORP",502,243,317.00,510,0.621569,0.794239,0.384462,0.518121,0.654681,0.428698,0.531873,0.032922,0.821277
"CONLL2003","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation",1730,1601,840.50,1916,0.438674,0.671768,0.621676,0.645752,0.661114,0.631088,0.182081,0.116177,0.760071
"CONLL2003","ss4","deeppavlov_conll2003_model","MISC","tnnt:NPLLE",914,586,649.00,1024,0.633789,0.639932,0.410284,0.500000,0.575506,0.442008,0.479212,0.187713,0.787815
"CONLL2003","ss4","deeppavlov_conll2003_bert_model","LOC","tnnt:FGL",906,831,264.00,930,0.283871,0.801444,0.735099,0.766839,0.787234,0.747475,0.109272,0.028881,0.825279
"CONLL2003","gs18","deeppavlov_onto_bert_model","GPE","tnnt:GPE",535,535,535.00,535,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
