Entity,COR,INC,PAR,SPU,MIS,IGN
"hundreds of thousands",0,0,0,0,0,1
"34",0,0,0,0,0,1
"72",0,0,0,0,0,1
"08 2",0,0,0,0,0,1
"5 10",0,0,0,0,0,1
"185",0,0,0,0,0,1
"387",0,0,0,0,0,1
"95 6",0,0,0,0,0,1
"More than 960",0,0,0,0,0,1
"70,000",0,0,0,0,0,1
"651",0,0,0,0,0,1
"16",0,0,0,0,0,1
"156",0,0,0,0,0,1
"386 389",0,0,0,0,0,1
"38",0,0,0,0,0,1
"289",0,0,0,0,0,1
"69,100",0,0,0,0,0,1
"only one",0,0,0,0,0,1
"15",0,0,0,0,0,1
"115",0,0,0,0,0,1
"834 9",0,0,0,0,0,1
"629",0,0,0,0,0,1
"5 / 143",0,0,0,0,0,1
"1,967",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"an estimated 150,000 this year",0,0,0,0,0,1
"6 3",0,0,0,0,0,1
"182nd",0,0,0,0,0,1
"16 Manitoba",0,0,0,0,0,1
"321 million",0,0,0,0,0,1
"32",0,0,0,0,0,1
"80 3",0,0,0,0,0,1
"3,885",0,0,0,0,0,1
"6",0,0,0,0,0,1
"20 6",0,0,0,0,0,1
"97 5",0,0,0,0,0,1
"About 112",0,0,0,0,0,1
"90 / 53",0,0,0,0,0,1
"75 4",0,0,0,0,0,1
"3",0,0,0,0,0,1
"1 million",0,0,0,0,0,1
"between 21 . 625 and 22",0,0,0,0,0,1
"204",0,0,0,0,0,1
"Two",0,0,0,0,0,1
"Three Russian",0,0,0,0,0,1
"20",0,0,0,0,0,1
"5,778",0,0,0,0,0,1
"4 / second",0,0,0,0,0,1
"42 2",0,0,0,0,0,1
"22 6",0,0,0,0,0,1
"4,666 3,944",0,0,0,0,0,1
"more than 2 billion",0,0,0,0,0,1
"53 11",0,0,0,0,0,1
"Seventy seven",0,0,0,0,0,1
"3,333",0,0,0,0,0,1
"1 . 52 1",0,0,0,0,0,1
"125",0,0,0,0,0,1
"42",0,0,0,0,0,1
"30/32",0,0,0,0,0,1
"one",0,0,0,0,0,1
"91 26",0,0,0,0,0,1
"2 3",0,0,0,0,0,1
"0 . 04",0,0,0,0,0,1
"17",0,0,0,0,0,1
"67",0,0,0,0,0,1
"97 4",0,0,0,0,0,1
"145",0,0,0,0,0,1
"51 10",0,0,0,0,0,1
"03",0,0,0,0,0,1
"55 5",0,0,0,0,0,1
"two 20",0,0,0,0,0,1
"561 million",0,0,0,0,0,1
"80",0,0,0,0,0,1
"4 126 / 130",0,0,0,0,0,1
"41 4",0,0,0,0,0,1
"958",0,0,0,0,0,1
"48",0,0,0,0,0,1
"395",0,0,0,0,0,1
"43 70",0,0,0,0,0,1
"36 4",0,0,0,0,0,1
"two each week May August",0,0,0,0,0,1
"3,550",0,0,0,0,0,1
"300 11",0,0,0,0,0,1
"92 5",0,0,0,0,0,1
"15 5",0,0,0,0,0,1
"76 / 53",0,0,0,0,0,1
"132,000 6,000 336,000 Saturday 12/07/96 est 38,000 0 18,000 Week to date",0,0,0,0,0,1
"487",0,0,0,0,0,1
"01 3",0,0,0,0,0,1
"94 52",0,0,0,0,0,1
"18",0,0,0,0,0,1
"10",0,0,0,0,0,1
"870",0,0,0,0,0,1
"55 639",0,0,0,0,0,1
"6 4 6 3 Amanda Coetzer South Africa",0,0,0,0,0,1
"784,000",0,0,0,0,0,1
"55",0,0,0,0,0,1
"855",0,0,0,0,0,1
"972 4",0,0,0,0,0,1
"95",0,0,0,0,0,1
"5647",0,0,0,0,0,1
"1 5",0,0,0,0,0,1
"5",0,0,0,0,0,1
"6 / 110",0,0,0,0,0,1
"1,071",0,0,0,0,0,1
"186",0,0,0,0,0,1
"14,000",0,0,0,0,0,1
"123",0,0,0,0,0,1
"65 8",0,0,0,0,0,1
"830 4",0,0,0,0,0,1
"Five",0,0,0,0,0,1
"63 12",0,0,0,0,0,1
"212 859 1610",0,0,0,0,0,1
"107 11/32",0,0,0,0,0,1
"5,647",0,0,0,0,0,1
"26 6",0,0,0,0,0,1
"74 8",0,0,0,0,0,1
"180,000",0,0,0,0,0,1
"130 121",0,0,0,0,0,1
"7",0,0,0,0,0,1
"about 25 million",0,0,0,0,0,1
"112",0,0,0,0,0,1
"Three African",0,0,0,0,0,1
"about 120 million",0,0,0,0,0,1
"475 million",0,0,0,0,0,1
"About 350",0,0,0,0,0,1
"475",0,0,0,0,0,1
"68",0,0,0,0,0,1
"194",0,0,0,0,0,1
"half",0,0,0,0,0,1
"53 7",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"181",0,0,0,0,0,1
"59",0,0,0,0,0,1
"23/32",0,0,0,0,0,1
"about 13 million",0,0,0,0,0,1
"238",0,0,0,0,0,1
"375",0,0,0,0,0,1
"660 +10",0,0,0,0,0,1
"44",0,0,0,0,0,1
"only two",0,0,0,0,0,1
"64 7",0,0,0,0,0,1
"40 million",0,0,0,0,0,1
"15 1/8",0,0,0,0,0,1
"436 Treasury",0,0,0,0,0,1
"50 Exxon",0,0,0,0,0,1
"61 8",0,0,0,0,0,1
"4,000",0,0,0,0,0,1
"two thirds",0,0,0,0,0,1
"one two",0,0,0,0,0,1
"38 8",0,0,0,0,0,1
"209",0,0,0,0,0,1
"More than 21,000",0,0,0,0,0,1
"at least one",0,0,0,0,0,1
"162",0,0,0,0,0,1
"6 2",0,0,0,0,0,1
"85 7",0,0,0,0,0,1
"575",0,0,0,0,0,1
"33 Newmont",0,0,0,0,0,1
"170 6",0,0,0,0,0,1
"193",0,0,0,0,0,1
"24",0,0,0,0,0,1
"49",0,0,0,0,0,1
"41 billion",0,0,0,0,0,1
"08",0,0,0,0,0,1
"00 8",0,0,0,0,0,1
"14",0,0,0,0,0,1
"as many 79",0,0,0,0,0,1
"317",0,0,0,0,0,1
"3 . 5 million Jews",0,0,0,0,0,1
"200 million",0,0,0,0,0,1
"41 9",0,0,0,0,0,1
"more than 90",0,0,0,0,0,1
"several thousand",0,0,0,0,0,1
"25 75",0,0,0,0,0,1
"69 24",0,0,0,0,0,1
"11 4",0,0,0,0,0,1
"45 million",0,0,0,0,0,1
"48 1/4",0,0,0,0,0,1
"493 8",0,0,0,0,0,1
"62",0,0,0,0,0,1
"32 381",0,0,0,0,0,1
"4",0,0,0,0,0,1
"900 Canada",0,0,0,0,0,1
"2 0",0,0,0,0,0,1
"107 06/32",0,0,0,0,0,1
"6 / 124",0,0,0,0,0,1
"15,000",0,0,0,0,0,1
"3 billion",0,0,0,0,0,1
"496 13 1/2",0,0,0,0,0,1
"8,200",0,0,0,0,0,1
"9",0,0,0,0,0,1
"110",0,0,0,0,0,1
"0 . 004",0,0,0,0,0,1
"10/32",0,0,0,0,0,1
"21",0,0,0,0,0,1
"94",0,0,0,0,0,1
"30 4",0,0,0,0,0,1
"42 3",0,0,0,0,0,1
"1,627",0,0,0,0,0,1
"26/32",0,0,0,0,0,1
"202 3",0,0,0,0,0,1
"30,000 China Steel . New York Commodities Desk",0,0,0,0,0,1
"92 1 . 97",0,0,0,0,0,1
"2 1/2",0,0,0,0,0,1
"66",0,0,0,0,0,1
"0 3885 . 0 33",0,0,0,0,0,1
"875",0,0,0,0,0,1
"1 129",0,0,0,0,0,1
"70 3",0,0,0,0,0,1
"27",0,0,0,0,0,1
"58",0,0,0,0,0,1
"00 4",0,0,0,0,0,1
"93",0,0,0,0,0,1
"2",0,0,0,0,0,1
"3,400",0,0,0,0,0,1
"1150",0,0,0,0,0,1
"86",0,0,0,0,0,1
"65 7",0,0,0,0,0,1
"135 million",0,0,0,0,0,1
"6 1/3",0,0,0,0,0,1
"299 million",0,0,0,0,0,1
"93 52",0,0,0,0,0,1
