Entity,COR,INC,PAR,SPU,MIS,IGN
"Thai Resource",0,0,0,0,1,0
"Mexican daily",0,0,1,0,0,0
"Washington-based",0,0,0,0,1,0
"Russians",0,0,0,0,1,0
"Nobel Peace Prize",0,0,0,0,1,0
"A$",0,0,0,0,1,0
"Kuwaiti",0,0,0,0,1,0
"Palestinian",1,0,0,0,0,0
"Mesipia",0,0,0,0,1,0
"Seagramd",0,0,0,0,1,0
"Premier league",0,0,0,0,1,0
"Tia Juana",0,0,0,0,1,0
"Nation 's Cup",0,0,0,0,1,0
"Tong Shun",0,0,0,0,1,0
"American Catholics",1,0,0,0,0,0
"Jewish West Bank",0,0,1,0,0,0
"Trades Disputes Act",0,0,0,0,1,0
"Yakomas",0,0,0,0,1,0
"IndyCar",0,0,0,0,1,0
"Tasmanian",0,0,0,0,1,0
"X-DENVER",0,0,0,0,1,0
"ARAB",0,0,0,0,1,0
"French",1,0,0,0,0,0
"Australian",1,0,0,0,0,0
"Anglicans",0,0,0,0,1,0
"Belgian",1,0,0,0,0,0
"NYC",0,0,0,0,1,0
"Britons",0,0,0,0,1,0
"African Nations ' Cup",0,0,0,0,1,0
"Queenslander",0,0,0,0,1,0
"Permian",0,0,0,0,1,0
"EUROLEAGUE",0,0,0,0,1,0
"Panamanian",0,0,0,0,1,0
"Singer World Series",0,0,0,0,1,0
"European",1,0,0,0,0,0
"Marines",0,0,0,0,1,0
"UEFA Cups",0,0,0,0,1,0
"WORLD GRAND PRIX",0,0,0,0,1,0
"SCOTTISH",0,0,0,0,1,0
"Newmont-Santa Fe",0,0,0,0,1,0
"Polish",1,0,0,0,0,0
"Americans",1,0,0,0,0,0
"FRENCH",0,0,0,0,1,0
"Mauritian",0,0,0,0,1,0
"Pilkington Cup",0,0,0,0,1,0
"French-owned",0,0,0,0,1,0
"Soviet",1,0,0,0,0,0
"Maritime Queen",0,0,0,0,1,0
"U. S. Roman Catholic",0,0,1,0,0,0
"German shepherds",0,0,0,0,1,0
"BERLIN GRAND PRIX",0,0,0,0,1,0
"British Masters",0,0,0,0,1,0
"Montenegrin",0,0,0,0,1,0
"Eurodollar",0,0,0,0,1,0
"France-registered",0,0,0,0,1,0
"Islamic",1,0,0,0,0,0
"Kenda",0,0,0,0,1,0
"Name",0,0,0,0,1,0
"Nobel",0,0,0,0,1,0
"Vienna-based",0,0,0,0,1,0
"sales-USDA",0,0,0,0,1,0
"Moscow-backed",0,0,0,0,1,0
"Iraqi Kurdish",0,0,0,0,1,0
"Tajik",1,0,0,0,0,0
"post-Games",0,0,0,0,1,0
"Arab Israeli",0,0,1,0,0,0
"Arabic",0,0,0,0,1,0
"Kurdish",1,0,0,0,0,0
"Y-GREEN BAY",0,0,0,0,1,0
"Yugoslav",1,0,0,0,0,0
"Brazilians",1,0,0,0,0,0
"Intertoto",0,0,0,0,1,0
"ITALIAN",0,0,0,0,1,0
"Mexican",1,0,0,0,0,0
"My Turn",0,0,0,0,1,0
"Uzbek",0,0,0,0,1,0
"TROFEJ BEOGRAD TOURNAMENT",0,0,0,0,1,0
"Hindu-Moslem",0,0,0,0,1,0
"office-Conservatives",0,0,0,0,1,0
"Enterprise",0,0,0,0,1,0
"MEDITERRANEAN",0,0,0,0,1,0
"Italian",1,0,0,0,0,0
"Christian",1,0,0,0,0,0
"EUROBONDS",0,0,0,0,1,0
"But",0,0,0,0,1,0
"Englishman",0,0,0,0,1,0
"Zulu",0,0,0,0,1,0
"Berlin",0,0,0,0,1,0
"Lula I",0,0,0,0,1,0
"Moroccan",0,0,0,0,1,0
"Russian",1,0,0,0,0,0
"Islam",1,0,0,0,0,0
"Latin American",0,0,0,0,1,0
"English National League",0,0,0,0,1,0
"ERA",0,0,0,0,1,0
"Vinson",0,0,0,0,1,0
"Champions ' League",0,0,0,0,1,0
"Transylvanian",0,0,0,0,1,0
"Democratic",1,0,0,0,0,0
"Afrikaans",0,0,0,0,1,0
"Christian-Shi'ite",0,0,0,0,1,0
"Asian",1,0,0,0,0,0
"Indonesian Mines and Energy Ministry",0,1,0,0,0,0
"Europoean Cup",0,0,0,0,1,0
"Canadians",1,0,0,0,0,0
"Azeris",1,0,0,0,0,0
"St. Louis-based",0,0,0,0,1,0
"Europeans",0,0,0,0,1,0
"BRAZILIAN",0,0,0,0,1,0
"Codos",0,0,0,0,1,0
"Czech",0,1,0,0,0,0
"Communist",1,0,0,0,0,0
"Dubai",0,0,0,0,1,0
"A Woman",0,0,0,0,1,0
"Alpine",0,0,0,0,1,0
"Armenian",1,0,0,0,0,0
"Singer",0,0,0,0,1,0
"British Airways-American",0,0,0,0,1,0
"Soveit-bloc",0,0,0,0,1,0
"Communist-led",0,0,0,0,1,0
"Israeli Guardians of the Cedars",0,0,1,0,0,0
"Boxer",0,0,0,0,1,0
"German Santa",0,0,1,0,0,0
"Social Democrats",1,0,0,0,0,0
"FTSE",0,0,0,0,1,0
"Ukrainians",0,0,0,0,1,0
"Japanese",1,0,0,0,0,0
"Slovak",1,0,0,0,0,0
"War of Spanish Succession",0,0,0,0,1,0
"Hebrew",0,0,0,0,1,0
"TOUR OF NETHERLANDS",0,0,0,0,1,0
"Serbs",0,0,0,0,1,0
"FOOTBALL-OHIO STATE",0,0,0,0,1,0
"Republicans",1,0,0,0,0,0
"RMS Titanic",0,0,0,0,1,0
