Entity,COR,INC,PAR,SPU,MIS,IGN
"Foreign Office",0,0,0,0,1,0
"Motorola",0,0,0,0,1,0
"VICTORIA",0,0,0,0,1,0
"Inter Milan",0,0,0,0,1,0
"OPECNA",1,0,0,0,0,0
"Napoli",0,0,0,0,1,0
"RAO Norilsky Nikel 0 NKEL . RUO",0,0,1,0,0,0
"J.J. KENNY",0,0,0,0,1,0
"LM Ericsson AB",1,0,0,0,0,0
"Los Angeles Dodgers",0,0,0,0,1,0
"DOCSTART LUXEMBOURG CHRISTMAS MARKET GOES ON WORLD WIDE WEB . BRUSSELS 1996 12 06 Luxembourg",0,0,1,0,0,0
"GPTA",0,0,0,0,1,0
"Zemun",0,0,0,0,1,0
"Herri Batasuna",0,0,0,0,1,0
"Wycombe",0,0,0,0,1,0
"Ponce",0,1,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Pirelli",1,0,0,0,0,0
"Hansa Rostock",0,0,0,0,1,0
"Verona",0,0,0,0,1,0
"Estudiantes Madrid",0,0,0,0,1,0
"ETA",1,0,0,0,0,0
"Charleroi",0,0,0,0,1,0
"Glenavon",0,0,0,0,1,0
"Dumbarton",0,0,0,0,1,0
"PAP",0,0,0,0,1,0
"Olympic Airways",0,0,0,0,1,0
"Proleter ( Z )",0,0,0,0,1,0
"DOCSTART World Markets",0,0,0,1,0,0
"Human Rights in China",0,0,0,0,1,0
"Stevenage",0,0,0,0,1,0
"Carlsberg",1,0,0,0,0,0
"Information Technology Association of America",0,0,0,0,1,0
"Florida Supreme Court",0,0,0,0,1,0
"Port Vale",0,0,0,0,1,0
"Interrosimpex",1,0,0,0,0,0
"the Federal Reserve",0,0,1,0,0,0
"Preston",0,0,0,0,1,0
"Ipswich",0,0,0,0,1,0
"CFDT",0,0,0,0,1,0
"USA I",0,0,0,0,1,0
"Reuters Ottawa Bureau 613",0,0,1,0,0,0
"Wolverhampton",0,0,0,0,1,0
"Nottingham Forest",0,0,0,0,1,0
"Hapoel Beersheba",0,0,0,0,1,0
"the Budapest Stock Exchange BSE",0,0,1,0,0,0
"Vicenza",0,0,0,0,1,0
"Le Matin",0,0,0,0,1,0
"Braga",0,0,0,0,1,0
"Czech Civic Democratic Party ODS",0,0,1,0,0,0
"Movement for a Democratic Slovakia",1,0,0,0,0,0
"Warsaw Newsroom +48",0,0,1,0,0,0
"Cofinec",1,0,0,0,0,0
"Buffalo Sabres",0,0,0,0,1,0
"Motorsport Traditions Ltd",1,0,0,0,0,0
"NEC Nijmegen",0,0,0,0,1,0
"Ards",0,0,0,0,1,0
"UWP-Hachette",0,0,0,0,1,0
"LEEDS",0,0,0,0,1,0
"Plymouth",0,0,0,0,1,0
"Bre X",0,0,0,1,0,0
"LE TEMPS",0,0,0,0,1,0
"Pusan",0,0,0,0,1,0
"Milwaukee",0,0,0,0,1,0
"Stenhousemuir",0,0,0,0,1,0
"Sloboda",0,0,0,0,1,0
"the Mines and Energy Ministry",0,0,1,0,0,0
"the South Lebanon Army SLA",0,0,1,0,0,0
"Sporting",0,0,0,0,1,0
"Irish Republican Army",0,0,0,0,1,0
"the Tokyo Stock Exchange",0,0,1,0,0,0
"Aberdeen",0,0,0,0,1,0
"St Mirren",0,0,0,0,1,0
"Urska Horvat",0,1,0,0,0,0
"MEXICO CITY Mexican",0,0,0,1,0,0
"Cannes",0,0,0,0,1,0
"452 20 WESTERN DIVISION TEXAS 75 58",0,0,1,0,0,0
"Harlequins",0,0,0,0,1,0
"PKK",1,0,0,0,0,0
"International Finance Bureau",1,0,0,0,0,0
"Kia",1,0,0,0,0,0
"OPEC",1,0,0,0,0,0
"ILO Workers Group",0,0,0,0,1,0
"CANUCKS",0,0,0,0,1,0
"Baltimore Orioles",0,0,0,0,1,0
"U. S. Senate Banking Committee",0,0,1,0,0,0
"the Social Democratic Union",0,0,1,0,0,0
"National Hockey",0,0,0,0,1,0
"Somerset",0,0,0,0,1,0
"Federal Reserve",1,0,0,0,0,0
"Clinton",0,1,0,0,0,0
"Sodigraf",0,0,0,0,1,0
"Coe and Clerici",0,0,0,0,1,0
"Pontypridd",0,0,0,0,1,0
"Ulsan",0,0,0,0,1,0
"Santa Fe 's Nevada",0,0,1,0,0,0
"Hapoel Jerusalem",0,0,0,0,1,0
"DOCSTART IPO FILING Homegate Hospitality Inc.",0,0,1,0,0,0
"First Bank System Inc.",1,0,0,0,0,0
"Athletic Bilbao",0,0,0,0,1,0
"NY GIANTS",0,0,0,0,1,0
"British Labour Party",0,0,0,0,1,0
"Kia Motor Corp",1,0,0,0,0,0
"USDA DOCSTART Wall St",0,0,1,0,0,0
"Bay Co Building Authority",1,0,0,0,0,0
"House of Lords",0,0,0,0,1,0
"Raith",0,0,0,0,1,0
"Rapid Vienna",0,0,0,0,1,0
"Human Rights National Observatory",0,0,0,0,1,0
"Boroughmuir",0,0,0,0,1,0
