Entity,COR,INC,PAR,SPU,MIS,IGN
"12",0,0,0,0,0,1
"23:58",0,0,0,0,0,1
"5 1 5",0,0,0,0,0,1
"60 metres 2",0,0,0,0,0,1
"3 2",0,0,0,0,0,1
"several inches",0,0,0,0,0,1
"15 Israelis",0,0,0,0,0,1
"500 metres first",0,0,0,0,0,1
"7",0,0,0,0,0,1
"65 80 litre",0,0,0,0,0,1
"16",0,0,0,0,0,1
"13 30",0,0,0,0,0,1
"26",0,0,0,0,0,1
"5 kms 1",0,0,0,0,0,1
"five",0,0,0,0,0,1
"41",0,0,0,0,0,1
"89",0,0,0,0,0,1
"38",0,0,0,0,0,1
"13 Men",0,0,0,0,0,1
"76 14",0,0,0,0,0,1
"3,000",0,0,0,0,0,1
"seven",0,0,0,0,0,1
"200",0,0,0,0,0,1
"20 kg 44 lbs",0,0,0,0,0,1
"110 metres",0,0,0,0,0,1
"some 100 km 60 miles",0,0,0,0,0,1
"1,500 metres 1",0,0,0,0,0,1
"two",0,0,0,0,0,1
"somewhere between 65 and 80 litres per year",0,0,0,0,0,1
"21 3",0,0,0,0,0,1
"3,000 metres",0,0,0,0,0,1
"2,684 tonnes",0,0,0,0,0,1
"60 Palestinians",0,0,0,0,0,1
"5 . 255 an ounce",0,0,0,0,0,1
"73",0,0,0,0,0,1
"400 metres",0,0,0,0,0,1
"57 million ounces",0,0,0,0,0,1
"12 8",0,0,0,0,0,1
"5,000 metres 1",0,0,0,0,0,1
"546 World 4,000 metres",0,0,0,0,0,1
"2,557 2,832 15,838 17,648 Petroleum",0,0,0,0,0,1
"205",0,0,0,0,0,1
"10 to 15 knots 19 to 28 kilometers / 11 to 17 miles per hour",0,0,0,0,0,1
"65 6",0,0,0,0,0,1
"around 40 litres",0,0,0,0,0,1
"around 1 . 50 stg",0,0,0,0,0,1
"42",0,0,0,0,0,1
"between 5 . 15 an ounce",0,0,0,0,0,1
"three km two miles",0,0,0,0,0,1
"one",0,0,0,0,0,1
"800 metres 1",0,0,0,0,0,1
"10 to 15 knots",0,0,0,0,0,1
"200 metres 1",0,0,0,0,0,1
"204 World 4,000 metres",0,0,0,0,0,1
"215 stg",0,0,0,0,0,1
"500 grams 18 oz",0,0,0,0,0,1
"12 3",0,0,0,0,0,1
"one hundredth of a second",0,0,0,0,0,1
"2 0",0,0,0,0,0,1
"as much as 500 meters yards",0,0,0,0,0,1
"four",0,0,0,0,0,1
"89 metres 2",0,0,0,0,0,1
"about 10 miles 16 km",0,0,0,0,0,1
"Four",0,0,0,0,0,1
"three to five feet",0,0,0,0,0,1
"43",0,0,0,0,0,1
"21",0,0,0,0,0,1
"six",0,0,0,0,0,1
"100 metres 1",0,0,0,0,0,1
"2 . 6 million ounces",0,0,0,0,0,1
"eight kg 18 lb",0,0,0,0,0,1
"120",0,0,0,0,0,1
"500 metres",0,0,0,0,0,1
"20 ton",0,0,0,0,0,1
"41 Men",0,0,0,0,0,1
"200 km 120 miles",0,0,0,0,0,1
"65 km 40 miles",0,0,0,0,0,1
"10 million",0,0,0,0,0,1
"37 Women",0,0,0,0,0,1
"more than 15 grams half an ounce",0,0,0,0,0,1
"two Kalashnikov",0,0,0,0,0,1
"2 3 1150 1200 lbs 67",0,0,0,0,0,1
"15 km nine mile",0,0,0,0,0,1
"08 10",0,0,0,0,0,1
"11",0,0,0,0,0,1
"19 7",0,0,0,0,0,1
"six feet",0,0,0,0,0,1
"33 7",0,0,0,0,0,1
"285 13",0,0,0,0,0,1
"One",0,0,0,0,0,1
"three 40",0,0,0,0,0,1
"120 metre",0,0,0,0,0,1
"about 200 feet about 70 metres",0,0,0,0,0,1
"70 copper",0,0,0,0,0,1
"2 3 1150 lbs 66 . 00 . DOCSTART Kansas",0,0,0,0,0,1
"14 Security Council",0,0,0,0,0,1
"10 19",0,0,0,0,0,1
"4,378 tonnes",0,0,0,0,0,1
"eight",0,0,0,0,0,1
"five tonnes",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,100
