Entity,COR,INC,PAR,SPU,MIS,IGN
"DOCSTART GOLF THIRD ROUND OF JCPENNEY CLASSIC WASHED OUT . TARPON SPRINGS",0,0,0,0,0,1
"March 1 2 Austria at Croatia Switzerland",0,0,0,0,0,1
"The Collapse "" 1964",0,0,0,0,0,1
"Susi Susanti Indonesia",0,0,0,0,0,1
"Donovan Bailey Canada 10",0,0,0,0,0,1
"Sleeping Bread "" 1975",0,0,0,0,0,1
"The Decaying Mansion "" 1977",0,0,0,0,0,1
"Soul Alone",0,1,0,0,0,0
"Junichi Japan 38",0,0,0,0,0,1
"A Woman",0,1,0,0,0,0
"Sleeping Bread",0,1,0,0,0,0
"Davidson Ezinwa Nigeria 10",0,0,0,0,0,1
"In the Year of January "" 1963",0,0,0,0,0,1
"A World of Things "" 1982",0,0,0,0,0,1
"Orlando 81",0,0,0,0,0,1
"The Knot",0,1,0,0,0,0
*TOTAL*,0,4,0,0,0,12
