Entity,COR,INC,PAR,SPU,MIS,IGN
"Washington-based",0,0,0,0,1,0
"Freedom for Chechnya",0,0,0,1,0,0
"Palestinian",1,0,0,0,0,0
"Seagramd",0,0,0,0,1,0
"Indians",0,0,0,0,1,0
"Bergamo",0,0,1,0,0,0
"Scots",1,0,0,0,0,0
"Tia Juana",0,0,0,0,1,0
"Tong Shun",0,0,0,0,1,0
"American Catholics",1,0,0,0,0,0
"GMT Iraqi",0,0,1,0,0,0
"Italian Serie A",0,0,1,0,0,0
"SQUASH HONG KONG OPEN",0,0,1,0,0,0
"EuroLeague",1,0,0,0,0,0
"American Tom Johnson",0,0,1,0,0,0
"NHL",0,1,0,0,0,0
"American League Jeff Russell",0,0,1,0,0,0
"French",1,0,0,0,0,0
"Australian",1,0,0,0,0,0
"African Nations Cup",1,0,0,0,0,0
"Belgian",1,0,0,0,0,0
"NYMEX",0,1,0,0,0,0
"cobra",0,0,0,1,0,0
"WORLD CUP BONN",0,0,1,0,0,0
"NYMEX Permian",0,0,1,0,0,0
"Yankee Randy Velarde",0,0,0,1,0,0
"Hutu",1,0,0,0,0,0
"GMT LONDON",0,0,1,0,0,0
"Sleeping Bread",1,0,0,0,0,0
"Indonesians",1,0,0,0,0,0
"Swede",1,0,0,0,0,0
"SWISS",0,0,0,0,1,0
"Arctic",1,0,0,0,0,0
"AFRICAN NATIONS CUP NOUAKCHOTT",0,0,1,0,0,0
"Labour Day",1,0,0,0,0,0
"Net",0,0,1,0,0,0
"Iraqi",1,0,0,0,0,0
"Singer",1,0,0,0,0,0
"Jews Rosati",0,0,1,0,0,0
"GREATER MILWAUKEE OPEN MILWAUKEE",0,0,1,0,0,0
"European",1,0,0,0,0,0
"Romanian",1,0,0,0,0,0
"Coloureds",0,0,0,1,0,0
"German Dietmar Beiersdorfer Fiorentina",0,0,1,0,0,0
"Boxer",1,0,0,0,0,0
"Iranian",1,0,0,0,0,0
"Ukrainians",1,0,0,0,0,0
"Social Democrats",0,0,0,0,1,0
"Polish",1,0,0,0,0,0
"Americans",1,0,0,0,0,0
"Mexican ADRs",0,0,1,0,0,0
"French-owned",0,0,0,0,1,0
"GRAND PRIX",0,0,1,0,0,0
"Greater Milwaukee Open Parnevik",0,0,1,0,0,0
"Serbs",1,0,0,0,0,0
"Tsang AUCKLAND",0,0,0,1,0,0
"Trofej Beograd 96",1,0,0,0,0,0
"Treaty of Baden",1,0,0,0,0,0
"Soviet",1,0,0,0,0,0
"Nikkei",1,0,0,0,0,0
"Interstates 80",0,1,0,0,0,0
"C",0,0,1,0,0,0
"Syrians",1,0,0,0,0,0
"The Knot",1,0,0,0,0,0
"ENGLISH",1,0,0,0,0,0
"GERMAN",1,0,0,0,0,0
"Conservatives",0,0,1,0,0,0
"Afrikaners",1,0,0,0,0,0
"France-registered",0,0,0,0,1,0
"NBA",0,1,0,0,0,0
"Islamic",1,0,0,0,0,0
"New Year",0,0,0,1,0,0
"European Cup",1,0,0,0,0,0
"Conservative",1,0,0,0,0,0
"Vienna-based",0,0,0,0,1,0
"Fri None",0,0,0,1,0,0
"World Group II",0,0,0,1,0,0
"F-14",0,0,0,0,1,0
"Texas Open",1,0,0,0,0,0
"RADIO ROMANIA",0,1,0,0,0,0
"Tutsi",1,0,0,0,0,0
"Tajik",1,0,0,0,0,0
"Arab Israeli",0,0,1,0,0,0
"mid-Mississippi",0,0,0,0,1,0
"Kurdish",1,0,0,0,0,0
"Peking Protocol",1,0,0,0,0,0
"Schindler 's List",1,0,0,0,0,0
"Hindus",1,0,0,0,0,0
"Yugoslav",1,0,0,0,0,0
"Asian Cup",1,0,0,0,0,0
"Brazilians",1,0,0,0,0,0
"Intertoto",0,0,0,0,1,0
"Boxer Rising",1,0,0,0,0,0
"INDIANS ARLINGTON",0,0,1,0,0,0
"F-15",0,0,0,0,1,0
"Mexican",1,0,0,0,0,0
"Strike Hard",1,0,0,0,0,0
"The Collapse",1,0,0,0,0,0
"Vancouver IndyCar",0,0,1,0,0,0
"Tripoli",0,1,0,0,0,0
"MAJOR LEAGUE",1,0,0,0,0,0
"American Dennis Mitchell",0,0,1,0,0,0
"Artisans for Peace",1,0,0,0,0,0
"IRISH",1,0,0,0,0,0
"American Tyson",0,0,1,0,0,0
"Bre X",0,0,0,1,0,0
"Enterprise",0,0,0,0,1,0
"IPC",1,0,0,0,0,0
"Ice Cold in Alex",1,0,0,0,0,0
"Pro Bowl",1,0,0,0,0,0
"Italian",1,0,0,0,0,0
"Christian",1,0,0,0,0,0
"Portuguese",1,0,0,0,0,0
"Chechen Republic",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"Russians",1,0,0,0,0,0
"Sheffield Shield",1,0,0,0,0,0
"Olympics",1,0,0,0,0,0
"African Cup Winners ' Cup",1,0,0,0,0,0
"Lula I",0,0,0,0,1,0
"UEFA Cups Lazio",0,0,1,0,0,0
