Entity,COR,INC,PAR,SPU,MIS,IGN
"McDonald 's",1,0,0,0,0,0
"PMI",0,0,0,1,0,0
"COLOMBO 1996 08 30 Sri Lanka",0,0,0,1,0,0
"the Communications and Transportation Ministry",0,0,1,0,0,0
"Parliament Tony Marlow",0,0,0,1,0,0
"N / A Shrs",0,0,0,1,0,0
"Mariners",1,0,0,0,0,0
"OPECNA",1,0,0,0,0,0
"Dole",0,1,0,0,0,0
"the Ranyon Rangoon University",0,0,1,0,0,0
"Aberdeen",1,0,0,0,0,0
"Takagi",0,1,0,0,0,0
"LM Ericsson AB",1,0,0,0,0,0
"Mobil",1,0,0,0,0,0
"Bayer Leverkusen 17 10 4 3 38 22 34 Bayern Munich",0,0,1,0,0,0
"Lloyds Shipping",1,0,0,0,0,0
"Damascus Radio",1,0,0,0,0,0
"the Xinhua news agency",0,0,1,0,0,0
"Aston Villa 1 Townsend 34",0,0,1,0,0,0
"Sunderland",1,0,0,0,0,0
"ODS",1,0,0,0,0,0
"Palestinian Authority",1,0,0,0,0,0
"Harlequins",1,0,0,0,0,0
""" Red Shirts """,0,0,0,1,0,0
"Voeks",0,1,0,0,0,0
"Herri Batasuna",0,0,0,0,1,0
"Toyo Trust Banking Co",0,0,0,1,0,0
"the Barbarians",0,0,1,0,0,0
"El Al carqo",0,0,1,0,0,0
"Wycombe",0,0,0,0,1,0
"IAS this morning",0,0,0,1,0,0
"Phillies Los Angeles",0,0,1,0,0,0
"EuroLeague",0,1,0,0,0,0
"Juventus",1,0,0,0,0,0
"Itar Tass news",0,0,1,0,0,0
"CITIC Pacific",1,0,0,0,0,0
"NHL",1,0,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Pirelli",1,0,0,0,0,0
"the Kansas City Royals 4",0,0,1,0,0,0
"CAPS American League DETROIT",0,0,1,0,0,0
"NWS",1,0,0,0,0,0
"Rosenborg",1,0,0,0,0,0
"Saracens",1,0,0,0,0,0
"Senate Banking Committee",0,0,1,0,0,0
"Televisa",1,0,0,0,0,0
"Norilsk",1,0,0,0,0,0
"State Havel",0,0,0,1,0,0
"the New Mexico Activities Association",0,0,1,0,0,0
"DOCSTART Bre X",0,0,0,1,0,0
"Galatasaray",0,0,0,0,1,0
"Internazionale Milan",1,0,0,0,0,0
"ETA",1,0,0,0,0,0
"Ahold",1,0,0,0,0,0
"S&P",0,0,0,0,1,0
"Chittagong Cement",0,0,0,0,1,0
"Canola Corn Exports 29 , 200 17 , 200 7 , 700 100 59",0,0,0,1,0,0
"New York Newsdesk 212 859 1610",0,0,1,0,0,0
"Homegate Hospitality Inc Nasdaq",0,0,1,0,0,0
"Somerset",1,0,0,0,0,0
"Parliament Clarke",0,0,0,1,0,0
"the Organisation of Islamic Conference OIC",0,0,1,0,0,0
"the Rotary Club of Houston",0,0,1,0,0,0
"Placer Dome Inc",1,0,0,0,0,0
"Johnson Controls Inc",0,0,0,0,1,0
"Gazzetta dello Sport",1,0,0,0,0,0
"TOKYO 1996 12 06 Honda Motor Co Ltd",0,0,1,0,0,0
"major league",0,0,0,1,0,0
"Dumbarton",0,0,0,0,1,0
"House of Commons",1,0,0,0,0,0
"Wall Street Desk",0,0,0,0,1,0
"the New York Mercantile Exchange",0,0,1,0,0,0
"Ottawa",1,0,0,0,0,0
"Proleter ( Z )",0,0,0,0,1,0
"Borussia Neunkirchen 1 St Pauli 3 Duisburg",0,0,1,0,0,0
"the Central Narcotics Bureau CNB",0,0,1,0,0,0
"National League San Diego 3",0,0,1,0,0,0
"Leyton Orient 2 Hartlepool",0,0,1,0,0,0
"Division B Sloboda 4 Mladost BJ",0,0,1,0,0,0
"the New York Jets",0,0,1,0,0,0
"Treasury Department",1,0,0,0,0,0
"Real Betis",0,0,0,0,1,0
"Bharatiya Janata Party BJP",0,0,1,0,0,0
"the Rubber Board of India",0,0,1,0,0,0
"the National Weather Service 's",0,0,1,0,0,0
"Stevenage",0,0,0,0,1,0
"Dinamo",1,0,0,0,0,0
"Carlsberg",1,0,0,0,0,0
"NASS",1,0,0,0,0,0
"Ohio State",1,0,0,0,0,0
"Exxon Mesipia 77",0,0,1,0,0,0
"COPENHAGEN 1996 12 06",0,0,0,1,0,0
"Florida Supreme Court",0,0,0,0,1,0
"Chonnam",0,0,0,0,1,0
"The Rally for the Return of Refugees and Democracy",0,0,0,1,0,0
"Shrewsbury",0,0,0,0,1,0
"Doetinchem",0,0,0,0,1,0
"Driefontein Consolidated",0,0,1,0,0,0
"Sudbury Town",0,0,0,0,1,0
"DNIB",1,0,0,0,0,0
"Nation of Islam",1,0,0,0,0,0
"Trofej Beograd 96",0,1,0,0,0,0
"Interrosimpex",1,0,0,0,0,0
"NFC East",0,0,1,0,0,0
"the Federal Reserve",0,0,1,0,0,0
"Treasury",1,0,0,0,0,0
"Foreign Affairs",1,0,0,0,0,0
"Boatmen 's",1,0,0,0,0,0
"the Foreign Affairs Department",0,0,1,0,0,0
"ILO",1,0,0,0,0,0
"Hizbollah Party of God",0,0,1,0,0,0
"Benetton Italy 92",0,0,1,0,0,0
"the General Administration of Customs",0,0,1,0,0,0
"Standard & Poor",0,0,0,0,1,0
"Preston",0,0,0,0,1,0
"Paulo Alves Sporting",0,0,1,0,0,0
"NBA",1,0,0,0,0,0
"the Miami Dolphins",0,0,1,0,0,0
"Intelligence",0,0,0,1,0,0
"Tass",1,0,0,0,0,0
"Borussia Monchengladbach 16 4 3 9 12 22",0,0,1,0,0,0
"Reuters DOCSTART",0,0,1,0,0,0
"the High Court",0,0,1,0,0,0
"Italy I",0,0,0,0,1,0
"LEICESTERSHIRE",0,0,0,0,1,0
"Wolverhampton",0,0,0,0,1,0
"the Professional Squash Association",0,0,1,0,0,0
"Rotor",1,0,0,0,0,0
"Gold Fields ' Kloof Gold Mining Co this month",0,0,0,1,0,0
"Koram Bank",1,0,0,0,0,0
"Hereford",0,0,0,0,1,0
"Split",0,0,0,0,1,0
"Radiometer",1,0,0,0,0,0
"Barnsley",0,0,0,0,1,0
"Duma",1,0,0,0,0,0
"Interim Force",0,0,1,0,0,0
"British Airways / American",0,0,1,0,0,0
"BBC",1,0,0,0,0,0
"Global Depositary Receipts GDRs",0,0,0,1,0,0
"al Gama'a al Islamiya Islamic Group",0,0,1,0,0,0
"Teamsystem Bologna",0,0,0,0,1,0
"the National University of Singapore",0,0,1,0,0,0
"Commission",1,0,0,0,0,0
"Der Spiegel",1,0,0,0,0,0
"Air France 's",0,0,1,0,0,0
"the Civil Aviation Administration of China",0,0,1,0,0,0
"DOCSTART Action Performance",0,0,0,1,0,0
"Mines and Energy Ministry",1,0,0,0,0,0
"Orioles",1,0,0,0,0,0
"the Bank Rozwoju Exportu SA BRE",0,0,1,0,0,0
"Steer and Heifer Cow and Bull Thursday 100 , 000 33 , 000",0,0,0,1,0,0
"MCI Communications Corporation",1,0,0,0,0,0
"Springboks",1,0,0,0,0,0
"British Airways",1,0,0,0,0,0
"Offshore Data Services",0,0,0,0,1,0
"House of Representatives",1,0,0,0,0,0
"Czech Civic Democratic Party ODS",0,0,1,0,0,0
"Telekomunikasi Indonesia Telkom",0,0,1,0,0,0
"Mercedes",0,1,0,0,0,0
"Movement for a Democratic Slovakia",1,0,0,0,0,0
"Cardinals",1,0,0,0,0,0
"Motorola 2 seconds",0,0,1,0,0,0
"Dunvant",0,0,0,0,1,0
"Cofinec",1,0,0,0,0,0
"Loznica",0,0,0,0,1,0
"Motorsport Traditions Ltd",1,0,0,0,0,0
"Britain I",0,0,0,0,1,0
"the White House",0,0,0,1,0,0
"the Chicago White Sox",0,0,1,0,0,0
"RIO DE JANEIRO 1996 12 05",0,0,1,0,0,0
"Wrexham",0,0,0,0,1,0
"Security Council",1,0,0,0,0,0
"Rios",0,1,0,0,0,0
"Barrick Gold Corp",1,0,0,0,0,0
"Roma",1,0,0,0,0,0
"the British Broadcasting Corporation BBC",0,0,1,0,0,0
"the State Council 's Port Office",0,0,1,0,0,0
"DOCSTART Dow Chemical",0,0,1,0,0,0
"AC Milan",1,0,0,0,0,0
"VAIL",0,1,0,0,0,0
"the League of Women Voters DOCSTART Titanic",0,0,1,0,0,0
"LEEDS",0,0,0,0,1,0
"Tambang Timah",0,0,0,0,1,0
"Bordeaux",0,0,0,0,1,0
"Ny Islanders",1,0,0,0,0,0
"the Burj al Laqlaq Society",0,0,0,1,0,0
"the National Highway Traffic Safety Administration",0,0,1,0,0,0
"Bre X",0,0,0,1,0,0
"the Moro National Liberation Front MNLF",0,0,1,0,0,0
"LEICESTER",0,0,0,0,1,0
"CHISINAU 1996 08 31 England",0,0,1,0,0,0
"Luebeck",0,0,0,0,1,0
"Sparta Rotterdam",0,0,0,0,1,0
"Yonhap news agency",0,0,1,0,0,0
"Slaughter Heifers Select",0,0,0,1,0,0
"AN",1,0,0,0,0,0
"the Mines and Energy Ministry",0,0,1,0,0,0
"Itar Tass news agency",0,0,1,0,0,0
"the Bank of Canada",0,0,1,0,0,0
"the Philadelphia Eagles 37 10",0,0,1,0,0,0
"National Basketball Association",0,0,1,0,0,0
"Washington",0,1,0,0,0,0
"the Asia Rubber Markets",0,0,0,1,0,0
"the South Lebanon Army SLA",0,0,1,0,0,0
"GLASGOW 1996 12 07",0,0,0,1,0,0
"Michigan Corp",0,0,1,0,0,0
"Heriot 's F",0,0,1,0,0,0
"De Graafschap Doetinchem",0,0,0,0,1,0
"Wallabies",1,0,0,0,0,0
"the Texas Rangers",0,0,1,0,0,0
"Heineken",1,0,0,0,0,0
"Air France",1,0,0,0,0,0
"Inter Milan",1,0,0,0,0,0
"Napoli",1,0,0,0,0,0
