Entity,COR,INC,PAR,SPU,MIS,IGN
"Thai Resource",0,0,0,0,1,0
"the World Open",0,0,1,0,0,0
"Minneapolis-based",0,0,0,0,1,0
"cocker spaniels",0,0,0,0,1,0
"Return of the Legend",0,0,0,0,1,0
"Washington-based",0,0,0,0,1,0
"A$",0,0,0,0,1,0
"Stakes",0,0,0,0,1,0
"2 York 3 Sudbury Town 1 Brentford 3 Walsall 1 Burnley 1 Watford 5 Ashford Town 0 Wrexham 2 Scunthorpe 2 Cardiff",0,0,0,1,0,0
"British Airways-American",0,0,0,0,1,0
"British-ruled",0,0,0,0,1,0
"Wimbledon semifinals",0,0,1,0,0,0
"Seagramd",0,0,0,0,1,0
"DOCSTART SOCCER ROMANIA BEAT LITHUANIA IN U 21 QUALIFIER",0,0,1,0,0,0
"S-MX",0,0,0,0,1,0
"Deportivo Coruna 1 Real Madrid 1 DOCSTART SOCCER BELGIUM BEAT TURKEY 2 1 IN WORLD CUP QUALIFIER",0,0,1,0,0,0
"Communist-led",0,0,0,0,1,0
"ALPINE SKIING WOMEN 'S WORLD CUP SUPER",0,0,1,0,0,0
"Premier league",0,0,0,0,1,0
"MIAMI 85 Phoenix 101 SACRAMENTO 95 Vancouver 105 SAN ANTONIO 89 UTAH 106 Minnesota 95 PORTLAND 97 Charlotte",0,0,0,1,0,0
"Tia Juana",0,0,0,0,1,0
"Tong Shun",0,0,0,0,1,0
"Australia-West Indies",0,0,0,0,1,0
"Red Shirts",0,0,0,0,1,0
"post-Communist",0,0,0,0,1,0
"SOCCER FRENCH LEAGUE RESULTS",0,0,1,0,0,0
"the European Cup",0,0,1,0,0,0
"Yakomas",0,0,0,0,1,0
"DOCSTART SOCCER MAURITANIA DRAW WITH BENIN IN AFRICAN NATIONS CUP",0,0,1,0,0,0
"15,150 DOCSTART SOCCER UKRAINE BEAT NORTHERN IRELAND IN WORLD CUP QUALIFIER",0,0,1,0,0,0
"Anne of a Thousand Days",0,0,0,0,1,0
"FTSE",0,0,0,0,1,0
"Tattersalls Breeders",0,0,0,0,1,0
"pro-European",0,0,0,0,1,0
"Far Eastern",0,0,0,0,1,0
"SOCCER ARAB CONTRACTORS WIN AFRICAN CUP WINNERS ' CUP . CAIRO 1996 12 06 Result",0,0,1,0,0,0
"Hebrew",0,0,0,0,1,0
"X-DENVER",0,0,0,0,1,0
