Entity,COR,INC,PAR,SPU,MIS,IGN
"PMI",0,0,0,1,0,0
"Parliament Tony Marlow",0,0,0,1,0,0
"N / A Shrs",0,0,0,1,0,0
"Mariners",1,0,0,0,0,0
"VICTORIA",0,0,0,0,1,0
"Inter Milan",0,0,0,0,1,0
"OPECNA",1,0,0,0,0,0
"Reuters . Police",0,0,1,0,0,0
"the Ranyon Rangoon University",0,0,1,0,0,0
"LM Ericsson AB",1,0,0,0,0,0
"DAKAR 1996 12 06 Senegal",0,0,0,1,0,0
"Mobil",1,0,0,0,0,0
"Inverness Thistle v Queen 's Park Scottish Cup first",0,0,1,0,0,0
"Dundee 69th Freiburg",0,0,1,0,0,0
"Aston Villa 1 Townsend 34",0,0,1,0,0,0
"Zemun",0,0,0,0,1,0
"Nir Sivilia 57th",0,0,0,1,0,0
"Gold",0,0,1,0,0,0
"Wycombe",0,0,0,0,1,0
"IAS this morning",0,0,0,1,0,0
"Ponce",0,1,0,0,0,0
"Juventus",1,0,0,0,0,0
"NYMEX",1,0,0,0,0,0
"Pirelli",1,0,0,0,0,0
"Estudiantes Madrid",0,0,0,0,1,0
"Tychy",0,0,0,0,1,0
"ETA",1,0,0,0,0,0
"Sydney Newsroom 61 2 9373 1800",0,0,1,0,0,0
"OIC",1,0,0,0,0,0
"Foreign",0,0,1,0,0,0
"Gazzetta dello Sport",1,0,0,0,0,0
"Dumbarton",0,0,0,0,1,0
"PAP",0,0,0,0,1,0
"Warwickshire 2 . At Headingley Leeds",0,0,1,0,0,0
"Proleter ( Z )",0,0,0,0,1,0
"CONCACAF",1,0,0,0,0,0
"the New York Jets",0,0,1,0,0,0
"VANCOUVER 1996 08 31",0,0,1,0,0,0
"Carlsberg",1,0,0,0,0,0
"Florida Supreme Court",0,0,0,0,1,0
"Interrosimpex",1,0,0,0,0,0
"the Federal Reserve",0,0,1,0,0,0
"Preston",0,0,0,0,1,0
"Ipswich",0,0,0,0,1,0
"ILO",1,0,0,0,0,0
"the General Administration of Customs",0,0,1,0,0,0
"Intelligence",0,0,0,1,0,0
"the High Court",0,0,1,0,0,0
"Gold Fields ' Kloof Gold Mining Co this month",0,0,0,1,0,0
"Nottingham Forest",0,0,0,0,1,0
"National and NZ First",0,0,1,0,0,0
"Warner Bros.",0,0,1,0,0,0
"the Budapest Stock Exchange BSE",0,0,1,0,0,0
"Air France 's",0,0,1,0,0,0
"Orioles",1,0,0,0,0,0
"Czech Civic Democratic Party ODS",0,0,1,0,0,0
"DOCSTART Multinational",0,0,0,1,0,0
"Movement for a Democratic Slovakia",1,0,0,0,0,0
"Paramilitary",0,0,0,1,0,0
"Cofinec",1,0,0,0,0,0
"Motorsport Traditions Ltd",1,0,0,0,0,0
"NEC Nijmegen",0,0,0,0,1,0
"U. S. Open",0,0,0,1,0,0
"Ards",0,0,0,0,1,0
"DOCSTART Dow Chemical",0,0,1,0,0,0
"Vancouver IndyCar",0,0,1,0,0,0
"DOCSTART World Markets Overnight Summary Aug 30",0,0,0,1,0,0
"the National Highway Traffic Safety Administration",0,0,1,0,0,0
"Bre X",0,0,0,1,0,0
"Heavyweights Telmex",0,0,1,0,0,0
"Sloboda",0,0,0,0,1,0
"the South Lebanon Army SLA",0,0,1,0,0,0
"Takanobu Okabe Japan 303",0,0,0,1,0,0
"Air France",1,0,0,0,0,0
"Nottingham August 16 18",0,0,0,1,0,0
"Following their midweek Champions ' League",0,0,1,0,0,0
"the National Hockey League",0,0,1,0,0,0
"PKK",1,0,0,0,0,0
"the Dhaka Stock Exchange DSE",0,0,1,0,0,0
"International Finance Bureau",1,0,0,0,0,0
"The American Stock Exchange",0,0,1,0,0,0
"U. S. DOCSTART Ceasefire",0,0,0,1,0,0
"New York Commodities",0,0,0,0,1,0
"Kia",1,0,0,0,0,0
"OPEC",1,0,0,0,0,0
"DOCSTART SOCCER PSV HIT VOLENDAM FOR SIX . AMSTERDAM 1996 12 07 Brazilian",0,0,1,0,0,0
"Reuters . Deliveries",0,0,1,0,0,0
"U. S. Senate Banking Committee",0,0,1,0,0,0
"the Social Democratic Union",0,0,1,0,0,0
"Gillingham 2 DOCSTART RUGBY UNION CAMPESE SIGNS OFF WITH TRY IN WALLABY ROMP",0,0,1,0,0,0
"Fal",0,1,0,0,0,0
"Federal Reserve",1,0,0,0,0,0
"Posts",0,0,0,1,0,0
"Phillies",1,0,0,0,0,0
"First Bank System Inc.",1,0,0,0,0,0
"Athletic Bilbao",0,0,0,0,1,0
"Kia Motor Corp",1,0,0,0,0,0
"USDA DOCSTART Wall St",0,0,1,0,0,0
"Cornwell",0,1,0,0,0,0
"NSW Treasury",1,0,0,0,0,0
"Marines",0,1,0,0,0,0
"DOCSTART SOCCER SHEARER NAMED AS ENGLAND CAPTAIN",0,0,1,0,0,0
"the Brown Deer Park Golf Course",0,0,0,1,0,0
"al Islamiya Islamic Group",0,0,1,0,0,0
"MELBOURNE 1996 12 06",0,0,0,1,0,0
"Parliament",0,0,0,1,0,0
"Lada Togliatti",1,0,0,0,0,0
"NKEL . RUO",0,0,0,1,0,0
"Conservative Party 's",0,0,1,0,0,0
"League",1,0,0,0,0,0
"DOCSTART SQUASH MAHINDRA INTERNATIONAL SEMIFINAL RESULTS . Final : Nicol v Eyles",0,0,1,0,0,0
"BOJ",1,0,0,0,0,0
"Multico",1,0,0,0,0,0
"DOCSTART Automakers",0,0,0,1,0,0
"51 . Traders",0,0,0,1,0,0
"DOCSTART Nato",0,0,0,1,0,0
"the League of Women Voters . DOCSTART Titanic",0,0,1,0,0,0
"LANKA SCOREBOARD",0,0,1,0,0,0
"the St. Louis Merchants Exchange",0,0,0,1,0,0
"Volendam",0,0,0,0,1,0
"The Democratic Convention",0,0,0,1,0,0
"Lola Honda",1,0,0,0,0,0
"DOCSTART Hindu",0,0,0,1,0,0
"Lens",0,0,0,0,1,0
"BILO",0,1,0,0,0,0
"Atalanta",1,0,0,0,0,0
"FOMC",1,0,0,0,0,0
"The University of Michigan 's August",0,0,1,0,0,0
"DOCSTART BOXING PANAMA 'S ROBERTO DURAN FIGHTS THE SANDS OF TIME",0,0,1,0,0,0
"DOCSTART Honda RV",0,0,1,0,0,0
"DOCSTART U. S.",0,0,0,1,0,0
"the Palestinian Authority",0,0,1,0,0,0
"Mississippi McGregor",0,0,0,1,0,0
"London Irish",0,0,0,0,1,0
"Commerce",1,0,0,0,0,0
"DOCSTART ROMANIA COMELF H1 PROFIT RISE BELOW",0,0,1,0,0,0
"the United Nations",0,0,1,0,0,0
"Mutineers",0,0,0,1,0,0
"Economic Planning Agency",1,0,0,0,0,0
"CNBC",1,0,0,0,0,0
"34 Men 's 400 metres",0,0,0,1,0,0
"Champions ' League",0,1,0,0,0,0
"National Automobile Occupant Protection Campaign",0,0,0,0,1,0
"IRA",1,0,0,0,0,0
"MILWAUKEE OPEN . MILWAUKEE",0,0,1,0,0,0
"Commerce Bancshares Inc.",1,0,0,0,0,0
"Canada I",0,0,0,0,1,0
"Agriculture",0,0,1,0,0,0
"DOCSTART Twilight",0,0,0,1,0,0
"Moscow Newsroom",1,0,0,0,0,0
"the International Labour Organisation ILO",0,0,1,0,0,0
"ZAANDAM",0,1,0,0,0,0
"DOCSTART Ruling Moslem",0,0,0,1,0,0
